pair,canonical_asset_id,identity_status,identity_collision,temporal_mapping
00-USDT,00,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
0G-USDT,0G,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
1000BONKUP-USDT,1000BONKUP,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
1CAT-USDT,1CAT,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
1EARTH-USDT,1EARTH,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
1INCH-USDT,1INCH,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
2CRZ-USDT,2CRZ,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
2U2-USDT,2U2,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
2Z-USDT,2Z,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
9BIT-USDT,9BIT,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
A-USDT,,EXCLUDED_UNMAPPED_OR_INVALID_ASSET,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
A2Z-USDT,A2Z,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
A47-USDT,A47,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AA-USDT,AA,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AAVE-USDT,AAVE,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AAVE3L-USDT,AAVE3L,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AAVE3S-USDT,AAVE3S,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ABBC-USDT,ABBC,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ABT-USDT,ABT,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ACA-USDT,ACA,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ACAT-USDT,ACAT,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ACCORDING-USDT,ACCORDING,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ACE-USDT,ACE,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ACEOLD-USDT,ACEOLD,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ACH-USDT,ACH,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ACN-USDT,ACN,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ACOIN-USDT,ACOIN,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ACQ-USDT,ACQ,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ACS-USDT,ACS,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ACTOLD-USDT,ACTOLD,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ACTSOL-USDT,ACTSOL,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ACU-USDT,ACU,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ACX-USDT,ACX,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ADA-USDT,ADA,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ADA3L-USDT,ADA3L,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ADA3S-USDT,ADA3S,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ADB-USDT,ADB,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ADI-USDT,ADI,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ADS-USDT,ADS,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ADX-USDT,ADX,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AED-USDT,AED,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AEG-USDT,AEG,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
