pair,canonical_asset_id,identity_status,identity_collision,temporal_mapping
AEON-USDT,AEON,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AERGO-USDT,AERGO,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AERO-USDT,AERO,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AEVO-USDT,AEVO,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AFG-USDT,AFG,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AFK-USDT,AFK,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AGI-USDT,AGI,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AGIOLD-USDT,AGIOLD,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AGIX-USDT,AGIX,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AGIX2L-USDT,AGIX2L,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AGIX2S-USDT,AGIX2S,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AGIXDOWN-USDT,AGIXDOWN,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AGIXUP-USDT,AGIXUP,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AGLD-USDT,AGLD,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AGT-USDT,AGT,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AI-USDT,AI,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AI16Z-USDT,AI16Z,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AI3-USDT,AI3,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AIDOGE-USDT,AIDOGE,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AIEPK-USDT,AIEPK,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AIN-USDT,AIN,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AIO-USDT,AIO,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AIOLD-USDT,AIOLD,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AION-USDT,AION,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AIOZ-USDT,AIOZ,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AIPAD-USDT,AIPAD,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AIPUMP-USDT,AIPUMP,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AITECH-USDT,AITECH,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AIX-USDT,AIX,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AIXBT-USDT,AIXBT,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AKE-USDT,AKE,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AKITA-USDT,AKITA,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AKRO-USDT,AKRO,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AKT-USDT,AKT,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ALBT-USDT,ALBT,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ALEPH-USDT,ALEPH,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ALEX-USDT,ALEX,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ALGO-USDT,ALGO,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ALGODOWN-USDT,ALGODOWN,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ALGOUP-USDT,ALGOUP,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ALICE-USDT,ALICE,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ALKIMI-USDT,ALKIMI,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ALL-USDT,ALL,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ALLO-USDT,ALLO,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ALPA-USDT,ALPA,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ALPACA-USDT,ALPACA,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ALPHA-USDT,ALPHA,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ALPINE-USDT,ALPINE,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ALT-USDT,ALT,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ALTOLD-USDT,ALTOLD,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ALU-USDT,ALU,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AMB-USDT,AMB,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AMIO-USDT,AMIO,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AMP-USDT,AMP,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AMPL-USDT,AMPL,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AMU-USDT,AMU,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ANALOS-USDT,ANALOS,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ANC-USDT,ANC,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AND-USDT,AND,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ANG-USDT,ANG,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ANI-USDT,ANI,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ANIME-USDT,ANIME,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ANKR-USDT,ANKR,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ANLOG-USDT,ANLOG,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ANOME-USDT,ANOME,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ANSEM-USDT,ANSEM,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ANT-USDT,ANT,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ANTFUN-USDT,ANTFUN,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ANTOLD-USDT,ANTOLD,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ANYONE-USDT,ANYONE,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AOA-USDT,AOA,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AOG-USDT,AOG,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AOS-USDT,AOS,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
APE-USDT,APE,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
APE3L-USDT,APE3L,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
APE3S-USDT,APE3S,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
APH-USDT,APH,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
API3-USDT,API3,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
APL-USDT,APL,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
APP-USDT,APP,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
APR-USDT,APR,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
APT-USDT,APT,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
APT2L-USDT,APT2L,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
APT2S-USDT,APT2S,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AR-USDT,AR,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARB-USDT,ARB,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARB3L-USDT,ARB3L,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARB3S-USDT,ARB3S,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARC-USDT,ARC,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARCA-USDT,ARCA,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARCOLD-USDT,ARCOLD,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARCSOL-USDT,ARCSOL,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARE-USDT,ARE,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARIA-USDT,ARIA,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARKER-USDT,ARKER,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARKM-USDT,ARKM,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARN-USDT,ARN,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARNM-USDT,ARNM,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARPA-USDT,ARPA,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARPADOWN-USDT,ARPADOWN,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARPAUP-USDT,ARPAUP,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARRR-USDT,ARRR,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARS-USDT,ARS,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ART-USDT,ART,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARTFI-USDT,ARTFI,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARTY-USDT,ARTY,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARX-USDT,ARX,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARXOLD-USDT,ARXOLD,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ARY-USDT,ARY,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ASD-USDT,ASD,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ASI-USDT,ASI,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ASP-USDT,ASP,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ASRR-USDT,ASRR,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ASSET-USDT,ASSET,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ASTER-USDT,ASTER,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ASTR-USDT,ASTR,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ASTRA-USDT,ASTRA,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ASTROBOY-USDT,ASTROBOY,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ATA-USDT,ATA,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ATEM-USDT,ATEM,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ATH-USDT,ATH,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ATOM-USDT,ATOM,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ATOM3L-USDT,ATOM3L,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ATOM3S-USDT,ATOM3S,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ATOR-USDT,ATOR,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
ATWO-USDT,ATWO,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AUCTION-USDT,AUCTION,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AUD-USDT,AUD,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AUDIO-USDT,AUDIO,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AURA-USDT,AURA,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AURORA-USDT,AURORA,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AURY-USDT,AURY,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AUSD-USDT,AUSD,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AUTOS-USDT,AUTOS,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AVA-USDT,AVA,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AVAAI-USDT,AVAAI,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AVAIL-USDT,AVAIL,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AVAX-USDT,AVAX,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AVAX3L-USDT,AVAX3L,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AVAX3S-USDT,AVAX3S,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AVNT-USDT,AVNT,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AWE-USDT,AWE,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AWG-USDT,AWG,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AXC-USDT,AXC,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AXE-USDT,AXE,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AXPR-USDT,AXPR,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AXS-USDT,AXS,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AXS3L-USDT,AXS3L,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AXS3S-USDT,AXS3S,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AZERO-USDT,AZERO,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AZN-USDT,AZN,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
AZTEC-USDT,AZTEC,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
B-USDT,,EXCLUDED_UNMAPPED_OR_INVALID_ASSET,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
B2-USDT,B2,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
B3-USDT,B3,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BABY-USDT,BABY,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BABYBNB-USDT,BABYBNB,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BABYDOGE-USDT,BABYDOGE,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BABYSHARK-USDT,BABYSHARK,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BABYSHARKO-USDT,BABYSHARKO,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BADGER-USDT,BADGER,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BAKE-USDT,BAKE,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BAKEDOWN-USDT,BAKEDOWN,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BAKEUP-USDT,BAKEUP,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BAL-USDT,BAL,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BAN-USDT,BAN,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BANANA-USDT,BANANA,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BAND-USDT,BAND,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BANK-USDT,BANK,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BARD-USDT,BARD,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BAS-USDT,BAS,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BASED-USDT,BASED,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BASIC-USDT,BASIC,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BAT-USDT,BAT,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BAX-USDT,BAX,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BB-USDT,BB,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BBC-USDT,BBC,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BBD-USDT,BBD,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BBL-USDT,BBL,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BBT-USDT,BBT,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BCD-USDT,BCD,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BCH-USDT,BCH,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BCH3L-USDT,BCH3L,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BCH3S-USDT,BCH3S,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BCHA-USDT,BCHA,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BCHABC-USDT,BCHABC,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BCHSV-USDT,BCHSV,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BCPT-USDT,BCPT,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BCUT-USDT,BCUT,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BDT-USDT,BDT,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BDX-USDT,BDX,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BEAT-USDT,BEAT,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BEATOLD-USDT,BEATOLD,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BEER-USDT,BEER,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BEFI-USDT,BEFI,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BELIEVE-USDT,BELIEVE,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BEPRO-USDT,BEPRO,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BERA-USDT,BERA,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BERT-USDT,BERT,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BEST-USDT,BEST,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BETA-USDT,BETA,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BFC-USDT,BFC,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BFT-USDT,BFT,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BGN-USDT,BGN,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BHC-USDT,BHC,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BHD-USDT,BHD,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BICO-USDT,BICO,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BIDP-USDT,BIDP,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BIF-USDT,BIF,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BIFI-USDT,BIFI,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BIGTIME-USDT,BIGTIME,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BIIS-USDT,BIIS,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BILL-USDT,BILL,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BIO-USDT,BIO,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BIRB-USDT,BIRB,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BIT-USDT,BIT,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BITCLAVE-USDT,BITCLAVE,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BLAST-USDT,BLAST,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BLEND-USDT,BLEND,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BLOC-USDT,BLOC,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BLOCK-USDT,BLOCK,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BLOCKST-USDT,BLOCKST,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BLOK-USDT,BLOK,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BLUAI-USDT,BLUAI,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
BLUE-USDT,BLUE,HIGH,False,PROVIDER_SYMBOL_ONLY_UNTIL_PROVEN
