currency,display_name,full_name,is_margin_enabled,is_debit_enabled,chain_count,canonical_asset_id,identity_confidence,current_metadata_isolation
00,00,P00LS,False,False,0,00,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
0G,0G,0g,False,False,1,0G,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
1000BONKUP,1000BONKUP,1000BONK 2-4 Long,False,False,1,1000BONKUP,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
1CAT,1CAT,Bitcoin Cats,False,False,1,1CAT,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
1EARTH,1EARTH,EarthFund,False,True,1,1EARTH,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
1INCH,1INCH,1INCH Token,False,True,2,1INCH,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
2CRZ,2CRZ,2Crazy,False,False,1,2CRZ,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
2U2,2U2,2U2.ai,False,False,1,2U2,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
2Z,2Z,DoubleZero,False,False,1,2Z,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
9BIT,9BIT,The9bit,False,False,1,9BIT,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
A,A,Vaulta,False,False,1,,LOW,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
A2Z,A2Z,Arena Z,False,False,1,A2Z,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
A47,A47,AGENDA 47,False,False,1,A47,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AA,AA,A3S Protocol,False,False,1,AA,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AAVE,AAVE,Aave,True,True,2,AAVE,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AAVE3L,AAVE3L,AAVE 3x Long,False,False,1,AAVE3L,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AAVE3S,AAVE3S,AAVE 3x Short,False,False,1,AAVE3S,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ABBC,ABBC,ABBC Coin,False,False,1,ABBC,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ABT,ABT,Arcblock,False,False,1,ABT,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ACA,ACA,Acala,False,True,1,ACA,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ACAT,ACAT,Alphacat,False,False,1,ACAT,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ACEOLD,ACEOLD,ACENT,False,False,1,ACEOLD,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
