currency,display_name,full_name,is_margin_enabled,is_debit_enabled,chain_count,canonical_asset_id,identity_confidence,current_metadata_isolation,historical_base_usdt_kline_found
AERGO,AERGO,Aergo,False,False,1,AERGO,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AERO,AERO,Aerodrome Finance,False,False,1,AERO,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AEVO,AEVO,Aevo,False,True,1,AEVO,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AFG,AFG,AOFverse,False,False,1,AFG,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AFK,AFK,AFKDAO,False,False,1,AFK,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AGI,AGI,Delysium,False,False,1,AGI,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AGIOLD,AGIOLD,SingularityNET,False,False,1,AGIOLD,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AGIX,AGIX,SingularityNET Token,False,True,2,AGIX,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AGIX2L,AGIX2L,AGIX 2x Long,False,False,1,AGIX2L,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AGIX2S,AGIX2S,AGIX 2x Short,False,False,1,AGIX2S,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AGIXDOWN,AGIXDOWN,AGIX 2-4 Short,False,False,1,AGIXDOWN,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AGIXUP,AGIXUP,AGIX 2-4 Long,False,False,1,AGIXUP,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AGLD,AGLD,Adventure Gold,False,False,1,AGLD,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
AGT,AGT,Alaya Governance Token,False,False,1,AGT,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AI,AI,Gensyn,False,False,2,AI,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AI16Z,AI16Z,ai16z,False,True,1,AI16Z,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AI3,AI3,Autonomys,False,False,1,AI3,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AIDOGE,AIDOGE,AIDOGE,False,False,1,AIDOGE,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AIEPK,AIEPK,EpiK Protocol,False,False,1,AIEPK,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AIN,AIN,Infinity Ground,False,False,1,AIN,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AIO,AIO,OlaXBT,False,False,1,AIO,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AIOLD,AIOLD,Multiverse,False,False,1,AIOLD,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AION,AION,Aion,False,True,1,AION,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AIOZ,AIOZ,AIOZ Network,False,True,2,AIOZ,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
AIPAD,AIPAD,AIPAD,False,False,2,AIPAD,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AIPUMP,AIPUMP,aiPump,False,False,1,AIPUMP,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AITECH,AITECH,Solidus Ai Tech,False,False,1,AITECH,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AIX,AIX,Aigang,False,False,1,AIX,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AIXBT,AIXBT,aixbt by Virtuals,False,False,1,AIXBT,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AKE,AKE,AKEDO,False,False,1,AKE,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AKITA,AKITA,Akita,False,False,1,AKITA,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AKRO,AKRO,Akropolis,False,False,1,AKRO,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AKT,AKT,Akash Network,False,False,1,AKT,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
ALBT,ALBT,AllianceBlock,False,False,1,ALBT,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
