announcement_id,published_at,title,description,category,url,explicit_pairs,spot_explicit_pairs,candidate_symbols,non_spot,parsing_confidence,request_id
80356,2023-06-30T10:47:57+00:00,ST: KuCoin Delisting of Some Projects,"According to the Special Treatment Rules of KuCoin, the following projects have been disqualified, and the token will be removed from the platform:",delistings,https://www.kucoin.com/announcement/en-st-kucoin-delisting-of-some-projects-20230630?lang=en_US,,,WILL,False,MEDIUM_SYMBOL,announcement_delistings_2023-04-01_2023-07-01_p1
87158,2023-09-22T07:30:48+00:00,ST: KuCoin Will Delist the WAL Project,"In accordance to the requirement of the project team, the token (WAL) will be delisted from the platform.",delistings,https://www.kucoin.com/announcement/en-st-kucoin-will-delist-the-wal-project-20230922?lang=en_US,,,IN;TEAM;WAL,False,MEDIUM_SYMBOL,announcement_delistings_2023-07-01_2023-10-01_p1
93771,2023-12-20T02:23:41+00:00,KuCoin Earn Will Delist Waves Enterprise(WEST) Product,KuCoin Earn Will Delist Waves Enterprise(WEST) Product,delistings,https://www.kucoin.com/announcement/en-kucoin-earn-will-delist-waves-enterprise-west-product?lang=en_US,,,WEST,True,MEDIUM_SYMBOL,announcement_delistings_2023-10-01_2024-01-01_p1
89876,2023-11-06T06:25:28+00:00,ST: KuCoin Will Delist Certain Project,"According to the Special Treatment Rules of KuCoin, the following project will be delisted and the token will be removed from the platform",delistings,https://www.kucoin.com/announcement/en-st-kucoin-will-delist-certain-project-20231106?lang=en_US,,,ACCORDING;WILL,False,MEDIUM_SYMBOL,announcement_delistings_2023-10-01_2024-01-01_p1
89803,2023-11-03T09:10:03+00:00,KuCoin Trading Bot Will Delist Reality Metaverse(RLTM),KuCoin Trading Bot Will Delist Reality Metaverse(RLTM),delistings,https://www.kucoin.com/announcement/kucoin-trading-bot-will-delist-reality-metaverse-rltm?lang=en_US,,,RLTM,True,MEDIUM_SYMBOL,announcement_delistings_2023-10-01_2024-01-01_p1
89713,2023-11-03T07:18:15+00:00,KuCoin Earn Will Delist Reality Metaverse(RLTM) Product,KuCoin Earn Will Delist Reality Metaverse(RLTM) Product,delistings,https://www.kucoin.com/announcement/en-kucoin-earn-will-delist-reality-metaverse-rltm-product?lang=en_US,,,RLTM,True,MEDIUM_SYMBOL,announcement_delistings_2023-10-01_2024-01-01_p1
89539,2023-10-31T11:32:19+00:00,KuCoin Trading Bot Will Delist SmartKey(SKEY),KuCoin Trading Bot Will Delist SmartKey(SKEY),delistings,https://www.kucoin.com/announcement/kucoin-trading-bot-will-delist-smartkey-skey?lang=en_US,,,SKEY,True,MEDIUM_SYMBOL,announcement_delistings_2023-10-01_2024-01-01_p1
112726,2024-06-17T09:01:58+00:00,The Margin Services of AGIX Will Be Temporarily Closed!,"Due to the token merger of Fetch.AI (FET), SingularityNET (AGIX) and Ocean Protocol (OCEAN) into Artificial Superintelligence Alliance (ASI), KuCoin Margin will temporarily close the Margin services of SingularityNET (AGIX).",delistings,https://www.kucoin.com/announcement/kucoin-margin-notice-240617?lang=en_US,,,AGIX;ASI;FET;MERGER;OCEAN,True,MEDIUM_SYMBOL,announcement_delistings_2024-04-01_2024-07-01_p1
103139,2024-05-24T01:41:16+00:00,KuCoin Will Launch the Acquirement Plan for AUSD,"According to the Special Treatment Rules of KuCoin, the AUSD Dollar (the “AUSD” or “Token”) has been disqualified, and the Token will be removed from the platform.",delistings,https://www.kucoin.com/announcement/en-kucoin-will-support-ausd-acquirement-prior-to-delisting-the-project-20240523?lang=en_US,,,WILL,False,MEDIUM_SYMBOL,announcement_delistings_2024-04-01_2024-07-01_p1
106259,2024-04-19T07:14:29+00:00,ST: KuCoin Will Delist a Certain Project,"According to the Special Treatment Rules of KuCoin, the following project has been disqualified, and the token will be removed from the platform.",delistings,https://www.kucoin.com/announcement/en-st-kucoin-will-delist-a-certain-project-20240419?lang=en_US,,,ACCORDING;HAS;WILL,False,MEDIUM_SYMBOL,announcement_delistings_2024-04-01_2024-07-01_p1
103268,2024-04-02T03:36:44+00:00,ST: KuCoin Will Delist Certain Project,"According to the Special Treatment Rules of KuCoin, the following project have been disqualified, and the token will be removed from the platform",delistings,https://www.kucoin.com/announcement/en-st-kucoin-will-delist-certain-projects-20240402?lang=en_US,,,ACCORDING;HAVE;WILL,False,MEDIUM_SYMBOL,announcement_delistings_2024-04-01_2024-07-01_p1
