transport_direction,universe_id,landmark_age_hours,removed_pair,train_row_count,train_unique_pairs,evaluation_row_count,evaluation_unique_pairs,lopo_support_pass,lopo_fit_status,spearman_predicted_vs_actual,bottom_minus_top_actual_mean_rcv,continuous_pass,negative_rcv_auc,classification_pass,predicted_negative_subset_row_count,predicted_negative_subset_unique_pairs,predicted_negative_subset_signal_days,predicted_negative_subset_mean_rcv,predicted_negative_subset_negative_fraction,negative_subset_pass
CALIBRATE_2022_EVALUATE_2023,C2,24,ADA-USDT,40,7,124,12,True,PASS,0.020976302926262562,0.024676933305072816,False,0.5313570487483531,True,86,11,52,0.027291670757139088,0.5813953488372093,False
CALIBRATE_2022_EVALUATE_2023,C2,24,ATOM-USDT,42,7,124,12,True,PASS,0.027507026274293855,0.01632943202907408,False,0.5297760210803689,True,89,11,54,0.028289323407569893,0.5617977528089888,False
CALIBRATE_2022_EVALUATE_2023,C2,24,AVAX-USDT,40,7,124,12,True,PASS,-0.0498140000535554,0.012518683288041803,False,0.5018445322793149,True,106,12,62,0.024023643789361997,0.5566037735849056,False
CALIBRATE_2022_EVALUATE_2023,C2,24,BTC-USDT,38,7,100,11,True,PASS,0.01920261156761818,0.025896316087652485,False,0.5174512987012987,True,92,11,63,0.02590201528299402,0.5434782608695652,False
CALIBRATE_2022_EVALUATE_2023,C2,24,DOGE-USDT,45,8,119,11,True,PASS,0.0038528098458411202,0.01587683264684312,False,0.5235361653272101,True,89,10,54,0.02933098413400569,0.5730337078651685,False
CALIBRATE_2022_EVALUATE_2023,C2,24,ETH-USDT,33,7,104,11,True,PASS,0.0777468666064197,0.004161223204658535,False,0.5732954545454545,True,86,11,57,0.02597320355481529,0.5813953488372093,False
CALIBRATE_2022_EVALUATE_2023,C2,24,GRAM-USDT,45,8,123,11,True,PASS,0.026128806022813537,0.014069043934946398,False,0.5343582887700534,True,92,11,55,0.029217060407569412,0.5652173913043478,False
CALIBRATE_2022_EVALUATE_2023,C2,24,KAS-USDT,45,8,121,11,True,PASS,0.029224325837315563,0.013657031802687881,False,0.5351239669421488,True,90,10,54,0.030772766081350704,0.5555555555555556,False
CALIBRATE_2022_EVALUATE_2023,C2,24,LINK-USDT,45,8,119,11,True,PASS,0.009528777730280677,0.015696880472598464,False,0.5275871926815323,True,88,10,54,0.03124503336646913,0.5568181818181818,False
CALIBRATE_2022_EVALUATE_2023,C2,24,LTC-USDT,45,8,117,11,True,PASS,-0.028968349122063638,0.020423437844578576,False,0.49511834319526626,False,88,10,53,0.03346325044719749,0.5454545454545454,False
