transport_direction,universe_id,landmark_age_hours,train_period_id,evaluation_period_id,train_row_count,train_unique_positions,train_unique_pairs,train_unique_signal_days,evaluation_row_count,evaluation_unique_positions,evaluation_unique_pairs,evaluation_unique_signal_days,base_support_pass,design_rank,fit_status,spearman_predicted_vs_actual,predicted_bottom_half_actual_mean_rcv,predicted_top_half_actual_mean_rcv,continuous_point_pass,all_lopo_continuous_pass,continuous_gate_pass
CALIBRATE_2022_EVALUATE_2023,D2,120,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,41,True,4,PASS,-0.04319229922839524,0.018415151252900684,0.01694419203890675,False,False,False
CALIBRATE_2022_EVALUATE_2023,D2,144,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,41,True,4,PASS,-0.07286730217748227,0.009785247909334362,0.013179134447363546,False,False,False
CALIBRATE_2022_EVALUATE_2023,E2,24,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,126,126,14,71,True,4,PASS,-0.04596122004324891,0.03617422469339503,0.012735977072212308,False,False,False
CALIBRATE_2022_EVALUATE_2023,E2,48,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,126,126,14,71,True,4,PASS,-0.13876598467550835,0.031278015853489174,0.01160927442452324,False,False,False
CALIBRATE_2022_EVALUATE_2023,E2,72,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,39,True,4,PASS,-0.08122985560488433,0.023388147332929505,0.01126067943232616,False,False,False
CALIBRATE_2022_EVALUATE_2023,E2,96,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,39,True,4,PASS,0.2453887429596436,0.006265821965906619,0.0282353323964151,True,False,False
CALIBRATE_2022_EVALUATE_2023,E2,120,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,39,True,4,PASS,-0.11183273354628286,0.014231783480915396,-0.003041239333230558,False,False,False
CALIBRATE_2022_EVALUATE_2023,E2,144,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,39,True,4,PASS,-0.09672488464147869,0.005571416867029994,0.0032557838505081,False,False,False
CALIBRATE_2023_EVALUATE_2022,C2,24,ROBUSTNESS_2023,ROBUSTNESS_2022,124,124,12,69,45,45,8,22,True,4,PASS,-0.05243741765480895,-0.026405635953910985,-0.01839198258009884,False,False,False
CALIBRATE_2023_EVALUATE_2022,C2,48,ROBUSTNESS_2023,ROBUSTNESS_2022,124,124,12,69,45,45,8,22,True,4,PASS,-0.2743083003952569,-0.005009126375770901,-0.03854164948198803,False,False,False
CALIBRATE_2023_EVALUATE_2022,C2,72,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,10,38,21,21,7,12,True,4,PASS,0.045454545454545456,-0.049804442056320036,-0.0021520430395539827,True,False,False
CALIBRATE_2023_EVALUATE_2022,C2,96,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,10,38,21,21,7,12,True,4,PASS,0.2052614593479989,-0.026879389508426516,0.020611852377098342,True,True,True
CALIBRATE_2023_EVALUATE_2022,C2,120,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,10,38,21,21,7,12,True,4,PASS,-0.2311688311688312,0.010532898751287089,-0.001220925555217347,False,False,False
CALIBRATE_2023_EVALUATE_2022,C2,144,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,10,38,21,21,7,12,True,4,PASS,-0.07792207792207792,-0.012860426106526041,-0.010755975195933463,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,24,ROBUSTNESS_2023,ROBUSTNESS_2022,127,127,12,69,45,45,8,22,True,4,PASS,-0.0613965744400527,-0.02261921594690236,-0.02201377563028101,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,48,ROBUSTNESS_2023,ROBUSTNESS_2022,127,127,12,69,45,45,8,22,True,4,PASS,-0.24519104084321472,-0.010273180587655905,-0.03350646719235889,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,72,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,41,21,21,7,12,True,4,PASS,0.3038961038961039,-0.038948691544753375,-0.01202090714097822,True,True,True
CALIBRATE_2023_EVALUATE_2022,D2,96,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,41,21,21,7,12,True,4,PASS,0.16888601085594843,-0.016222651425404366,0.010923908665260029,True,True,True
CALIBRATE_2023_EVALUATE_2022,D2,120,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,41,21,21,7,12,True,4,PASS,0.07532467532467534,0.0007210595252133717,0.007698928286667853,True,False,False
CALIBRATE_2023_EVALUATE_2022,D2,144,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,41,21,21,7,12,True,4,PASS,-0.031178955850328947,-0.012860426106526041,-0.010755975195933463,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,24,ROBUSTNESS_2023,ROBUSTNESS_2022,126,126,14,71,45,45,8,22,True,4,PASS,-0.05612648221343873,-0.026405635953910985,-0.018391982580098845,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,48,ROBUSTNESS_2023,ROBUSTNESS_2022,126,126,14,71,45,45,8,22,True,4,PASS,-0.28176158650286554,-0.005009126375770905,-0.03854164948198803,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,72,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,39,21,21,7,12,True,4,PASS,0.14025974025974028,-0.05956528403574487,0.006721449669014035,True,False,False
CALIBRATE_2023_EVALUATE_2022,E2,96,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,39,21,21,7,12,True,4,PASS,0.1766807498185307,-0.014696707740205248,0.00953668713326083,True,True,True
CALIBRATE_2023_EVALUATE_2022,E2,120,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,39,21,21,7,12,True,4,PASS,0.031168831168831172,0.0007210595252133689,0.007698928286667853,True,False,False
CALIBRATE_2023_EVALUATE_2022,E2,144,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,39,21,21,7,12,True,4,PASS,-0.05324675324675325,-0.012860426106526041,-0.010755975195933463,False,False,False
