transport_direction,universe_id,landmark_age_hours,train_period_id,evaluation_period_id,train_row_count,design_rank,beta_intercept,beta_cdf_high_water_gain_atr,beta_cdf_pullback_from_high_water_atr,beta_interaction
CALIBRATE_2022_EVALUATE_2023,C2,24,ROBUSTNESS_2022,ROBUSTNESS_2023,45,4,-0.023835577868507693,-0.054210601446065806,0.03981488412678504,0.035985059432718174
CALIBRATE_2022_EVALUATE_2023,C2,48,ROBUSTNESS_2022,ROBUSTNESS_2023,45,4,0.01728419783839029,-0.10012135276950677,-0.02723307358296662,0.10125036696453384
CALIBRATE_2022_EVALUATE_2023,C2,72,ROBUSTNESS_2022,ROBUSTNESS_2023,21,4,0.06578658456672638,-0.12256239772007797,-0.13894670787379626,0.14904651434381358
CALIBRATE_2022_EVALUATE_2023,C2,96,ROBUSTNESS_2022,ROBUSTNESS_2023,21,4,0.024742257864745768,-0.012010612946519006,-0.06735617225736386,0.04705970290876226
CALIBRATE_2022_EVALUATE_2023,C2,120,ROBUSTNESS_2022,ROBUSTNESS_2023,21,4,0.03863825531355538,-0.042987122943701044,0.031005297552633693,-0.10232043974021003
CALIBRATE_2022_EVALUATE_2023,C2,144,ROBUSTNESS_2022,ROBUSTNESS_2023,21,4,-0.06597780687262036,0.10516530149916034,0.17985883609745287,-0.376775069250786
CALIBRATE_2022_EVALUATE_2023,D2,24,ROBUSTNESS_2022,ROBUSTNESS_2023,45,4,-0.023835577868507693,-0.054210601446065806,0.03981488412678504,0.035985059432718174
CALIBRATE_2022_EVALUATE_2023,D2,48,ROBUSTNESS_2022,ROBUSTNESS_2023,45,4,0.01728419783839029,-0.10012135276950677,-0.02723307358296662,0.10125036696453384
CALIBRATE_2022_EVALUATE_2023,D2,72,ROBUSTNESS_2022,ROBUSTNESS_2023,21,4,0.06578658456672638,-0.12256239772007797,-0.13894670787379626,0.14904651434381358
CALIBRATE_2022_EVALUATE_2023,D2,96,ROBUSTNESS_2022,ROBUSTNESS_2023,21,4,0.024742257864745768,-0.012010612946519006,-0.06735617225736386,0.04705970290876226
CALIBRATE_2022_EVALUATE_2023,D2,120,ROBUSTNESS_2022,ROBUSTNESS_2023,21,4,0.03863825531355538,-0.042987122943701044,0.031005297552633693,-0.10232043974021003
CALIBRATE_2022_EVALUATE_2023,D2,144,ROBUSTNESS_2022,ROBUSTNESS_2023,21,4,-0.06597780687262036,0.10516530149916034,0.17985883609745287,-0.376775069250786
CALIBRATE_2022_EVALUATE_2023,E2,24,ROBUSTNESS_2022,ROBUSTNESS_2023,45,4,-0.023835577868507693,-0.054210601446065806,0.03981488412678504,0.035985059432718174
CALIBRATE_2022_EVALUATE_2023,E2,48,ROBUSTNESS_2022,ROBUSTNESS_2023,45,4,0.01728419783839029,-0.10012135276950677,-0.02723307358296662,0.10125036696453384
CALIBRATE_2022_EVALUATE_2023,E2,72,ROBUSTNESS_2022,ROBUSTNESS_2023,21,4,0.06578658456672638,-0.12256239772007797,-0.13894670787379626,0.14904651434381358
CALIBRATE_2022_EVALUATE_2023,E2,96,ROBUSTNESS_2022,ROBUSTNESS_2023,21,4,0.024742257864745768,-0.012010612946519006,-0.06735617225736386,0.04705970290876226
CALIBRATE_2022_EVALUATE_2023,E2,120,ROBUSTNESS_2022,ROBUSTNESS_2023,21,4,0.03863825531355538,-0.042987122943701044,0.031005297552633693,-0.10232043974021003
CALIBRATE_2022_EVALUATE_2023,E2,144,ROBUSTNESS_2022,ROBUSTNESS_2023,21,4,-0.06597780687262036,0.10516530149916034,0.17985883609745287,-0.376775069250786
CALIBRATE_2023_EVALUATE_2022,C2,24,ROBUSTNESS_2023,ROBUSTNESS_2022,124,4,0.1168152125594377,-0.15597832211987148,-0.16597875535928153,0.2462832293524058
CALIBRATE_2023_EVALUATE_2022,C2,48,ROBUSTNESS_2023,ROBUSTNESS_2022,124,4,0.015224276853926922,0.034542837722771086,-0.00961306289232141,-0.03512135856384811
CALIBRATE_2023_EVALUATE_2022,C2,72,ROBUSTNESS_2023,ROBUSTNESS_2022,60,4,-0.01136712820654487,0.09340996264945756,-0.009511791535974347,-0.08955038865661333
CALIBRATE_2023_EVALUATE_2022,C2,96,ROBUSTNESS_2023,ROBUSTNESS_2022,60,4,-0.002570537263028324,0.09151230418299484,-0.03831659283115959,-0.059891770759232965
CALIBRATE_2023_EVALUATE_2022,C2,120,ROBUSTNESS_2023,ROBUSTNESS_2022,60,4,-0.010947338574190526,0.04469337137451284,-0.011040132011139932,-0.02367579403684987
CALIBRATE_2023_EVALUATE_2022,C2,144,ROBUSTNESS_2023,ROBUSTNESS_2022,60,4,0.007840756619857621,-0.0053004567622054535,-0.018489587856472884,0.021210200570929406
CALIBRATE_2023_EVALUATE_2022,D2,24,ROBUSTNESS_2023,ROBUSTNESS_2022,127,4,0.1604622643017141,-0.19282385069165886,-0.2249208476378685,0.2937153912750428
CALIBRATE_2023_EVALUATE_2022,D2,48,ROBUSTNESS_2023,ROBUSTNESS_2022,127,4,0.033096777636665076,0.05043271458985462,-0.0327826905348899,-0.05959113207540096
CALIBRATE_2023_EVALUATE_2022,D2,72,ROBUSTNESS_2023,ROBUSTNESS_2022,60,4,0.07681797403171087,-0.03372793649725655,-0.09920225945031667,0.07777997935998089
CALIBRATE_2023_EVALUATE_2022,D2,96,ROBUSTNESS_2023,ROBUSTNESS_2022,60,4,0.05204579905074534,0.037655194945243234,-0.07251914623439515,-0.014145834419597797
CALIBRATE_2023_EVALUATE_2022,D2,120,ROBUSTNESS_2023,ROBUSTNESS_2022,60,4,0.07544798763570731,-0.0677370367501219,-0.14515766714483583,0.17208903364866135
CALIBRATE_2023_EVALUATE_2022,D2,144,ROBUSTNESS_2023,ROBUSTNESS_2022,60,4,0.04412852151092331,-0.04208934252094579,-0.08405870745285549,0.10866773002329085
CALIBRATE_2023_EVALUATE_2022,E2,24,ROBUSTNESS_2023,ROBUSTNESS_2022,126,4,0.1501081847729691,-0.18247539647374356,-0.21978806011661184,0.2951282531229793
CALIBRATE_2023_EVALUATE_2022,E2,48,ROBUSTNESS_2023,ROBUSTNESS_2022,126,4,0.020455605126154276,0.05283245390081528,-0.03563346683969054,-0.028655437193594493
CALIBRATE_2023_EVALUATE_2022,E2,72,ROBUSTNESS_2023,ROBUSTNESS_2022,60,4,0.013552912413331048,0.060938350178891695,-0.02737270601909768,-0.04483202447650192
CALIBRATE_2023_EVALUATE_2022,E2,96,ROBUSTNESS_2023,ROBUSTNESS_2022,60,4,0.010538757008589365,0.08436532264610544,-0.037006530669318215,-0.06133659680376509
CALIBRATE_2023_EVALUATE_2022,E2,120,ROBUSTNESS_2023,ROBUSTNESS_2022,60,4,0.013270422229908372,0.003594300082406283,-0.04908098974547402,0.05230363976133107
CALIBRATE_2023_EVALUATE_2022,E2,144,ROBUSTNESS_2023,ROBUSTNESS_2022,60,4,0.02364303307381348,-0.02231921329464022,-0.06049765651162739,0.07877988036104469
