transport_direction,universe_id,landmark_age_hours,train_period_id,evaluation_period_id,train_row_count,train_unique_positions,train_unique_pairs,train_unique_signal_days,evaluation_row_count,evaluation_unique_positions,evaluation_unique_pairs,evaluation_unique_signal_days,base_support_pass,design_rank,fit_status,actual_negative_row_count,actual_nonnegative_row_count,classification_support_pass,negative_rcv_auc,actual_negative_event_median_prediction,actual_nonnegative_event_median_prediction,classification_point_pass,all_lopo_classification_pass,classification_gate_pass
CALIBRATE_2022_EVALUATE_2023,C2,24,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,124,124,12,69,True,4,PASS,69,55,True,0.5300395256916997,-0.008559978150316033,-0.007607288959235176,True,False,False
CALIBRATE_2022_EVALUATE_2023,C2,48,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,124,124,12,69,True,4,PASS,65,59,True,0.43415906127770537,-0.014820071595270053,-0.01639980897333038,False,False,False
CALIBRATE_2022_EVALUATE_2023,C2,72,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,10,38,True,4,PASS,30,30,True,0.4761111111111111,-0.04715694984857319,-0.04730010532132961,False,False,False
CALIBRATE_2022_EVALUATE_2023,C2,96,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,10,38,True,4,PASS,31,29,True,0.6551724137931034,-0.0027323317283268374,0.004033158054540364,True,True,True
CALIBRATE_2022_EVALUATE_2023,C2,120,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,10,38,True,4,PASS,39,21,True,0.35592185592185593,-0.011707358759713009,-0.045100377451617865,False,False,False
CALIBRATE_2022_EVALUATE_2023,C2,144,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,10,38,True,4,PASS,32,28,True,0.5100446428571429,-0.047043823473741496,-0.04107634329235769,True,False,False
CALIBRATE_2022_EVALUATE_2023,D2,24,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,127,127,12,69,True,4,PASS,66,61,True,0.5534028812717338,-0.010260943309228315,-0.007299565325703833,True,True,True
CALIBRATE_2022_EVALUATE_2023,D2,48,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,127,127,12,69,True,4,PASS,63,64,True,0.4226190476190476,-0.014315070772200171,-0.016444673955004086,False,False,False
CALIBRATE_2022_EVALUATE_2023,D2,72,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,41,True,4,PASS,25,35,True,0.4817142857142857,-0.04715694984857319,-0.04715694984857319,False,False,False
CALIBRATE_2022_EVALUATE_2023,D2,96,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,41,True,4,PASS,25,35,True,0.6,0.0008963792951747433,0.004033158054540364,True,False,False
CALIBRATE_2022_EVALUATE_2023,D2,120,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,41,True,4,PASS,30,30,True,0.39666666666666667,-0.013057309629008328,-0.02472462254088175,False,False,False
CALIBRATE_2022_EVALUATE_2023,D2,144,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,41,True,4,PASS,31,29,True,0.4610678531701891,-0.052218647792894715,-0.04186899915458828,False,False,False
CALIBRATE_2022_EVALUATE_2023,E2,24,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,126,126,14,71,True,4,PASS,68,58,True,0.5093813387423936,-0.007860618982258073,-0.007656278202659601,True,False,False
CALIBRATE_2022_EVALUATE_2023,E2,48,ROBUSTNESS_2022,ROBUSTNESS_2023,45,45,8,22,126,126,14,71,True,4,PASS,65,61,True,0.39949558638083227,-0.013790157983146513,-0.016489538936677792,False,False,False
CALIBRATE_2022_EVALUATE_2023,E2,72,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,39,True,4,PASS,28,32,True,0.47433035714285715,-0.04715694984857319,-0.04715694984857319,False,False,False
CALIBRATE_2022_EVALUATE_2023,E2,96,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,39,True,4,PASS,28,32,True,0.6328125,-0.0005533685154396565,0.004516407324745163,True,False,False
CALIBRATE_2022_EVALUATE_2023,E2,120,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,39,True,4,PASS,34,26,True,0.36764705882352944,-0.014407260498303646,-0.03972987907285041,False,False,False
CALIBRATE_2022_EVALUATE_2023,E2,144,ROBUSTNESS_2022,ROBUSTNESS_2023,21,21,7,12,60,60,11,39,True,4,PASS,32,28,True,0.41573660714285715,-0.040752937573094145,-0.06078081842842455,False,False,False
CALIBRATE_2023_EVALUATE_2022,C2,24,ROBUSTNESS_2023,ROBUSTNESS_2022,124,124,12,69,45,45,8,22,True,4,PASS,30,15,True,0.4488888888888889,0.022288596780881693,0.017202861607757185,False,False,False
CALIBRATE_2023_EVALUATE_2022,C2,48,ROBUSTNESS_2023,ROBUSTNESS_2022,124,124,12,69,45,45,8,22,True,4,PASS,32,13,True,0.4567307692307692,0.021658915529264414,0.020426078144424962,False,False,False
CALIBRATE_2023_EVALUATE_2022,C2,72,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,10,38,21,21,7,12,True,4,PASS,14,7,False,,-0.006731236421857745,-0.003865870051157165,False,False,False
CALIBRATE_2023_EVALUATE_2022,C2,96,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,10,38,21,21,7,12,True,4,PASS,10,11,True,0.5363636363636364,-0.011204869724871471,-0.009162530248694538,True,False,False
CALIBRATE_2023_EVALUATE_2022,C2,120,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,10,38,21,21,7,12,True,4,PASS,9,12,False,,-0.008986458076469892,-0.011996952678439733,False,False,False
CALIBRATE_2023_EVALUATE_2022,C2,144,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,10,38,21,21,7,12,True,4,PASS,12,9,False,,0.003369559204608785,8.797722551030139e-05,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,24,ROBUSTNESS_2023,ROBUSTNESS_2022,127,127,12,69,45,45,8,22,True,4,PASS,30,15,True,0.45111111111111113,0.032467297647402485,0.02713786375311575,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,48,ROBUSTNESS_2023,ROBUSTNESS_2022,127,127,12,69,45,45,8,22,True,4,PASS,32,13,True,0.4855769230769231,0.037301060322110925,0.03676786471933992,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,72,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,41,21,21,7,12,True,4,PASS,14,7,False,,0.04117526155067777,0.06219365571571314,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,96,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,41,21,21,7,12,True,4,PASS,10,11,True,0.4909090909090909,0.02088327222278849,0.02379527909782559,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,120,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,41,21,21,7,12,True,4,PASS,9,12,False,,0.011744208819160471,0.0031928805440999933,False,False,False
CALIBRATE_2023_EVALUATE_2022,D2,144,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,41,21,21,7,12,True,4,PASS,12,9,False,,0.014441902634085624,0.0043695957134580014,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,24,ROBUSTNESS_2023,ROBUSTNESS_2022,126,126,14,71,45,45,8,22,True,4,PASS,30,15,True,0.4444444444444444,0.02979809670305,0.025385860520104386,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,48,ROBUSTNESS_2023,ROBUSTNESS_2022,126,126,14,71,45,45,8,22,True,4,PASS,32,13,True,0.4543269230769231,0.02827910507510363,0.02715400611662005,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,72,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,39,21,21,7,12,True,4,PASS,14,7,False,,0.011280739323312989,0.014483280520397868,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,96,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,39,21,21,7,12,True,4,PASS,10,11,True,0.5,0.0008601623137284072,0.0035298959836652724,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,120,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,39,21,21,7,12,True,4,PASS,9,12,False,,-0.0029487429446567676,-0.006760813286140011,False,False,False
CALIBRATE_2023_EVALUATE_2022,E2,144,ROBUSTNESS_2023,ROBUSTNESS_2022,60,60,11,39,21,21,7,12,True,4,PASS,12,9,False,,0.007152737182600323,-0.0042843568334843644,False,False,False
