architecture_id,router_decision,candidate_count
COMPOSITE_ALPHA_V3,ADMITTED,567
COMPOSITE_ALPHA_V3,REJECTED_ENGINE_CONFLICT,38
COMPOSITE_ALPHA_V3,REJECTED_ENGINE_COOLDOWN,18
COMPOSITE_ALPHA_V3,REJECTED_MAX_OPEN_RISK,3
COMPOSITE_ALPHA_V3,REJECTED_SAME_SYMBOL_ACTIVE,62
