period,asset,first_eligible_week,final_eligible_week,eligible_weeks,top_30_weeks,top_10_weeks,top_8_weeks,top_6_weeks,hysteresis_weeks,best_rank,median_rank,top6_slot_contribution,top10_slot_contribution,longest_consecutive_top6_weeks,c2_d2_substitutions_caused,displaced_evidence_strong_assets,p2t_liquidity_flags,p2t_extreme_flag_rows
FULL,1INCH-USDT,2021-03-29T00:00:00+00:00,2024-12-30T00:00:00+00:00,197,14,0,0,0,0,20,121.0,0,0,0,0,,,0
FULL,AGI-USDT,2023-07-17T00:00:00+00:00,2024-12-30T00:00:00+00:00,77,0,0,0,0,0,129,214.0,0,0,0,0,,,0
FULL,ARTFI-USDT,2024-09-16T00:00:00+00:00,2024-12-30T00:00:00+00:00,16,0,0,0,0,0,177,192.0,0,0,0,0,,,0
FULL,AVA-USDT,2019-06-10T00:00:00+00:00,2024-12-30T00:00:00+00:00,291,76,0,0,0,0,12,142.0,0,0,0,0,,,0
FULL,BAX-USDT,2021-07-12T00:00:00+00:00,2024-12-30T00:00:00+00:00,182,0,0,0,0,0,47,182.0,0,0,0,0,,,0
FULL,BCHSV-USDT,2019-03-18T00:00:00+00:00,2024-12-30T00:00:00+00:00,303,119,99,85,65,68,2,72.0,65,99,37,1,,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,24
FULL,CGPT-USDT,2023-07-10T00:00:00+00:00,2024-12-30T00:00:00+00:00,78,0,0,0,0,0,58,111.5,0,0,0,0,,,0
FULL,CHR-USDT,2019-09-02T00:00:00+00:00,2024-12-30T00:00:00+00:00,279,60,11,7,0,0,8,96.0,0,11,0,0,,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,33
FULL,COMP-USDT,2020-09-28T00:00:00+00:00,2024-12-30T00:00:00+00:00,223,25,2,0,0,0,9,118.0,0,2,0,0,,EXTREME_SINGLE_DAY_CONCENTRATION;PRICE_RANGE_VOLUME_DIVERGENCE;VOLUME_PATTERN_PLAUSIBLE,27
FULL,COTI-USDT,2019-09-09T00:00:00+00:00,2024-12-30T00:00:00+00:00,278,85,20,12,0,0,8,66.0,0,20,0,0,,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,20
FULL,DAG-USDT,2020-02-17T00:00:00+00:00,2024-12-30T00:00:00+00:00,255,57,0,0,0,0,13,78.0,0,0,0,0,,,0
FULL,DASH-USDT,2020-03-23T00:00:00+00:00,2024-12-30T00:00:00+00:00,250,58,3,0,0,0,9,79.0,0,3,0,0,,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,3
FULL,DCR-USDT,2024-02-26T00:00:00+00:00,2024-12-30T00:00:00+00:00,45,0,0,0,0,0,313,349.0,0,0,0,0,,,0
FULL,DENT-USDT,2024-02-26T00:00:00+00:00,2024-12-30T00:00:00+00:00,45,0,0,0,0,0,234,318.0,0,0,0,0,,,0
FULL,DGB-USDT,2020-08-17T00:00:00+00:00,2024-12-30T00:00:00+00:00,229,16,0,0,0,0,22,131.0,0,0,0,0,,,0
FULL,ENJ-USDT,2021-06-21T00:00:00+00:00,2024-12-30T00:00:00+00:00,185,9,0,0,0,0,24,116.0,0,0,0,0,,,0
FULL,ETC-USDT,2019-03-18T00:00:00+00:00,2024-12-30T00:00:00+00:00,303,110,43,9,0,0,7,42.0,0,43,0,2,,EXTREME_SINGLE_DAY_CONCENTRATION;PRICE_RANGE_VOLUME_DIVERGENCE;VOLUME_PATTERN_PLAUSIBLE,25
FULL,ETN-USDT,2019-10-14T00:00:00+00:00,2024-12-30T00:00:00+00:00,273,45,0,0,0,0,11,189.0,0,0,0,0,,,0
FULL,GAS-USDT,2021-06-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,187,0,0,0,0,0,56,252.0,0,0,0,0,,,0
FULL,GRAM-USDT,2023-01-30T00:00:00+00:00,2024-12-30T00:00:00+00:00,101,80,37,22,11,9,5,13.0,11,37,5,0,,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,2
FULL,KAS-USDT,2023-08-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,74,72,24,12,2,4,6,13.0,2,24,2,0,,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,3
FULL,KNC-USDT,2022-08-01T00:00:00+00:00,2024-12-30T00:00:00+00:00,127,0,0,0,0,0,151,272.0,0,0,0,0,,,0
FULL,KPOL-USDT,2020-07-13T00:00:00+00:00,2024-12-30T00:00:00+00:00,234,26,2,0,0,0,9,119.5,0,2,0,0,,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,11
FULL,LOCUS-USDT,2023-07-24T00:00:00+00:00,2024-12-30T00:00:00+00:00,76,0,0,0,0,0,70,178.5,0,0,0,0,,,0
FULL,LSK-USDT,2024-02-26T00:00:00+00:00,2024-12-30T00:00:00+00:00,45,0,0,0,0,0,234,321.0,0,0,0,0,,,0
FULL,LYX-USDT,2023-10-23T00:00:00+00:00,2024-12-30T00:00:00+00:00,63,0,0,0,0,0,83,133.0,0,0,0,0,,,0
FULL,MAN-USDT,2021-07-12T00:00:00+00:00,2024-12-30T00:00:00+00:00,182,0,0,0,0,0,39,187.5,0,0,0,0,,,0
FULL,MANA-USDT,2021-06-21T00:00:00+00:00,2024-12-30T00:00:00+00:00,185,43,10,5,2,4,5,59.0,2,10,2,0,,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,10
FULL,MAPO-USDT,2024-07-29T00:00:00+00:00,2024-12-30T00:00:00+00:00,23,0,0,0,0,0,124,161.0,0,0,0,0,,,0
FULL,MONPRO-USDT,2024-08-26T00:00:00+00:00,2024-12-30T00:00:00+00:00,19,0,0,0,0,0,90,111.0,0,0,0,0,,,0
FULL,MTV-USDT,2019-07-15T00:00:00+00:00,2024-12-30T00:00:00+00:00,286,54,14,0,0,0,9,82.0,0,14,0,0,,EXTREME_SINGLE_DAY_CONCENTRATION;PRICE_RANGE_VOLUME_DIVERGENCE;VOLUME_PATTERN_PLAUSIBLE,21
FULL,NAVI-USDT,2023-03-06T00:00:00+00:00,2024-12-30T00:00:00+00:00,96,0,0,0,0,0,96,217.5,0,0,0,0,,,0
