diagnostic_type,metric,period,excluded_year,decision_count,exact_match_count,exact_match_rate,old_50pct_threshold_above,weeks_below_old_50pct,leave_one_week_out_min,leave_one_week_out_max,leave_one_week_out_rate
SUMMARY,TOP_4,FULL,,313,259,0.8274760383386581,True,0,0.8269230769230769,0.8301282051282052,0.8274760383386581
LEAVE_ONE_YEAR_OUT,TOP_4,FULL,2019,261,220,0.842911877394636,True,0,,,
LEAVE_ONE_YEAR_OUT,TOP_4,FULL,2020,261,229,0.8773946360153256,True,0,,,
LEAVE_ONE_YEAR_OUT,TOP_4,FULL,2021,261,209,0.8007662835249042,True,0,,,
LEAVE_ONE_YEAR_OUT,TOP_4,FULL,2022,261,207,0.7931034482758621,True,0,,,
LEAVE_ONE_YEAR_OUT,TOP_4,FULL,2023,261,207,0.7931034482758621,True,0,,,
LEAVE_ONE_YEAR_OUT,TOP_4,FULL,2024,260,223,0.8576923076923076,True,0,,,
SUMMARY,TOP_4,POST_WARMUP,,301,248,0.8239202657807309,True,0,0.8233333333333334,0.8266666666666667,0.8239202657807309
LEAVE_ONE_YEAR_OUT,TOP_4,POST_WARMUP,2019,261,220,0.842911877394636,True,0,,,
LEAVE_ONE_YEAR_OUT,TOP_4,POST_WARMUP,2020,249,218,0.8755020080321285,True,0,,,
LEAVE_ONE_YEAR_OUT,TOP_4,POST_WARMUP,2021,249,198,0.7951807228915663,True,0,,,
LEAVE_ONE_YEAR_OUT,TOP_4,POST_WARMUP,2022,249,196,0.7871485943775101,True,0,,,
LEAVE_ONE_YEAR_OUT,TOP_4,POST_WARMUP,2023,249,196,0.7871485943775101,True,0,,,
LEAVE_ONE_YEAR_OUT,TOP_4,POST_WARMUP,2024,248,212,0.8548387096774194,True,0,,,
SUMMARY,TOP_6,FULL,,313,158,0.5047923322683706,True,0,0.5032051282051282,0.5064102564102564,0.5047923322683706
LEAVE_ONE_YEAR_OUT,TOP_6,FULL,2019,261,147,0.5632183908045977,True,0,,,
LEAVE_ONE_YEAR_OUT,TOP_6,FULL,2020,261,144,0.5517241379310345,True,0,,,
LEAVE_ONE_YEAR_OUT,TOP_6,FULL,2021,261,135,0.5172413793103449,True,0,,,
LEAVE_ONE_YEAR_OUT,TOP_6,FULL,2022,261,106,0.4061302681992337,False,25,,,
LEAVE_ONE_YEAR_OUT,TOP_6,FULL,2023,261,121,0.46360153256704983,False,10,,,
LEAVE_ONE_YEAR_OUT,TOP_6,FULL,2024,260,137,0.5269230769230769,True,0,,,
SUMMARY,TOP_6,POST_WARMUP,,301,148,0.49169435215946844,False,3,0.49,0.49333333333333335,0.49169435215946844
LEAVE_ONE_YEAR_OUT,TOP_6,POST_WARMUP,2019,261,147,0.5632183908045977,True,0,,,
LEAVE_ONE_YEAR_OUT,TOP_6,POST_WARMUP,2020,249,134,0.5381526104417671,True,0,,,
LEAVE_ONE_YEAR_OUT,TOP_6,POST_WARMUP,2021,249,125,0.5020080321285141,True,0,,,
LEAVE_ONE_YEAR_OUT,TOP_6,POST_WARMUP,2022,249,96,0.3855421686746988,False,29,,,
LEAVE_ONE_YEAR_OUT,TOP_6,POST_WARMUP,2023,249,111,0.4457831325301205,False,14,,,
LEAVE_ONE_YEAR_OUT,TOP_6,POST_WARMUP,2024,248,127,0.5120967741935484,True,0,,,
SUMMARY,TOP_8,FULL,,313,114,0.36421725239616615,False,43,0.36217948717948717,0.36538461538461536,0.36421725239616615
LEAVE_ONE_YEAR_OUT,TOP_8,FULL,2019,261,104,0.39846743295019155,False,27,,,
LEAVE_ONE_YEAR_OUT,TOP_8,FULL,2020,261,109,0.41762452107279696,False,22,,,
LEAVE_ONE_YEAR_OUT,TOP_8,FULL,2021,261,103,0.3946360153256705,False,28,,,
LEAVE_ONE_YEAR_OUT,TOP_8,FULL,2022,261,62,0.23754789272030652,False,69,,,
LEAVE_ONE_YEAR_OUT,TOP_8,FULL,2023,261,86,0.32950191570881227,False,45,,,
LEAVE_ONE_YEAR_OUT,TOP_8,FULL,2024,260,106,0.4076923076923077,False,25,,,
SUMMARY,TOP_8,POST_WARMUP,,301,104,0.34551495016611294,False,47,0.3433333333333333,0.3466666666666667,0.34551495016611294
LEAVE_ONE_YEAR_OUT,TOP_8,POST_WARMUP,2019,261,104,0.39846743295019155,False,27,,,
