metric,period,total_weeks,zero_substitution_weeks,one_substitution_weeks,two_substitution_weeks,three_substitution_weeks,more_than_three_substitution_weeks,mean_substitutions,median_substitutions,at_most_one_substitution_share,at_most_two_substitution_share
TOP_4,FULL,313,259,54,0,0,0,0.17252396166134185,0.0,1.0,1.0
TOP_4,POST_WARMUP,301,248,53,0,0,0,0.1760797342192691,0.0,1.0,1.0
TOP_6,FULL,313,158,146,9,0,0,0.5239616613418531,0.0,0.9712460063897763,1.0
TOP_6,POST_WARMUP,301,148,144,9,0,0,0.5382059800664452,1.0,0.9700996677740864,1.0
TOP_8,FULL,313,114,105,88,4,2,0.9616613418530351,1.0,0.6996805111821086,0.9808306709265175
TOP_8,POST_WARMUP,301,104,105,86,4,2,0.9867109634551495,1.0,0.6943521594684385,0.9800664451827242
TOP_10,FULL,313,79,83,81,32,38,1.597444089456869,1.0,0.5175718849840255,0.7763578274760383
TOP_10,POST_WARMUP,301,69,83,81,32,36,1.6345514950166113,1.0,0.5049833887043189,0.7740863787375415
TOP_30,FULL,313,10,25,35,46,197,6.792332268370607,5.0,0.11182108626198083,0.22364217252396165
TOP_30,POST_WARMUP,301,0,25,35,46,195,7.016611295681063,5.0,0.08305647840531562,0.19933554817275748
HYSTERESIS,FULL,313,127,164,22,0,0,0.6645367412140575,1.0,0.9297124600638977,1.0
HYSTERESIS,POST_WARMUP,301,117,162,22,0,0,0.6843853820598007,1.0,0.9269102990033222,1.0
