decision_time,year,period,post_warmup,metric,c2_count,d2_count,intersection_size,union_size,exact_match,jaccard,symmetric_difference_size,substitution_count,shared_slot_percentage,c2_only,d2_only
2019-01-07T00:00:00+00:00,2019,FULL_ONLY,False,TOP_4,0,0,0,0,True,1.0,0,0.0,0.0,,
2019-01-07T00:00:00+00:00,2019,FULL_ONLY,False,TOP_6,0,0,0,0,True,1.0,0,0.0,0.0,,
2019-01-07T00:00:00+00:00,2019,FULL_ONLY,False,TOP_8,0,0,0,0,True,1.0,0,0.0,0.0,,
2019-01-07T00:00:00+00:00,2019,FULL_ONLY,False,TOP_10,0,0,0,0,True,1.0,0,0.0,0.0,,
2019-01-07T00:00:00+00:00,2019,FULL_ONLY,False,TOP_30,0,0,0,0,True,1.0,0,0.0,0.0,,
2019-01-07T00:00:00+00:00,2019,FULL_ONLY,False,HYSTERESIS,0,0,0,0,True,1.0,0,0.0,0.0,,
2019-01-14T00:00:00+00:00,2019,FULL_ONLY,False,TOP_4,0,0,0,0,True,1.0,0,0.0,0.0,,
2019-01-14T00:00:00+00:00,2019,FULL_ONLY,False,TOP_6,0,0,0,0,True,1.0,0,0.0,0.0,,
2019-01-14T00:00:00+00:00,2019,FULL_ONLY,False,TOP_8,0,0,0,0,True,1.0,0,0.0,0.0,,
2019-01-14T00:00:00+00:00,2019,FULL_ONLY,False,TOP_10,0,0,0,0,True,1.0,0,0.0,0.0,,
2019-01-14T00:00:00+00:00,2019,FULL_ONLY,False,TOP_30,0,0,0,0,True,1.0,0,0.0,0.0,,
2019-01-14T00:00:00+00:00,2019,FULL_ONLY,False,HYSTERESIS,0,0,0,0,True,1.0,0,0.0,0.0,,
2019-01-21T00:00:00+00:00,2019,FULL_ONLY,False,TOP_4,0,0,0,0,True,1.0,0,0.0,0.0,,
2019-01-21T00:00:00+00:00,2019,FULL_ONLY,False,TOP_6,0,0,0,0,True,1.0,0,0.0,0.0,,
2019-01-21T00:00:00+00:00,2019,FULL_ONLY,False,TOP_8,0,0,0,0,True,1.0,0,0.0,0.0,,
2019-01-21T00:00:00+00:00,2019,FULL_ONLY,False,TOP_10,0,0,0,0,True,1.0,0,0.0,0.0,,
2019-01-21T00:00:00+00:00,2019,FULL_ONLY,False,TOP_30,0,0,0,0,True,1.0,0,0.0,0.0,,
2019-01-21T00:00:00+00:00,2019,FULL_ONLY,False,HYSTERESIS,0,0,0,0,True,1.0,0,0.0,0.0,,
