policy_id,portfolio_id,universe_id,cost_multiplier,exit_reason,trade_count,net_pnl,mean_holding_hours
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,1.0,MAX_HOLD_168H,169,123626.0885461622,168.0
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,200,-98611.27696953517,72.0
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,2.0,MAX_HOLD_168H,169,110284.81700446979,168.0
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,2.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,200,-98396.40155814034,72.0
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,MOMENTUM_BREAKOUT,C2,1.0,MAX_HOLD_168H,163,108956.30477413979,168.0
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,MOMENTUM_BREAKOUT,C2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,191,-90087.89013161798,72.0
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,MOMENTUM_BREAKOUT,C2,2.0,MAX_HOLD_168H,163,97213.77854767226,168.0
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,MOMENTUM_BREAKOUT,C2,2.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,191,-90418.90337966674,72.0
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,MOMENTUM_BREAKOUT,D2,1.0,MAX_HOLD_168H,165,112622.88801560756,168.0
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,MOMENTUM_BREAKOUT,D2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,199,-92300.50521375077,72.0
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,MOMENTUM_BREAKOUT,D2,2.0,MAX_HOLD_168H,165,100775.67110836256,168.0
