trade_count,final_equity,net_return,net_pnl,profit_factor,win_rate,maximum_drawdown,turnover,mean_holding_hours,policy_id,portfolio_id,universe_id,cost_multiplier,minimum_cash,atomic_replacement_count
422,111728.52936443216,0.11728529364432161,11728.529364432165,1.0864371926092933,0.3293838862559242,0.3604347179014264,83.49351473266748,117.04265402843602,ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,C2,1.0,7627.6436025913845,
422,98640.08533353897,-0.013599146664610262,-1359.9146664610307,0.989963833311595,0.3222748815165877,0.39295917451580825,78.55068649110926,117.04265402843602,ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,C2,2.0,7173.780106496675,
354,118868.41464252185,0.18868414642521847,18868.41464252185,1.1693350888092116,0.327683615819209,0.3505002039952312,71.64581592609612,116.20338983050847,ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,C2,1.0,7677.364434438172,
354,106794.87516800553,0.06794875168005521,6794.875168005528,1.060525936090599,0.3248587570621469,0.3796942949665552,67.88726525544212,116.20338983050847,ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,C2,2.0,7256.847755687988,
302,102118.0484644282,0.021180484644282016,2118.048464428197,1.0213534043053987,0.3211920529801324,0.37504095214899963,57.34581278010333,115.54966887417218,ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,C2,1.0,7898.680372291621,
302,93698.08430607621,-0.06301915693923787,-6301.915693923787,0.9372926272306195,0.304635761589404,0.3912365280023314,55.055288289470475,115.54966887417218,ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,C2,2.0,7437.23441248487,
425,123965.90422968232,0.23965904229682322,23965.904229682317,1.1779834824468751,0.33647058823529413,0.3604347179014264,84.44829399589634,117.40235294117647,ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,D2,1.0,7627.6436025913845,
425,109879.44548278644,0.09879445482786431,9879.44548278644,1.0733965442073943,0.32941176470588235,0.39295917451580825,79.46367441998413,117.40235294117647,ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,D2,2.0,7173.780106496675,
364,120322.38280185676,0.20322382801856764,20322.38280185676,1.1801138435706855,0.3241758241758242,0.3505002039952312,73.02119154982798,115.51648351648352,ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,D2,1.0,7677.364434438172,
364,108192.50613135417,0.0819250613135416,8192.506131354166,1.0720703762946442,0.32142857142857145,0.3796942949665552,69.16669898596857,115.51648351648352,ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,D2,2.0,7256.847755687988,
300,107772.17922208986,0.07772179222089859,7772.179222089864,1.0815335379760964,0.3333333333333333,0.37504095214899963,56.61451532622815,117.12,ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,D2,1.0,8019.3771279421435,
300,98999.18948453793,-0.010008105154620694,-1000.8105154620716,0.9896621615788255,0.31666666666666665,0.3912365280023314,54.400419406185236,117.12,ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,D2,2.0,7649.156582658825,
427,118561.35747868025,0.1856135747868024,18561.35747868025,1.1357977007554148,0.32786885245901637,0.3604347179014264,83.85440023084134,116.5152224824356,ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,E2,1.0,7627.6436025913845,
427,104904.00722367276,0.04904007223672768,4904.007223672757,1.0359316612692748,0.32084309133489464,0.39295917451580825,78.90243441032342,116.5152224824356,ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,E2,2.0,7173.780106496675,
357,126199.25312677742,0.2619925312677742,26199.253126777417,1.2366252401356148,0.33053221288515405,0.3505002039952312,72.37278748133288,116.10084033613445,ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,E2,1.0,7677.364434438172,
357,113627.40178350442,0.13627401783504411,13627.401783504421,1.1220507261389612,0.3277310924369748,0.3796942949665552,68.58238987012412,116.10084033613445,ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,E2,2.0,7256.847755687988,
303,102232.98659171772,0.02232986591717734,2232.986591717723,1.0221805959315722,0.3201320132013201,0.37504095214899963,57.12308957373828,115.08910891089108,ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,E2,1.0,8019.3771279421435,
303,93764.46526598887,-0.06235534734011128,-6235.534734011133,0.9388044474681566,0.30363036303630364,0.3912365280023314,54.840282004647534,115.08910891089108,ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,E2,2.0,7649.156582658825,
365,112654.4445578775,0.12654444557877498,12654.444557877505,1.1041715293162906,0.32602739726027397,0.35755460761712166,74.70865387622304,116.18630136986302,FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,7321.172524126754,0.0
365,100633.1656758773,0.006331656758773008,633.1656758773024,1.005202811385666,0.3232876712328767,0.3870329545351327,70.59992746859801,116.18630136986302,FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,2.0,6913.125703006246,0.0
354,118868.41464252185,0.18868414642521847,18868.41464252185,1.1693350888092116,0.327683615819209,0.3505002039952312,71.64581592609612,116.20338983050847,FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,C2,1.0,7677.364434438172,0.0
354,106794.87516800553,0.06794875168005521,6794.875168005528,1.060525936090599,0.3248587570621469,0.3796942949665552,67.88726525544212,116.20338983050847,FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,C2,2.0,7256.847755687988,0.0
100,120052.12479647667,0.20052124796476667,20052.124796476666,1.3843189985066906,0.35,0.22988867317894932,33.70650918708951,118.08,FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,C2,1.0,8278.43358120101,0.0
100,114790.51183119719,0.14790511831197195,14790.51183119719,1.2744781509596388,0.34,0.24946069571483231,32.97916405197196,118.08,FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,C2,2.0,7994.221325400875,0.0
376,129618.81841699196,0.29618818416991965,29618.818416991955,1.2413060478462057,0.324468085106383,0.35755460761712166,77.60736604486024,115.65957446808511,FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,D2,1.0,7321.172524126754,0.0
376,115856.35548745126,0.15856355487451257,15856.355487451263,1.1288615663413257,0.32180851063829785,0.3870329545351327,73.25324161163013,115.65957446808511,FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,D2,2.0,6913.125703006246,0.0
364,120322.38280185676,0.20322382801856764,20322.38280185676,1.1801138435706855,0.3241758241758242,0.3505002039952312,73.02119154982798,115.51648351648352,FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,D2,1.0,7677.364434438172,0.0
364,108192.50613135417,0.0819250613135416,8192.506131354166,1.0720703762946442,0.32142857142857145,0.3796942949665552,69.16669898596857,115.51648351648352,FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,D2,2.0,7256.847755687988,0.0
