policy_id,portfolio_id,universe_id,cost_multiplier,rs_degraded_set_count,rs_degraded_clear_count,rs_degraded_persist_count,rs_unevaluable_checkpoint_count,atomic_replacement_count,atomic_replacement_incoming_mb_supported,atomic_replacement_incoming_rs_only,replacement_no_candidate,replacement_entry_infeasible,degraded_positions_held_without_replacement
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,C2,1.0,0,0,0,0,0,0,0,0,0,0
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,C2,2.0,0,0,0,0,0,0,0,0,0,0
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,C2,1.0,0,0,0,0,0,0,0,0,0,0
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,C2,2.0,0,0,0,0,0,0,0,0,0,0
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,C2,1.0,0,0,0,0,0,0,0,0,0,0
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,C2,2.0,0,0,0,0,0,0,0,0,0,0
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,D2,1.0,0,0,0,0,0,0,0,0,0,0
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,D2,2.0,0,0,0,0,0,0,0,0,0,0
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,D2,1.0,0,0,0,0,0,0,0,0,0,0
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,D2,2.0,0,0,0,0,0,0,0,0,0,0
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,D2,1.0,0,0,0,0,0,0,0,0,0,0
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,D2,2.0,0,0,0,0,0,0,0,0,0,0
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,E2,1.0,0,0,0,0,0,0,0,0,0,0
ROUTER_TIME_FAIL_72_CONTROL,UNION_FOCUS,E2,2.0,0,0,0,0,0,0,0,0,0,0
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,E2,1.0,0,0,0,0,0,0,0,0,0,0
ROUTER_TIME_FAIL_72_CONTROL,MOMENTUM_BREAKOUT,E2,2.0,0,0,0,0,0,0,0,0,0,0
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,E2,1.0,0,0,0,0,0,0,0,0,0,0
ROUTER_TIME_FAIL_72_CONTROL,RELATIVE_STRENGTH_ROTATION,E2,2.0,0,0,0,0,0,0,0,0,0,0
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,1.0,0,0,0,0,0,0,0,0,0,0
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,C2,2.0,0,0,0,0,0,0,0,0,0,0
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,C2,1.0,0,0,0,0,0,0,0,0,0,0
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,C2,2.0,0,0,0,0,0,0,0,0,0,0
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,C2,1.0,0,0,0,0,0,0,0,0,0,0
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,C2,2.0,0,0,0,0,0,0,0,0,0,0
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,D2,1.0,0,0,0,0,0,0,0,0,0,0
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,D2,2.0,0,0,0,0,0,0,0,0,0,0
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,D2,1.0,0,0,0,0,0,0,0,0,0,0
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,D2,2.0,0,0,0,0,0,0,0,0,0,0
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,D2,1.0,0,0,0,0,0,0,0,0,0,0
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,D2,2.0,0,0,0,0,0,0,0,0,0,0
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,1.0,0,0,0,0,0,0,0,0,0,0
FAMILY_QUALITY_CONTROL_EXITS,UNION_FOCUS,E2,2.0,0,0,0,0,0,0,0,0,0,0
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,E2,1.0,0,0,0,0,0,0,0,0,0,0
FAMILY_QUALITY_CONTROL_EXITS,MOMENTUM_BREAKOUT,E2,2.0,0,0,0,0,0,0,0,0,0,0
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,E2,1.0,0,0,0,0,0,0,0,0,0,0
FAMILY_QUALITY_CONTROL_EXITS,RELATIVE_STRENGTH_ROTATION,E2,2.0,0,0,0,0,0,0,0,0,0,0
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,UNION_FOCUS,C2,1.0,15,4,10,0,0,0,0,123,0,600
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,UNION_FOCUS,C2,2.0,15,4,10,0,0,0,0,123,0,600
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,MOMENTUM_BREAKOUT,C2,1.0,0,0,0,0,0,0,0,103,0,0
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,MOMENTUM_BREAKOUT,C2,2.0,0,0,0,0,0,0,0,103,0,0
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,RELATIVE_STRENGTH_ROTATION,C2,1.0,56,17,27,0,0,0,0,2,0,1992
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,RELATIVE_STRENGTH_ROTATION,C2,2.0,56,17,27,0,0,0,0,2,0,1992
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,UNION_FOCUS,D2,1.0,17,7,10,0,0,0,0,128,0,648
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,UNION_FOCUS,D2,2.0,17,7,10,0,0,0,0,128,0,648
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,MOMENTUM_BREAKOUT,D2,1.0,0,0,0,0,0,0,0,111,0,0
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,MOMENTUM_BREAKOUT,D2,2.0,0,0,0,0,0,0,0,111,0,0
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,RELATIVE_STRENGTH_ROTATION,D2,1.0,57,22,27,0,0,0,0,1,0,2016
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,RELATIVE_STRENGTH_ROTATION,D2,2.0,57,22,27,0,0,0,0,1,0,2016
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,UNION_FOCUS,E2,1.0,16,5,10,0,0,0,0,129,0,624
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,UNION_FOCUS,E2,2.0,16,5,10,0,0,0,0,129,0,624
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,MOMENTUM_BREAKOUT,E2,1.0,0,0,0,0,0,0,0,109,0,0
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,MOMENTUM_BREAKOUT,E2,2.0,0,0,0,0,0,0,0,109,0,0
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,RELATIVE_STRENGTH_ROTATION,E2,1.0,53,17,25,0,0,0,0,1,0,1872
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,RELATIVE_STRENGTH_ROTATION,E2,2.0,53,17,25,0,0,0,0,1,0,1872
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,C2,1.0,18,5,7,0,0,0,0,53,0,600
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,C2,2.0,18,5,7,0,0,0,0,53,0,600
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,MOMENTUM_BREAKOUT,C2,1.0,0,0,0,0,0,0,0,48,0,0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,MOMENTUM_BREAKOUT,C2,2.0,0,0,0,0,0,0,0,48,0,0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,RELATIVE_STRENGTH_ROTATION,C2,1.0,37,11,13,0,0,0,0,0,0,1197
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,RELATIVE_STRENGTH_ROTATION,C2,2.0,37,11,13,0,0,0,0,0,0,1197
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,D2,1.0,24,6,11,0,0,0,0,63,0,830
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,D2,2.0,24,6,11,0,0,0,0,63,0,830
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,MOMENTUM_BREAKOUT,D2,1.0,0,0,0,0,0,0,0,52,0,0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,MOMENTUM_BREAKOUT,D2,2.0,0,0,0,0,0,0,0,52,0,0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,RELATIVE_STRENGTH_ROTATION,D2,1.0,43,14,18,0,0,0,0,0,0,1451
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,RELATIVE_STRENGTH_ROTATION,D2,2.0,43,14,18,0,0,0,0,0,0,1451
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,E2,1.0,20,5,8,0,0,0,0,60,0,672
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,UNION_FOCUS,E2,2.0,20,5,8,0,0,0,0,60,0,672
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,MOMENTUM_BREAKOUT,E2,1.0,0,0,0,0,0,0,0,50,0,0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,MOMENTUM_BREAKOUT,E2,2.0,0,0,0,0,0,0,0,50,0,0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,RELATIVE_STRENGTH_ROTATION,E2,1.0,39,12,15,0,0,0,0,0,0,1293
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,RELATIVE_STRENGTH_ROTATION,E2,2.0,39,12,15,0,0,0,0,0,0,1293
