record_type,pair,source_path,source_file_present,raw_row_count_loaded,minimum_timestamp_loaded,maximum_timestamp_loaded,q24_available_timestamp_count,source_status,period_id,universe_id,landmark_age_hours,decision_row_count,valid_feature_row_count,invalid_feature_row_count,valid_feature_fraction,valid_status_count,membership_snapshot_unavailable_count,peer_set_not_exactly_six_count,held_pair_not_in_peer_set_count,missing_peer_q24_count,nonpositive_or_nonfinite_peer_q24_count
PAIR_SOURCE,ADA-USDT,C:\SIRAJ\Repositories\spot-speculation-bot\data\raw\rd16b\kucoin\ADA-USDT\1h.parquet,True,39397.0,2019-07-04T11:00:00+00:00,2023-12-31T23:00:00+00:00,39374.0,READY,,,,,,,,,,,,,
PAIR_SOURCE,ATOM-USDT,C:\SIRAJ\Repositories\spot-speculation-bot\data\raw\rd16b\kucoin\ATOM-USDT\1h.parquet,True,40381.0,2019-05-24T11:00:00+00:00,2023-12-31T23:00:00+00:00,40358.0,READY,,,,,,,,,,,,,
PAIR_SOURCE,AVAX-USDT,C:\SIRAJ\Repositories\spot-speculation-bot\data\raw\rd16b\kucoin\AVAX-USDT\1h.parquet,True,24757.0,2021-03-05T11:00:00+00:00,2023-12-31T23:00:00+00:00,24734.0,READY,,,,,,,,,,,,,
PAIR_SOURCE,BNB-USDT,C:\SIRAJ\Repositories\spot-speculation-bot\data\raw\rd16b\kucoin\BNB-USDT\1h.parquet,True,39757.0,2019-06-19T11:00:00+00:00,2023-12-31T23:00:00+00:00,39734.0,READY,,,,,,,,,,,,,
PAIR_SOURCE,BTC-USDT,C:\SIRAJ\Repositories\spot-speculation-bot\data\raw\rd16b\kucoin\BTC-USDT\1h.parquet,True,43823.0,2019-01-01T01:00:00+00:00,2023-12-31T23:00:00+00:00,43800.0,READY,,,,,,,,,,,,,
PAIR_SOURCE,DOGE-USDT,C:\SIRAJ\Repositories\spot-speculation-bot\data\raw\rd16b\kucoin\DOGE-USDT\1h.parquet,True,25340.0,2021-02-09T04:00:00+00:00,2023-12-31T23:00:00+00:00,25317.0,READY,,,,,,,,,,,,,
PAIR_SOURCE,DOT-USDT,C:\SIRAJ\Repositories\spot-speculation-bot\data\raw\rd16b\kucoin\DOT-USDT\1h.parquet,True,29454.0,2020-08-21T18:00:00+00:00,2023-12-31T23:00:00+00:00,29431.0,READY,,,,,,,,,,,,,
PAIR_SOURCE,ETH-USDT,C:\SIRAJ\Repositories\spot-speculation-bot\data\raw\rd16b\kucoin\ETH-USDT\1h.parquet,True,43823.0,2019-01-01T01:00:00+00:00,2023-12-31T23:00:00+00:00,43800.0,READY,,,,,,,,,,,,,
PAIR_SOURCE,FET-USDT,C:\SIRAJ\Repositories\spot-speculation-bot\data\raw\rd16b\kucoin\FET-USDT\1h.parquet,True,7548.0,2023-02-20T12:00:00+00:00,2023-12-31T23:00:00+00:00,7525.0,READY,,,,,,,,,,,,,
PAIR_SOURCE,FIL-USDT,C:\SIRAJ\Repositories\spot-speculation-bot\data\raw\rd16b\kucoin\FIL-USDT\1h.parquet,True,28134.0,2020-10-15T18:00:00+00:00,2023-12-31T23:00:00+00:00,28111.0,READY,,,,,,,,,,,,,
PAIR_SOURCE,GRAM-USDT,C:\SIRAJ\Repositories\spot-speculation-bot\data\raw\rd16b\kucoin\GRAM-USDT\1h.parquet,True,10333.0,2022-10-27T11:00:00+00:00,2023-12-31T23:00:00+00:00,10310.0,READY,,,,,,,,,,,,,
