variant_id,universe_id,cost_multiplier,partition_id,hours_total,membership_missing_hours,market_gate_off_hours,no_daily_rank_hours,ranked_asset_checks,rank_membership_changed_rejections,missing_feature_rejections,trend_rejections,extension_rejections,pullback_touch_rejections,pullback_recovery_rejections,breakout_rejections,contraction_rejections,cost_hurdle_rejections,candidate_signals,top_k_saturation_hours,partition_final_bar_skips,market_gate_breadth_below_threshold,market_gate_median_168h_return_nonpositive,market_gate_btc_below_ema,market_gate_btc_ema_slope_nonpositive
RD19_P2_V01,C2,1.0,DISCOVERY_CORE,26304,2160,15079,1838,27242,0,0,986,25881,0,0,375,0,0,0,0,0,2399,1041,10237,1402.0
RD19_P2_V01,C2,1.0,VALIDATION_2022,8760,0,6663,1033,2760,0,0,117,2607,0,0,36,0,0,0,0,0,388,329,5389,557.0
RD19_P2_V01,C2,1.0,STRESS_2023,8760,0,5648,502,9377,0,0,309,8977,0,0,91,0,0,0,0,0,940,315,3881,512.0
RD19_P2_V01,C2,2.0,DISCOVERY_CORE,26304,2160,15079,1838,27242,0,0,986,25881,0,0,375,0,0,0,0,0,2399,1041,10237,1402.0
RD19_P2_V01,C2,2.0,VALIDATION_2022,8760,0,6663,1033,2760,0,0,117,2607,0,0,36,0,0,0,0,0,388,329,5389,557.0
RD19_P2_V01,C2,2.0,STRESS_2023,8760,0,5648,502,9377,0,0,309,8977,0,0,91,0,0,0,0,0,940,315,3881,512.0
RD19_P2_V01,D2,1.0,DISCOVERY_CORE,26304,2160,15042,1910,26516,0,0,932,25241,0,0,343,0,0,0,0,0,2351,1052,10237,1402.0
RD19_P2_V01,D2,1.0,VALIDATION_2022,8760,0,6663,1033,2760,0,0,117,2607,0,0,36,0,0,0,0,0,388,329,5389,557.0
RD19_P2_V01,D2,1.0,STRESS_2023,8760,0,5537,594,9618,0,0,284,9234,0,0,100,0,0,0,0,0,874,270,3881,512.0
RD19_P2_V01,D2,2.0,DISCOVERY_CORE,26304,2160,15042,1910,26516,0,0,932,25241,0,0,343,0,0,0,0,0,2351,1052,10237,1402.0
RD19_P2_V01,D2,2.0,VALIDATION_2022,8760,0,6663,1033,2760,0,0,117,2607,0,0,36,0,0,0,0,0,388,329,5389,557.0
RD19_P2_V01,D2,2.0,STRESS_2023,8760,0,5537,594,9618,0,0,284,9234,0,0,100,0,0,0,0,0,874,270,3881,512.0
RD19_P2_V01,E2,1.0,DISCOVERY_CORE,26304,2160,15064,1772,27370,0,0,986,26006,0,0,378,0,0,0,0,0,2399,1026,10237,1402.0
RD19_P2_V01,E2,1.0,VALIDATION_2022,8760,0,6663,1033,2760,0,0,117,2607,0,0,36,0,0,0,0,0,388,329,5389,557.0
RD19_P2_V01,E2,1.0,STRESS_2023,8760,0,5592,556,9408,0,0,284,9033,0,0,91,0,0,0,0,0,903,296,3881,512.0
RD19_P2_V01,E2,2.0,DISCOVERY_CORE,26304,2160,15064,1772,27370,0,0,986,26006,0,0,378,0,0,0,0,0,2399,1026,10237,1402.0
RD19_P2_V01,E2,2.0,VALIDATION_2022,8760,0,6663,1033,2760,0,0,117,2607,0,0,36,0,0,0,0,0,388,329,5389,557.0
RD19_P2_V01,E2,2.0,STRESS_2023,8760,0,5592,556,9408,0,0,284,9033,0,0,91,0,0,0,0,0,903,296,3881,512.0
RD19_P2_V02,C2,1.0,DISCOVERY_CORE,26304,2160,15079,1341,28649,0,0,1558,25522,0,0,1569,0,0,0,0,0,2399,1041,10237,1402.0
RD19_P2_V02,C2,1.0,VALIDATION_2022,8760,0,6663,947,3990,0,0,164,3535,0,0,291,0,0,0,0,0,388,329,5389,557.0
RD19_P2_V02,C2,1.0,STRESS_2023,8760,0,5648,390,10058,0,0,563,8860,0,0,635,0,0,0,0,0,940,315,3881,512.0
RD19_P2_V02,C2,2.0,DISCOVERY_CORE,26304,2160,15079,1341,28649,0,0,1558,25522,0,0,1569,0,0,0,0,0,2399,1041,10237,1402.0
RD19_P2_V02,C2,2.0,VALIDATION_2022,8760,0,6663,947,3990,0,0,164,3535,0,0,291,0,0,0,0,0,388,329,5389,557.0
RD19_P2_V02,C2,2.0,STRESS_2023,8760,0,5648,390,10058,0,0,563,8860,0,0,635,0,0,0,0,0,940,315,3881,512.0
RD19_P2_V02,D2,1.0,DISCOVERY_CORE,26304,2160,15042,1454,28673,0,0,1467,25670,0,0,1536,0,0,0,0,0,2351,1052,10237,1402.0
RD19_P2_V02,D2,1.0,VALIDATION_2022,8760,0,6663,947,3990,0,0,164,3535,0,0,291,0,0,0,0,0,388,329,5389,557.0
RD19_P2_V02,D2,1.0,STRESS_2023,8760,0,5537,458,10465,0,0,591,9234,0,0,640,0,0,0,0,0,874,270,3881,512.0
RD19_P2_V02,D2,2.0,DISCOVERY_CORE,26304,2160,15042,1454,28673,0,0,1467,25670,0,0,1536,0,0,0,0,0,2351,1052,10237,1402.0
RD19_P2_V02,D2,2.0,VALIDATION_2022,8760,0,6663,947,3990,0,0,164,3535,0,0,291,0,0,0,0,0,388,329,5389,557.0
RD19_P2_V02,D2,2.0,STRESS_2023,8760,0,5537,458,10465,0,0,591,9234,0,0,640,0,0,0,0,0,874,270,3881,512.0
RD19_P2_V02,E2,1.0,DISCOVERY_CORE,26304,2160,15064,1356,28649,0,0,1558,25522,0,0,1569,0,0,0,0,0,2399,1026,10237,1402.0
RD19_P2_V02,E2,1.0,VALIDATION_2022,8760,0,6663,947,3990,0,0,164,3535,0,0,291,0,0,0,0,0,388,329,5389,557.0
RD19_P2_V02,E2,1.0,STRESS_2023,8760,0,5592,420,10212,0,0,538,9038,0,0,636,0,0,0,0,0,903,296,3881,512.0
RD19_P2_V02,E2,2.0,DISCOVERY_CORE,26304,2160,15064,1356,28649,0,0,1558,25522,0,0,1569,0,0,0,0,0,2399,1026,10237,1402.0
RD19_P2_V02,E2,2.0,VALIDATION_2022,8760,0,6663,947,3990,0,0,164,3535,0,0,291,0,0,0,0,0,388,329,5389,557.0
RD19_P2_V02,E2,2.0,STRESS_2023,8760,0,5592,420,10212,0,0,538,9038,0,0,636,0,0,0,0,0,903,296,3881,512.0
RD19_P2_V03,C2,1.0,DISCOVERY_CORE,26304,2160,13845,2232,29730,0,0,1188,27670,12,747,0,0,97,16,0,0,1603,2005,10237,
