run_id,execution_order,path,bytes,sha256,evidence_role
001_RD19_P2_V01_DISCOVERY_CORE_C2_1x,1,runs/001/001_RD19_P2_V01_DISCOVERY_CORE_C2_1x/candidates.parquet,6559,fdbfc576732f46b5ecf70b0a76867730c47bf66e95ebe9c98802c915907718ab,RUN_ARTIFACT
001_RD19_P2_V01_DISCOVERY_CORE_C2_1x,1,runs/001/001_RD19_P2_V01_DISCOVERY_CORE_C2_1x/evaluated.parquet,10037,21fca00030c2e0ffc2b440e0e554515c9fd2523502192203629cfc5f7faf1f98,RUN_ARTIFACT
001_RD19_P2_V01_DISCOVERY_CORE_C2_1x,1,runs/001/001_RD19_P2_V01_DISCOVERY_CORE_C2_1x/trades.parquet,10811,0304be91b9e2744d5524092bd411adaf70f801fd608522e1e6eea9e3ab553749,RUN_ARTIFACT
001_RD19_P2_V01_DISCOVERY_CORE_C2_1x,1,runs/001/001_RD19_P2_V01_DISCOVERY_CORE_C2_1x/cash-ledger.parquet,3932,bfb9ac4fd1e545232567fae9b4ceee048e73c055ff7672164ff73472a92218c5,RUN_ARTIFACT
001_RD19_P2_V01_DISCOVERY_CORE_C2_1x,1,runs/001/001_RD19_P2_V01_DISCOVERY_CORE_C2_1x/equity-curve.parquet,234932,5e21fca1cc8519b4aa750ee95e46f3544018b8c49ba49ba9151d121ce087bcea,RUN_ARTIFACT
001_RD19_P2_V01_DISCOVERY_CORE_C2_1x,1,runs/001/001_RD19_P2_V01_DISCOVERY_CORE_C2_1x/run-metrics.json,1326,1b64cd5f45ba417af3878f24e792018baccd9752d04dec83a4bc93ce2801feb4,RUN_ARTIFACT
001_RD19_P2_V01_DISCOVERY_CORE_C2_1x,1,runs/001/001_RD19_P2_V01_DISCOVERY_CORE_C2_1x/checkpoint.json,1084,6d6ee4e9f377650a95511267f69510903ff724c079184ee09de597459c53ad33,RUN_CHECKPOINT
002_RD19_P2_V01_DISCOVERY_CORE_C2_2x,2,runs/002/002_RD19_P2_V01_DISCOVERY_CORE_C2_2x/candidates.parquet,6559,fdbfc576732f46b5ecf70b0a76867730c47bf66e95ebe9c98802c915907718ab,RUN_ARTIFACT
002_RD19_P2_V01_DISCOVERY_CORE_C2_2x,2,runs/002/002_RD19_P2_V01_DISCOVERY_CORE_C2_2x/evaluated.parquet,10037,21fca00030c2e0ffc2b440e0e554515c9fd2523502192203629cfc5f7faf1f98,RUN_ARTIFACT
002_RD19_P2_V01_DISCOVERY_CORE_C2_2x,2,runs/002/002_RD19_P2_V01_DISCOVERY_CORE_C2_2x/trades.parquet,10811,0304be91b9e2744d5524092bd411adaf70f801fd608522e1e6eea9e3ab553749,RUN_ARTIFACT
