snapshot_date,rebalance_time,regime_label,local_top10_count,ranks_contiguous_1_to_10,symbols_unique,positive_market_caps_usd,market_caps_descending,source_day_matches_snapshot,source_timestamp_day_matches_snapshot,available_at_matches_rebalance,rebalance_is_monday,decision_lag_days,timing_and_unit_gate
2021-05-09 00:00:00+00:00,2021-05-10 00:00:00+00:00,2021_BULL,10,True,True,True,True,True,True,True,True,1,True
2022-06-26 00:00:00+00:00,2022-06-27 00:00:00+00:00,2022_BEAR_STRESS,10,True,True,True,True,True,True,True,True,1,True
2023-10-22 00:00:00+00:00,2023-10-23 00:00:00+00:00,2023_RECOVERY,10,True,True,True,True,True,True,True,True,1,True
2024-03-10 00:00:00+00:00,2024-03-11 00:00:00+00:00,2024_ACCELERATION,10,True,True,True,True,True,True,True,True,1,True
