snapshot_date,regime_label,symbol,independent_filtered_rank,local_rank,absolute_rank_delta,independent_market_cap_usd,local_market_cap_usd,local_to_independent_cap_ratio,ratio_within_0_25_to_4
2021-05-09 00:00:00+00:00,2021_BULL,ADA,5,6,1,56566463236.9,57022025716.06039,1.0080535789775735,True
2021-05-09 00:00:00+00:00,2021_BULL,BTC,1,1,0,1089244557675.55,1090293033441.2048,1.0009625714980777,True
2021-05-09 00:00:00+00:00,2021_BULL,DOGE,4,4,0,73841942943.12,74249424965.11722,1.005518300382631,True
2021-05-09 00:00:00+00:00,2021_BULL,ETH,2,2,0,454991994900.06,453962679013.81714,0.9977377274814055,True
2021-05-09 00:00:00+00:00,2021_BULL,XRP,6,3,3,53901564261.5,153436725711.86145,2.846609886263652,True
2022-06-26 00:00:00+00:00,2022_BEAR_STRESS,ADA,5,4,1,16527043912.82,16420429547.88744,0.9935490965296063,True
2022-06-26 00:00:00+00:00,2022_BEAR_STRESS,BTC,1,1,0,401157940864.19,401907776246.90607,1.001869177464369,True
2022-06-26 00:00:00+00:00,2022_BEAR_STRESS,ETH,2,2,0,145556215206.34,143867796717.28784,0.9884002308890854,True
2022-06-26 00:00:00+00:00,2022_BEAR_STRESS,XRP,4,3,1,17348594104.59,35917547540.54317,2.07034341365104,True
2023-10-22 00:00:00+00:00,2023_RECOVERY,ADA,6,6,0,9285305754.08,9114143091.576456,0.9815662868798548,True
2023-10-22 00:00:00+00:00,2023_RECOVERY,BTC,1,1,0,585517392721.71,585327499000.0365,0.9996756821846218,True
2023-10-22 00:00:00+00:00,2023_RECOVERY,ETH,2,2,0,200056060611.08,200014370740.0251,0.9997916090573434,True
2023-10-22 00:00:00+00:00,2023_RECOVERY,XRP,4,3,1,27922258557.44,52261014640.77458,1.871661439323268,True
2024-03-10 00:00:00+00:00,2024_ACCELERATION,ADA,6,4,2,25460663823.04,24865968959.73985,0.9766426018020002,True
2024-03-10 00:00:00+00:00,2024_ACCELERATION,BTC,1,1,0,1356284493147.36,1353579668685.426,0.998005710103153,True
2024-03-10 00:00:00+00:00,2024_ACCELERATION,ETH,2,2,0,466138296994.81,465068887749.35565,0.9977058112316692,True
2024-03-10 00:00:00+00:00,2024_ACCELERATION,XRP,5,3,2,33303648818.63,60720105770.706566,1.8232268212226599,True
