source_asset,canonical_symbol,day,source_timestamp,available_at,market_cap_usd,source_path,source_span_days,rebalance_time,market_cap_rank,top6_member,top10_member,manual_snapshot_date,regime_label
btc,BTC,2021-05-09 00:00:00+00:00,2021-05-09 00:00:00+00:00,2021-05-10 00:00:00+00:00,1090293033441.2048,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2021-05-10 00:00:00+00:00,1,True,True,2021-05-09 00:00:00+00:00,2021_BULL
eth,ETH,2021-05-09 00:00:00+00:00,2021-05-09 00:00:00+00:00,2021-05-10 00:00:00+00:00,453962679013.81714,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2021-05-10 00:00:00+00:00,2,True,True,2021-05-09 00:00:00+00:00,2021_BULL
xrp,XRP,2021-05-09 00:00:00+00:00,2021-05-09 00:00:00+00:00,2021-05-10 00:00:00+00:00,153436725711.86145,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2021-05-10 00:00:00+00:00,3,True,True,2021-05-09 00:00:00+00:00,2021_BULL
doge,DOGE,2021-05-09 00:00:00+00:00,2021-05-09 00:00:00+00:00,2021-05-10 00:00:00+00:00,74249424965.11722,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2021-05-10 00:00:00+00:00,4,True,True,2021-05-09 00:00:00+00:00,2021_BULL
xlm,XLM,2021-05-09 00:00:00+00:00,2021-05-09 00:00:00+00:00,2021-05-10 00:00:00+00:00,65991605147.8076,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2021-05-10 00:00:00+00:00,5,True,True,2021-05-09 00:00:00+00:00,2021_BULL
ada,ADA,2021-05-09 00:00:00+00:00,2021-05-09 00:00:00+00:00,2021-05-10 00:00:00+00:00,57022025716.06039,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2021-05-10 00:00:00+00:00,6,True,True,2021-05-09 00:00:00+00:00,2021_BULL
link,LINK,2021-05-09 00:00:00+00:00,2021-05-09 00:00:00+00:00,2021-05-10 00:00:00+00:00,51746697770.1087,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2021-05-10 00:00:00+00:00,7,False,True,2021-05-09 00:00:00+00:00,2021_BULL
dot,DOT,2021-05-09 00:00:00+00:00,2021-05-09 00:00:00+00:00,2021-05-10 00:00:00+00:00,42673273838.65952,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2021-05-10 00:00:00+00:00,8,False,True,2021-05-09 00:00:00+00:00,2021_BULL
uni,UNI,2021-05-09 00:00:00+00:00,2021-05-09 00:00:00+00:00,2021-05-10 00:00:00+00:00,39444195306.4623,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2021-05-10 00:00:00+00:00,9,False,True,2021-05-09 00:00:00+00:00,2021_BULL
bch,BCH,2021-05-09 00:00:00+00:00,2021-05-09 00:00:00+00:00,2021-05-10 00:00:00+00:00,26510673946.218296,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2021-05-10 00:00:00+00:00,10,False,True,2021-05-09 00:00:00+00:00,2021_BULL
