snapshot_date,regime_label,raw_rank,name,symbol,market_cap_usd,source_url,canonical_symbol,exclusion_reason,eligible_after_exclusions,filtered_rank
2021-05-09 00:00:00+00:00,2021_BULL,1,Bitcoin,BTC,1089244557675.55,https://coinmarketcap.com/historical/20210509/,BTC,,True,1
2021-05-09 00:00:00+00:00,2021_BULL,2,Ethereum,ETH,454991994900.06,https://coinmarketcap.com/historical/20210509/,ETH,,True,2
2021-05-09 00:00:00+00:00,2021_BULL,3,Binance Coin,BNB,101607648677.76,https://coinmarketcap.com/historical/20210509/,BNB,,True,3
2021-05-09 00:00:00+00:00,2021_BULL,4,Dogecoin,DOGE,73841942943.12,https://coinmarketcap.com/historical/20210509/,DOGE,,True,4
2021-05-09 00:00:00+00:00,2021_BULL,5,Cardano,ADA,56566463236.9,https://coinmarketcap.com/historical/20210509/,ADA,,True,5
2021-05-09 00:00:00+00:00,2021_BULL,7,XRP,XRP,53901564261.5,https://coinmarketcap.com/historical/20210509/,XRP,,True,6
2021-05-09 00:00:00+00:00,2021_BULL,8,Polkadot,DOT,37754263203.32,https://coinmarketcap.com/historical/20210509/,DOT,,True,7
2021-05-09 00:00:00+00:00,2021_BULL,9,Bitcoin Cash,BCH,26759773845.5,https://coinmarketcap.com/historical/20210509/,BCH,,True,8
2021-05-09 00:00:00+00:00,2021_BULL,10,Litecoin,LTC,25796522602.13,https://coinmarketcap.com/historical/20210509/,LTC,,True,9
2022-06-26 00:00:00+00:00,2022_BEAR_STRESS,1,Bitcoin,BTC,401157940864.19,https://coinmarketcap.com/historical/20220626/,BTC,,True,1
2022-06-26 00:00:00+00:00,2022_BEAR_STRESS,2,Ethereum,ETH,145556215206.34,https://coinmarketcap.com/historical/20220626/,ETH,,True,2
2022-06-26 00:00:00+00:00,2022_BEAR_STRESS,5,BNB,BNB,38183748927.97,https://coinmarketcap.com/historical/20220626/,BNB,,True,3
2022-06-26 00:00:00+00:00,2022_BEAR_STRESS,6,XRP,XRP,17348594104.59,https://coinmarketcap.com/historical/20220626/,XRP,,True,4
2022-06-26 00:00:00+00:00,2022_BEAR_STRESS,8,Cardano,ADA,16527043912.82,https://coinmarketcap.com/historical/20220626/,ADA,,True,5
2022-06-26 00:00:00+00:00,2022_BEAR_STRESS,9,Solana,SOL,13507861443.26,https://coinmarketcap.com/historical/20220626/,SOL,,True,6
2022-06-26 00:00:00+00:00,2022_BEAR_STRESS,10,Dogecoin,DOGE,9708405808.7,https://coinmarketcap.com/historical/20220626/,DOGE,,True,7
2023-10-22 00:00:00+00:00,2023_RECOVERY,1,Bitcoin,BTC,585517392721.71,https://coinmarketcap.com/historical/20231022/,BTC,,True,1
2023-10-22 00:00:00+00:00,2023_RECOVERY,2,Ethereum,ETH,200056060611.08,https://coinmarketcap.com/historical/20231022/,ETH,,True,2
2023-10-22 00:00:00+00:00,2023_RECOVERY,4,BNB,BNB,33033371021.83,https://coinmarketcap.com/historical/20231022/,BNB,,True,3
2023-10-22 00:00:00+00:00,2023_RECOVERY,5,XRP,XRP,27922258557.44,https://coinmarketcap.com/historical/20231022/,XRP,,True,4
2023-10-22 00:00:00+00:00,2023_RECOVERY,7,Solana,SOL,12100222063.87,https://coinmarketcap.com/historical/20231022/,SOL,,True,5
2023-10-22 00:00:00+00:00,2023_RECOVERY,8,Cardano,ADA,9285305754.08,https://coinmarketcap.com/historical/20231022/,ADA,,True,6
2023-10-22 00:00:00+00:00,2023_RECOVERY,9,Dogecoin,DOGE,8717112671.29,https://coinmarketcap.com/historical/20231022/,DOGE,,True,7
2023-10-22 00:00:00+00:00,2023_RECOVERY,10,TRON,TRX,8033271432.7,https://coinmarketcap.com/historical/20231022/,TRX,,True,8
2024-03-10 00:00:00+00:00,2024_ACCELERATION,1,Bitcoin,BTC,1356284493147.36,https://coinmarketcap.com/historical/20240310/,BTC,,True,1
2024-03-10 00:00:00+00:00,2024_ACCELERATION,2,Ethereum,ETH,466138296994.81,https://coinmarketcap.com/historical/20240310/,ETH,,True,2
2024-03-10 00:00:00+00:00,2024_ACCELERATION,4,BNB,BNB,79162740267.98,https://coinmarketcap.com/historical/20240310/,BNB,,True,3
2024-03-10 00:00:00+00:00,2024_ACCELERATION,5,Solana,SOL,64055231607.5,https://coinmarketcap.com/historical/20240310/,SOL,,True,4
2024-03-10 00:00:00+00:00,2024_ACCELERATION,6,XRP,XRP,33303648818.63,https://coinmarketcap.com/historical/20240310/,XRP,,True,5
2024-03-10 00:00:00+00:00,2024_ACCELERATION,8,Cardano,ADA,25460663823.04,https://coinmarketcap.com/historical/20240310/,ADA,,True,6
2024-03-10 00:00:00+00:00,2024_ACCELERATION,9,Dogecoin,DOGE,24369114248.58,https://coinmarketcap.com/historical/20240310/,DOGE,,True,7
2024-03-10 00:00:00+00:00,2024_ACCELERATION,10,Shiba Inu,SHIB,19337774077.52,https://coinmarketcap.com/historical/20240310/,SHIB,,True,8
