snapshot_date,rebalance_time,regime_label,independent_top6,local_top6,overlap_count,exact_set_match,jaccard_similarity,missing_from_local,extra_in_local,maximum_common_rank_displacement,mean_common_rank_displacement,market_cap_unit_ratio_gate,minimum_overlap_gate,rank_displacement_gate,comparison_gate
2021-05-09 00:00:00+00:00,2021-05-10 00:00:00+00:00,2021_BULL,ADA|BNB|BTC|DOGE|ETH|XRP,ADA|BTC|DOGE|ETH|XLM|XRP,5,False,0.7142857142857143,BNB,XLM,3,0.8,True,True,False,False
2022-06-26 00:00:00+00:00,2022-06-27 00:00:00+00:00,2022_BEAR_STRESS,ADA|BNB|BTC|ETH|SOL|XRP,ADA|BTC|CRO|ETH|XLM|XRP,4,False,0.5,BNB|SOL,CRO|XLM,1,0.5,True,False,True,False
2023-10-22 00:00:00+00:00,2023-10-23 00:00:00+00:00,2023_RECOVERY,ADA|BNB|BTC|ETH|SOL|XRP,ADA|BTC|ETH|LINK|XLM|XRP,4,False,0.5,BNB|SOL,LINK|XLM,1,0.25,True,False,True,False
2024-03-10 00:00:00+00:00,2024-03-11 00:00:00+00:00,2024_ACCELERATION,ADA|BNB|BTC|ETH|SOL|XRP,ADA|BTC|DOGE|ETH|LINK|XRP,4,False,0.5,BNB|SOL,DOGE|LINK,2,1.0,True,False,True,False
