hypothesis_id,market_regime,trade_count,net_pnl,return_on_initial_equity,win_rate,profit_factor
FAST_MOMENTUM_BREAKOUT,BEAR,445,5878.396449716498,0.05878396449716498,0.4044943820224719,1.0395624342849148
FAST_MOMENTUM_BREAKOUT,BULL,58,-5273.246892568141,-0.05273246892568141,0.3103448275862069,0.768012018147784
FAST_MOMENTUM_BREAKOUT,STRONG_BULL,595,-175245.6933275021,-1.7524569332750208,0.3226890756302521,0.4831551063691599
FAST_MOMENTUM_BREAKOUT,TRANSITION,119,21.25041613377327,0.00021250416133773272,0.3949579831932773,1.0005216473826666
TREND_REACCELERATION,BEAR,8,-113.0773349188944,-0.0011307733491889439,0.625,0.9343921222887765
TREND_REACCELERATION,BULL,38,-5542.857291577384,-0.05542857291577384,0.3157894736842105,0.6301162662454438
TREND_REACCELERATION,STRONG_BULL,318,-104575.03235787209,-1.0457503235787209,0.24528301886792453,0.49931587634074237
TREND_REACCELERATION,TRANSITION,32,-3820.8605390493217,-0.038208605390493214,0.5,0.5955438362947741
VWAP_RECLAIM_CONTINUATION,BEAR,396,49260.28996529901,0.4926028996529901,0.4393939393939394,1.3855701688430748
VWAP_RECLAIM_CONTINUATION,BULL,62,-3846.6760764999112,-0.038466760764999115,0.3064516129032258,0.8376717935030981
VWAP_RECLAIM_CONTINUATION,STRONG_BULL,621,-257643.37431820433,-2.576433743182043,0.249597423510467,0.3543149880239184
VWAP_RECLAIM_CONTINUATION,TRANSITION,95,-785.9116403073974,-0.007859116403073975,0.45263157894736844,0.9730526538477196
VOLATILITY_SQUEEZE_RELEASE,BEAR,63,-9028.219976410504,-0.09028219976410505,0.31746031746031744,0.6655362985253896
VOLATILITY_SQUEEZE_RELEASE,BULL,15,-2965.9416233562415,-0.029659416233562413,0.26666666666666666,0.5328563067751291
VOLATILITY_SQUEEZE_RELEASE,STRONG_BULL,181,-93876.53513912606,-0.9387653513912606,0.2430939226519337,0.20666461253351157
VOLATILITY_SQUEEZE_RELEASE,TRANSITION,40,-6263.6175258554795,-0.06263617525855479,0.225,0.6599832974182417
RELATIVE_STRENGTH_LEADER_BREAKOUT,BEAR,71,-9562.634068662186,-0.09562634068662186,0.3380281690140845,0.6194256257815942
RELATIVE_STRENGTH_LEADER_BREAKOUT,BULL,12,429.2345132556065,0.004292345132556065,0.3333333333333333,1.1010785450830232
RELATIVE_STRENGTH_LEADER_BREAKOUT,STRONG_BULL,111,-13298.94891904583,-0.1329894891904583,0.36036036036036034,0.7651388550129326
RELATIVE_STRENGTH_LEADER_BREAKOUT,TRANSITION,22,683.7203034382857,0.006837203034382857,0.22727272727272727,1.0749724250298431
DEFENSIVE_SWEEP_REVERSAL,BEAR,222,-31049.821252737864,-0.31049821252737864,0.31981981981981983,0.639711319114754
DEFENSIVE_SWEEP_REVERSAL,STRONG_BULL,166,-77967.52168211094,-0.7796752168211094,0.2710843373493976,0.25311352468741977
DEFENSIVE_SWEEP_REVERSAL,TRANSITION,86,-1911.394044375905,-0.01911394044375905,0.4069767441860465,0.9359578970987114
