hypothesis_id,symbol,candidate_count,next_bar_violations,future_4h_context_violations,future_1d_context_violations,future_1w_context_violations,sealed_cutoff_violations
FAST_MOMENTUM_BREAKOUT,BTC/USDT,797,0,0,0,0,0
FAST_MOMENTUM_BREAKOUT,ETH/USDT,792,0,0,0,0,0
FAST_MOMENTUM_BREAKOUT,SOL/USDT,350,0,0,0,0,0
FAST_MOMENTUM_BREAKOUT,LINK/USDT,455,0,0,0,0,0
FAST_MOMENTUM_BREAKOUT,AVAX/USDT,387,0,0,0,0,0
FAST_MOMENTUM_BREAKOUT,NEAR/USDT,259,0,0,0,0,0
TREND_REACCELERATION,BTC/USDT,238,0,0,0,0,0
TREND_REACCELERATION,ETH/USDT,207,0,0,0,0,0
TREND_REACCELERATION,SOL/USDT,66,0,0,0,0,0
TREND_REACCELERATION,LINK/USDT,77,0,0,0,0,0
TREND_REACCELERATION,AVAX/USDT,59,0,0,0,0,0
TREND_REACCELERATION,NEAR/USDT,48,0,0,0,0,0
VWAP_RECLAIM_CONTINUATION,BTC/USDT,639,0,0,0,0,0
VWAP_RECLAIM_CONTINUATION,ETH/USDT,613,0,0,0,0,0
VWAP_RECLAIM_CONTINUATION,SOL/USDT,273,0,0,0,0,0
VWAP_RECLAIM_CONTINUATION,LINK/USDT,333,0,0,0,0,0
VWAP_RECLAIM_CONTINUATION,AVAX/USDT,243,0,0,0,0,0
VWAP_RECLAIM_CONTINUATION,NEAR/USDT,225,0,0,0,0,0
VOLATILITY_SQUEEZE_RELEASE,BTC/USDT,232,0,0,0,0,0
VOLATILITY_SQUEEZE_RELEASE,ETH/USDT,217,0,0,0,0,0
VOLATILITY_SQUEEZE_RELEASE,SOL/USDT,71,0,0,0,0,0
VOLATILITY_SQUEEZE_RELEASE,LINK/USDT,99,0,0,0,0,0
VOLATILITY_SQUEEZE_RELEASE,AVAX/USDT,62,0,0,0,0,0
VOLATILITY_SQUEEZE_RELEASE,NEAR/USDT,39,0,0,0,0,0
RELATIVE_STRENGTH_LEADER_BREAKOUT,BTC/USDT,10,0,0,0,0,0
RELATIVE_STRENGTH_LEADER_BREAKOUT,ETH/USDT,41,0,0,0,0,0
RELATIVE_STRENGTH_LEADER_BREAKOUT,SOL/USDT,90,0,0,0,0,0
RELATIVE_STRENGTH_LEADER_BREAKOUT,LINK/USDT,105,0,0,0,0,0
RELATIVE_STRENGTH_LEADER_BREAKOUT,AVAX/USDT,114,0,0,0,0,0
RELATIVE_STRENGTH_LEADER_BREAKOUT,NEAR/USDT,94,0,0,0,0,0
DEFENSIVE_SWEEP_REVERSAL,BTC/USDT,198,0,0,0,0,0
DEFENSIVE_SWEEP_REVERSAL,ETH/USDT,138,0,0,0,0,0
DEFENSIVE_SWEEP_REVERSAL,SOL/USDT,67,0,0,0,0,0
DEFENSIVE_SWEEP_REVERSAL,LINK/USDT,107,0,0,0,0,0
DEFENSIVE_SWEEP_REVERSAL,AVAX/USDT,87,0,0,0,0,0
DEFENSIVE_SWEEP_REVERSAL,NEAR/USDT,39,0,0,0,0,0
