scope,variant_id,window_id,start,end,days,portfolio_return,equal_weight_return,capture_ratio,high_opportunity_window,strategic_bull_adequacy
STANDALONE,VWAP_RECLAIM_CONTINUATION,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,0.19997028064122424,8.977084241529303,0.022275638198440036,True,False
STANDALONE,VWAP_RECLAIM_CONTINUATION,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.06096982417507668,0.33154791649728477,-0.18389445730561843,False,
STANDALONE,VWAP_RECLAIM_CONTINUATION,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,-0.07582212604964833,0.37052437252117865,-0.2046346520573743,False,
STANDALONE,VWAP_RECLAIM_CONTINUATION,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.008078482988974844,-0.15141585105211164,,False,
STANDALONE,VWAP_RECLAIM_CONTINUATION,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,0.4081225398466988,2.667291938689029,0.1530100750978502,True,False
STANDALONE,VWAP_RECLAIM_CONTINUATION,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,0.04946809200617763,0.37373514866458524,0.1323613585260443,False,
OVERLAY,VWAP_RECLAIM_CONTINUATION,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,-0.06823079914158292,0.6437975137033425,-0.10598176862954337,False,
OVERLAY,VWAP_RECLAIM_CONTINUATION,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,-0.33025205815224234,8.977084241529303,-0.036788343438334696,True,False
OVERLAY,VWAP_RECLAIM_CONTINUATION,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.27115563540127374,0.33154791649728477,-0.8178475023036207,False,
OVERLAY,VWAP_RECLAIM_CONTINUATION,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,-0.3465550695112086,0.37052437252117865,-0.935309780442041,False,
OVERLAY,VWAP_RECLAIM_CONTINUATION,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.30394581476017735,-0.15141585105211164,,False,
OVERLAY,VWAP_RECLAIM_CONTINUATION,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,0.3348923628387672,2.667291938689029,0.1255551962577319,True,False
OVERLAY,VWAP_RECLAIM_CONTINUATION,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,-1.1795249969023935,0.37373514866458524,-3.1560451328086825,False,
STANDALONE,VOLATILITY_SQUEEZE_RELEASE,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,0.04182690122657173,0.6437975137033425,0.06496903193361087,False,
STANDALONE,VOLATILITY_SQUEEZE_RELEASE,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,0.1878310410038897,8.977084241529303,0.02092339070797129,True,False
STANDALONE,VOLATILITY_SQUEEZE_RELEASE,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.030051390076699547,0.33154791649728477,-0.09063965894940454,False,
STANDALONE,VOLATILITY_SQUEEZE_RELEASE,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,0.08317439529266513,0.37052437252117865,0.2244775282303757,False,
STANDALONE,VOLATILITY_SQUEEZE_RELEASE,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.0828315788517563,-0.15141585105211164,,False,
STANDALONE,VOLATILITY_SQUEEZE_RELEASE,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,0.09966605499091274,2.667291938689029,0.037366009151551104,True,False
STANDALONE,VOLATILITY_SQUEEZE_RELEASE,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,-0.11800709436209511,0.37373514866458524,-0.31575059178606324,False,
OVERLAY,VOLATILITY_SQUEEZE_RELEASE,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,-0.03774336966431002,0.6437975137033425,-0.05862615008746665,False,
