scope,variant_id,cost_multiplier,trade_count,net_return,monthly_geometric_return,maximum_drawdown,profit_factor,minimum_cash,minimum_equity,capital_feasible
STANDALONE,FAST_MOMENTUM_BREAKOUT,1.0,1609,0.7971489718482474,0.008173204911247955,0.4382719266815148,1.112307549107839,-357313.9206536997,89480.96583670418,False
STANDALONE,FAST_MOMENTUM_BREAKOUT,1.5,1609,-0.1336298564257662,-0.001989865512515454,0.7743918963907018,0.9826678315633692,-412186.08855719445,31732.274320327873,False
STANDALONE,FAST_MOMENTUM_BREAKOUT,2.0,1609,-1.0644086846997707,,1.2250473021755959,0.8726744704014406,-467058.256460689,-27788.25228565294,False
STANDALONE,FAST_MOMENTUM_BREAKOUT,3.0,1609,-2.9259663412477743,,2.863522552561983,0.7002868453768538,-576802.5922676779,-192596.63412477743,False
OVERLAY,FAST_MOMENTUM_BREAKOUT,1.0,1784,-0.6646343021399443,-0.01505640794760077,0.8115405377950543,0.9131149782703953,-421971.32574933645,22444.968457969182,False
OVERLAY,FAST_MOMENTUM_BREAKOUT,1.5,1784,-1.5656950157160836,,1.4939353796299053,0.8103948904600893,-472421.7825232231,-56569.50157160836,False
OVERLAY,FAST_MOMENTUM_BREAKOUT,2.0,1784,-2.4667557292922377,,2.3297215096598607,0.7229502831199582,-522872.2392971107,-146675.57292922377,False
OVERLAY,FAST_MOMENTUM_BREAKOUT,3.0,1784,-4.2688771564445,,4.128366794295249,0.5849502018729382,-623773.1528448848,-326887.71564445004,False
STANDALONE,TREND_REACCELERATION,1.0,527,0.8349079273425508,0.008464335275468082,0.2339794883453975,1.3096851523401547,-270614.3124299681,89345.5089290636,False
STANDALONE,TREND_REACCELERATION,1.5,527,0.5072705278378078,0.005713686540431251,0.2937212683226158,1.17417163713125,-286381.66144969815,85930.38071329096,False
STANDALONE,TREND_REACCELERATION,2.0,527,0.17963312833306988,0.002296646292806015,0.36907662970249855,1.0572118535678858,-302149.01046942803,82515.2524975182,False
STANDALONE,TREND_REACCELERATION,3.0,527,-0.47564167067641916,-0.008924452496390622,0.6199859647835282,0.868847507017628,-333683.7085088883,51497.57442196217,False
OVERLAY,TREND_REACCELERATION,1.0,963,-0.05895964383191943,-0.0008434849988432358,0.4393072935261185,0.9868644983849768,-311561.54558053124,85827.12606060336,False
OVERLAY,TREND_REACCELERATION,1.5,963,-0.5370939318027002,-0.010638425005578989,0.6578188193889588,0.8885400172415311,-336147.2472430564,46290.60681972998,False
OVERLAY,TREND_REACCELERATION,2.0,963,-1.0152282197734985,,1.0123632414574897,0.8034392509923276,-360732.9489055829,-1522.821977349864,False
OVERLAY,TREND_REACCELERATION,3.0,963,-1.9714967957150766,,1.9297376961650534,0.6659285573528834,-409904.3522306345,-97149.67957150767,False
STANDALONE,VWAP_RECLAIM_CONTINUATION,1.0,1381,1.7064356896453177,0.013921350012920497,0.35851213814432126,1.2735416154185464,-495019.86383437016,92110.3915352638,False
STANDALONE,VWAP_RECLAIM_CONTINUATION,1.5,1381,0.858719740877713,0.00864490771993065,0.48239904289170965,1.1263653919058676,-544030.0428572888,86791.24208128714,False
STANDALONE,VWAP_RECLAIM_CONTINUATION,2.0,1381,0.011003792110106048,0.0001519754718524169,0.7068993562487491,1.0014897694225877,-593040.2218802079,46828.79877819537,False
STANDALONE,VWAP_RECLAIM_CONTINUATION,3.0,1381,-1.6844281054251211,,1.475457601331641,0.8049688439380724,-691060.5799260467,-68442.8105425121,False
OVERLAY,VWAP_RECLAIM_CONTINUATION,1.0,1741,-1.0485980892948692,,1.0407040932439997,0.8678484670036161,-627937.311357698,-4859.808929486913,False
