score_bin,candidate_count,accepted_count,mean_forward_20_bar_return
LT_50,3222,0,0.025418008025452334
50_60,525,0,0.06144007180663938
60_70,241,0,0.11559308992557665
70_80,66,7,0.17458108050682838
80_90,17,9,0.22737373186819543
90_100,2,1,0.061584794044878766
