year,start_equity,end_equity,return,run_id,universe_id,horizon_hours,cost_multiplier
2019,100000.0,91748.6603940373,-0.08251339605962693,C2_RISKON_H168_1x,C2,168,1.0
2020,91748.6603940373,136655.15776749232,0.48945125934910605,C2_RISKON_H168_1x,C2,168,1.0
2021,136655.15776749232,211458.7855134267,0.5473897141387571,C2_RISKON_H168_1x,C2,168,1.0
2019,100000.0,87609.16807932677,-0.12390831920673229,C2_RISKON_H168_2x,C2,168,2.0
2020,87609.16807932677,118286.53843818618,0.35016164439641995,C2_RISKON_H168_2x,C2,168,2.0
2021,118286.53843818618,166340.702204162,0.4062521771324623,C2_RISKON_H168_2x,C2,168,2.0
2019,100000.0,89037.17315477993,-0.10962826845220075,D2_RISKON_H168_1x,D2,168,1.0
2020,89037.17315477993,136394.46419286958,0.5318822392953217,D2_RISKON_H168_1x,D2,168,1.0
2021,136394.46419286958,209175.62207705615,0.5336078580232542,D2_RISKON_H168_1x,D2,168,1.0
2019,100000.0,84882.58924878581,-0.1511741075121419,D2_RISKON_H168_2x,D2,168,2.0
2020,84882.58924878581,118036.64907121414,0.3905872819837737,D2_RISKON_H168_2x,D2,168,2.0
2021,118036.64907121414,162900.67180973364,0.3800855335316411,D2_RISKON_H168_2x,D2,168,2.0
2019,100000.0,91748.6603940373,-0.08251339605962693,E2_RISKON_H168_1x,E2,168,1.0
2020,91748.6603940373,136655.15776749232,0.48945125934910605,E2_RISKON_H168_1x,E2,168,1.0
2021,136655.15776749232,211652.07719780324,0.5488041626494047,E2_RISKON_H168_1x,E2,168,1.0
2019,100000.0,87609.16807932677,-0.12390831920673229,E2_RISKON_H168_2x,E2,168,2.0
2020,87609.16807932677,118286.53843818618,0.35016164439641995,E2_RISKON_H168_2x,E2,168,2.0
2021,118286.53843818618,166411.40919028196,0.4068499373429948,E2_RISKON_H168_2x,E2,168,2.0
