removed_asset,removed_net_pnl,remaining_net_pnl,run_id,universe_id,horizon_hours,cost_multiplier
DOT-USDT,-5635.071678438559,68535.7434881725,D2_RISKON_H168_2x,D2,168,2.0
ETH-USDT,7282.042380386587,55618.62942934736,D2_RISKON_H168_2x,D2,168,2.0
KCS-USDT,108053.20920290258,-45152.53739316863,D2_RISKON_H168_2x,D2,168,2.0
LTC-USDT,4948.639677554571,57952.032132179374,D2_RISKON_H168_2x,D2,168,2.0
SAND-USDT,-5214.618273685224,68115.29008341917,D2_RISKON_H168_2x,D2,168,2.0
SHIB-USDT,-8401.537498672029,71302.20930840597,D2_RISKON_H168_2x,D2,168,2.0
TRX-USDT,-7831.35953256554,70732.03134229948,D2_RISKON_H168_2x,D2,168,2.0
XRP-USDT,7537.652260548899,55363.019549185046,D2_RISKON_H168_2x,D2,168,2.0
XTZ-USDT,-13.353463333590621,62914.025273067535,D2_RISKON_H168_2x,D2,168,2.0
ADA-USDT,-3437.2998610714685,115089.37705887464,E2_RISKON_H168_1x,E2,168,1.0
ATOM-USDT,-10725.648581862952,122377.72577966613,E2_RISKON_H168_1x,E2,168,1.0
AVAX-USDT,-2350.519680030598,114002.59687783377,E2_RISKON_H168_1x,E2,168,1.0
BNB-USDT,-2850.506834312693,114502.58403211586,E2_RISKON_H168_1x,E2,168,1.0
BTC-USDT,-7022.539465708801,118674.61666351197,E2_RISKON_H168_1x,E2,168,1.0
DOGE-USDT,2594.1997755451443,109057.87742225803,E2_RISKON_H168_1x,E2,168,1.0
DOT-USDT,-13254.497557660372,124906.57475546355,E2_RISKON_H168_1x,E2,168,1.0
ETH-USDT,16219.146506371313,95432.93069143186,E2_RISKON_H168_1x,E2,168,1.0
KCS-USDT,117252.94220769222,-5600.86500988905,E2_RISKON_H168_1x,E2,168,1.0
LTC-USDT,7193.183139375746,104458.89405842742,E2_RISKON_H168_1x,E2,168,1.0
MANA-USDT,-4089.4601909299613,115741.53738873314,E2_RISKON_H168_1x,E2,168,1.0
NEO-USDT,-402.7032669595487,112054.78046476272,E2_RISKON_H168_1x,E2,168,1.0
SAND-USDT,-4865.749539704616,116517.82673750778,E2_RISKON_H168_1x,E2,168,1.0
SHIB-USDT,-9761.54975490289,121413.62695270606,E2_RISKON_H168_1x,E2,168,1.0
TRX-USDT,-2174.232278557112,113826.30947636029,E2_RISKON_H168_1x,E2,168,1.0
VET-USDT,-2484.4088893722474,114136.48608717542,E2_RISKON_H168_1x,E2,168,1.0
XRP-USDT,35024.746834512254,76627.33036329091,E2_RISKON_H168_1x,E2,168,1.0
XTZ-USDT,-3213.025364620245,114865.10256242342,E2_RISKON_H168_1x,E2,168,1.0
ADA-USDT,-7015.536723401606,73426.9459136832,E2_RISKON_H168_2x,E2,168,2.0
ATOM-USDT,-9940.085566706768,76351.49475698837,E2_RISKON_H168_2x,E2,168,2.0
AVAX-USDT,-1974.6024814363955,68386.01167171799,E2_RISKON_H168_2x,E2,168,2.0
BNB-USDT,-2439.0873421172114,68850.49653239881,E2_RISKON_H168_2x,E2,168,2.0
BTC-USDT,-18131.314298090096,84542.7234883717,E2_RISKON_H168_2x,E2,168,2.0
DOGE-USDT,2979.490728562245,63431.91846171935,E2_RISKON_H168_2x,E2,168,2.0
DOT-USDT,-13790.521692071423,80201.93088235302,E2_RISKON_H168_2x,E2,168,2.0
ETH-USDT,8496.98149565461,57914.42769462699,E2_RISKON_H168_2x,E2,168,2.0
KCS-USDT,108378.16592914159,-41966.756738859985,E2_RISKON_H168_2x,E2,168,2.0
LTC-USDT,3476.11535743285,62935.29383284875,E2_RISKON_H168_2x,E2,168,2.0
MANA-USDT,-3486.1087025828565,69897.51789286446,E2_RISKON_H168_2x,E2,168,2.0
NEO-USDT,-473.7255580319121,66885.13474831352,E2_RISKON_H168_2x,E2,168,2.0
SAND-USDT,-4111.373128104681,70522.78231838628,E2_RISKON_H168_2x,E2,168,2.0
SHIB-USDT,-8574.007835973587,74985.41702625519,E2_RISKON_H168_2x,E2,168,2.0
TRX-USDT,-2428.9724210234017,68840.381611305,E2_RISKON_H168_2x,E2,168,2.0
VET-USDT,-2391.387844982478,68802.79703526408,E2_RISKON_H168_2x,E2,168,2.0
XRP-USDT,21115.68916934692,45295.72002093468,E2_RISKON_H168_2x,E2,168,2.0
XTZ-USDT,-3278.3098953342283,69689.71908561583,E2_RISKON_H168_2x,E2,168,2.0
