removed_year,removed_net_pnl,remaining_net_pnl,run_id,universe_id,horizon_hours,cost_multiplier
2019,-8251.339605962728,119710.12511938935,C2_RISKON_H168_1x,C2,168,1.0
2020,48349.38360436358,63109.401909063046,C2_RISKON_H168_1x,C2,168,1.0
2021,71360.74151502573,40098.0439984009,C2_RISKON_H168_1x,C2,168,1.0
2019,-12390.831920673241,78731.53412483484,C2_RISKON_H168_2x,C2,168,2.0
2020,33542.72949275594,32797.97271140566,C2_RISKON_H168_2x,C2,168,2.0
2021,45188.80463207883,21151.897572082773,C2_RISKON_H168_2x,C2,168,2.0
2019,-10962.826845220066,120138.44892227626,D2_RISKON_H168_1x,D2,168,1.0
2020,50793.52653124533,58382.095545810866,D2_RISKON_H168_1x,D2,168,1.0
2021,69344.92239103097,39830.699686025226,D2_RISKON_H168_1x,D2,168,1.0
2019,-15117.410751214169,78018.08256094811,D2_RISKON_H168_2x,D2,168,2.0
2020,36013.25036065755,26887.4214490764,D2_RISKON_H168_2x,D2,168,2.0
2021,42004.83220029058,20895.83960944337,D2_RISKON_H168_2x,D2,168,2.0
2019,-8251.339605962728,119903.4168037659,E2_RISKON_H168_1x,E2,168,1.0
2020,48349.38360436358,63302.69359343959,E2_RISKON_H168_1x,E2,168,1.0
2021,71554.03319940227,40098.0439984009,E2_RISKON_H168_1x,E2,168,1.0
2019,-12390.831920673241,78802.24111095484,E2_RISKON_H168_2x,E2,168,2.0
2020,33542.72949275594,32868.67969752566,E2_RISKON_H168_2x,E2,168,2.0
2021,45259.511618198856,21151.897572082744,E2_RISKON_H168_2x,E2,168,2.0
