family_id,peak_time,trough_time,recovery_time,drawdown,hours_to_trough,hours_to_recovery,recovered
COMPOSITE_ALPHA_V3_PIT_DYNAMIC,2024-02-28T17:00:00+00:00,2024-12-31T18:00:00+00:00,,0.125124743441135,7369,,False
COMPOSITE_ALPHA_V3_PIT_DYNAMIC,2020-08-02T04:00:00+00:00,2020-12-16T13:00:00+00:00,2020-12-17T13:00:00+00:00,0.10267277104489891,3273,24.0,True
COMPOSITE_ALPHA_V3_PIT_DYNAMIC,2019-08-06T10:00:00+00:00,2020-02-05T08:00:00+00:00,2020-02-11T17:00:00+00:00,0.08999251858364476,4390,153.0,True
COMPOSITE_ALPHA_V3_PIT_DYNAMIC,2020-05-30T23:00:00+00:00,2020-07-22T22:00:00+00:00,2020-07-25T18:00:00+00:00,0.0734452419160293,1271,68.0,True
COMPOSITE_ALPHA_V3_PIT_DYNAMIC,2021-01-04T07:00:00+00:00,2021-01-04T11:00:00+00:00,2021-01-10T08:00:00+00:00,0.06911310362425738,4,141.0,True
COMPOSITE_ALPHA_V3_PIT_DYNAMIC,2021-11-10T17:00:00+00:00,2023-04-10T14:00:00+00:00,2023-12-04T05:00:00+00:00,0.06639497247906745,12381,5703.0,True
COMPOSITE_ALPHA_V3_PIT_DYNAMIC,2020-04-30T06:00:00+00:00,2020-05-27T08:00:00+00:00,2020-05-30T05:00:00+00:00,0.06549556054596661,650,69.0,True
COMPOSITE_ALPHA_V3_PIT_DYNAMIC,2020-02-12T14:00:00+00:00,2020-02-23T04:00:00+00:00,2020-04-26T14:00:00+00:00,0.052550467134740875,254,1522.0,True
COMPOSITE_ALPHA_V3_PIT_DYNAMIC,2023-12-28T01:00:00+00:00,2024-02-07T17:00:00+00:00,2024-02-11T09:00:00+00:00,0.048000292408030276,1000,88.0,True
COMPOSITE_ALPHA_V3_PIT_DYNAMIC,2021-05-10T06:00:00+00:00,2021-08-31T11:00:00+00:00,2021-10-15T17:00:00+00:00,0.047951917825439616,2717,1086.0,True
