symbol,trade_count,net_pnl,return_on_initial_equity,win_rate,profit_factor,average_r,median_r
BTC/USDT,221,25170.607328462982,0.2517060732846298,0.37104072398190047,1.337648473362758,0.154727911399541,-0.5506819987673895
ETH/USDT,198,54678.957351716796,0.546789573517168,0.5050505050505051,1.8189068105411936,0.3828875494675925,0.008694631399575685
LINK/USDT,11,860.2508221056273,0.008602508221056274,0.5454545454545454,1.211652459008285,0.10427282692189421,0.13014894634636492
