source_v2_candidate_id,admission_change,originally_admitted,dynamically_admitted,dynamic_router_decision,candidate_net_pnl
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000146,RETAINED_ADMISSION,True,True,ADMITTED,-647.1617007201878
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000147,RETAINED_ADMISSION,True,True,ADMITTED,98.25059704575884
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000148,RETAINED_ADMISSION,True,True,ADMITTED,317.8663548209923
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000156,RETAINED_ADMISSION,True,True,ADMITTED,-465.92191332846204
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000159,RETAINED_ADMISSION,True,True,ADMITTED,-764.3990451765785
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000160,RETAINED_ADMISSION,True,True,ADMITTED,-408.8673352442573
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000165,RETAINED_ADMISSION,True,True,ADMITTED,-18.227865056341408
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000167,RETAINED_ADMISSION,True,True,ADMITTED,-4.953067672198181
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000168,RETAINED_ADMISSION,True,True,ADMITTED,-807.9321053754097
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000171,RETAINED_ADMISSION,True,True,ADMITTED,-21.727054092702033
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000173,RETAINED_ADMISSION,True,True,ADMITTED,-831.2193456239554
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000178,RETAINED_ADMISSION,True,True,ADMITTED,-744.1421169710927
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000182,RETAINED_ADMISSION,True,True,ADMITTED,-485.2811549765828
