router_decision,candidate_count,hypothetical_net_pnl,hypothetical_return_on_initial
ADMITTED,430,80709.8155022854,0.8070981550228541
REJECTED_ENGINE_CONFLICT,36,-156.53463704544026,-0.0015653463704544026
REJECTED_ENGINE_COOLDOWN,13,-4161.540986006922,-0.04161540986006922
REJECTED_SAME_SYMBOL_ACTIVE,49,-5526.652900028894,-0.05526652900028894
