metric,frozen_v3,pit_dynamic,absolute_delta,relative_delta
trade_count,567.0,430.0,-137.0,-0.24162257495590828
net_return,1.0815586314022658,0.8070981550228662,-0.27446047637939963,-0.25376384452089784
monthly_geometric_return,0.010232043860760598,0.008250496537719698,-0.0019815473230408998,-0.19366094887845817
profit_factor,1.505786335911124,1.5551572339825455,0.049370898071421365,0.03278745257144861
maximum_drawdown,0.11030602524673228,0.125124743441135,0.014818718194402725,0.13434187444662474
minimum_cash,4924.12494235066,4924.12494235066,0.0,0.0
minimum_equity,95178.94982197955,95178.94982197955,0.0,0.0
total_fees,48687.39928253005,39119.303098952485,-9568.096183577567,-0.196520995669834
turnover_on_initial_equity,242.6527801005365,194.9973699017562,-47.65541019878029,-0.19639342347133046
maximum_positions_observed,3.0,3.0,0.0,0.0
