family_id,universe_id,period_id,event_count_24h,pair_count_24h,signal_day_count_24h,mean_24h,median_24h,lopo_worst_mean_24h,support_pass,direction_pass,cell_qualified
PERSISTENT_RELATIVE_WEAKNESS,C2,ROBUSTNESS_2022,1454,15,344,-0.006926212566372141,-0.005982325970088853,-0.0064358423469311294,True,True,True
PERSISTENT_RELATIVE_WEAKNESS,C2,ROBUSTNESS_2023,1483,14,347,0.0021203730435095103,0.0011532889832772675,0.0025391434363579786,True,False,False
PERSISTENT_RELATIVE_WEAKNESS,D2,ROBUSTNESS_2022,1454,15,344,-0.006926212566372141,-0.005982325970088853,-0.0064358423469311294,True,True,True
PERSISTENT_RELATIVE_WEAKNESS,D2,ROBUSTNESS_2023,1445,12,348,0.0035236959768519603,0.0024497795198430428,0.0040294704343531345,True,False,False
PERSISTENT_RELATIVE_WEAKNESS,E2,ROBUSTNESS_2022,1454,15,344,-0.006926212566372141,-0.005982325970088853,-0.0064358423469311294,True,True,True
PERSISTENT_RELATIVE_WEAKNESS,E2,ROBUSTNESS_2023,1468,14,346,0.0028587970952878767,0.0017909337839349115,0.0032959801762570675,True,False,False
LEADERSHIP_BREAKDOWN,C2,ROBUSTNESS_2022,1370,15,354,-0.003511436025397365,-0.003988494948436783,-0.0025587482473904597,True,True,True
LEADERSHIP_BREAKDOWN,C2,ROBUSTNESS_2023,1472,14,361,0.002700227615438656,0.0002793547121362483,0.00348942416777897,True,False,False
LEADERSHIP_BREAKDOWN,D2,ROBUSTNESS_2022,1370,15,354,-0.003511436025397365,-0.003988494948436783,-0.0025587482473904597,True,True,True
LEADERSHIP_BREAKDOWN,D2,ROBUSTNESS_2023,1466,12,362,0.0030067342282789687,0.0005754449237854731,0.0036916064477790266,True,False,False
LEADERSHIP_BREAKDOWN,E2,ROBUSTNESS_2022,1370,15,354,-0.003511436025397365,-0.003988494948436783,-0.0025587482473904597,True,True,True
LEADERSHIP_BREAKDOWN,E2,ROBUSTNESS_2023,1461,14,362,0.0023029684350074067,-0.00012243498702191324,0.002902480986825571,True,False,False
BREADTH_CONFIRMED_LAGGARD,C2,ROBUSTNESS_2022,2149,15,319,-0.0032846733636988715,-0.002712845958140586,-0.0024551425598421683,True,True,True
BREADTH_CONFIRMED_LAGGARD,C2,ROBUSTNESS_2023,2058,14,310,0.0037809712865288733,0.002631373442661733,0.004115401126409207,True,False,False
BREADTH_CONFIRMED_LAGGARD,D2,ROBUSTNESS_2022,2149,15,319,-0.0032846733636988715,-0.002712845958140586,-0.0024551425598421683,True,True,True
BREADTH_CONFIRMED_LAGGARD,D2,ROBUSTNESS_2023,1998,12,310,0.0036855045330693747,0.0028009611566984782,0.00402840990162875,True,False,False
BREADTH_CONFIRMED_LAGGARD,E2,ROBUSTNESS_2022,2149,15,319,-0.0032846733636988715,-0.002712845958140586,-0.0024551425598421683,True,True,True
BREADTH_CONFIRMED_LAGGARD,E2,ROBUSTNESS_2023,2023,14,308,0.003572190015277826,0.002776419640986294,0.003908728017528958,True,False,False
