family_id,universe_id,period_id,pair,decision_time,membership_rank,return_6h,return_24h,return_72h,percentile_rank_6h,percentile_rank_24h,percentile_rank_72h,negative_breadth_24h,leadership_collapse_score,event_id
PERSISTENT_RELATIVE_WEAKNESS,C2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,5,-0.016504568228706162,-0.011552132701421858,-0.044660750071571664,0.25,0.25,0.08333333333333333,0.8333333333333334,0.16666666666666669,0
BREADTH_CONFIRMED_LAGGARD,C2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,5,-0.016504568228706162,-0.011552132701421858,-0.044660750071571664,0.25,0.25,0.08333333333333333,0.8333333333333334,0.16666666666666669,1
PERSISTENT_RELATIVE_WEAKNESS,D2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,5,-0.016504568228706162,-0.011552132701421858,-0.044660750071571664,0.25,0.25,0.08333333333333333,0.8333333333333334,0.16666666666666669,2
BREADTH_CONFIRMED_LAGGARD,D2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,5,-0.016504568228706162,-0.011552132701421858,-0.044660750071571664,0.25,0.25,0.08333333333333333,0.8333333333333334,0.16666666666666669,3
PERSISTENT_RELATIVE_WEAKNESS,E2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,5,-0.016504568228706162,-0.011552132701421858,-0.044660750071571664,0.25,0.25,0.08333333333333333,0.8333333333333334,0.16666666666666669,4
BREADTH_CONFIRMED_LAGGARD,E2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,5,-0.016504568228706162,-0.011552132701421858,-0.044660750071571664,0.25,0.25,0.08333333333333333,0.8333333333333334,0.16666666666666669,5
PERSISTENT_RELATIVE_WEAKNESS,C2,ROBUSTNESS_2022,BTC-USDT,2022-01-01 03:00:00+00:00,1,0.02309951688285561,-0.00732725876066842,-0.02033050685955662,0.08333333333333333,0.08333333333333333,0.25,0.5,-0.16666666666666669,6
PERSISTENT_RELATIVE_WEAKNESS,D2,ROBUSTNESS_2022,BTC-USDT,2022-01-01 03:00:00+00:00,1,0.02309951688285561,-0.00732725876066842,-0.02033050685955662,0.08333333333333333,0.08333333333333333,0.25,0.5,-0.16666666666666669,7
PERSISTENT_RELATIVE_WEAKNESS,E2,ROBUSTNESS_2022,BTC-USDT,2022-01-01 03:00:00+00:00,1,0.02309951688285561,-0.00732725876066842,-0.02033050685955662,0.08333333333333333,0.08333333333333333,0.25,0.5,-0.16666666666666669,8
PERSISTENT_RELATIVE_WEAKNESS,C2,ROBUSTNESS_2022,BTC-USDT,2022-01-01 05:00:00+00:00,1,0.01023829662362763,-0.008195818416760203,-0.02476410672998819,0.5833333333333334,0.25,0.25,0.6666666666666666,0.33333333333333337,9
