family_id,universe_id,period_id,event_count,pair_count,signal_day_count
PERSISTENT_RELATIVE_WEAKNESS,C2,ROBUSTNESS_2022,1454,15,344
PERSISTENT_RELATIVE_WEAKNESS,C2,ROBUSTNESS_2023,1489,14,348
PERSISTENT_RELATIVE_WEAKNESS,D2,ROBUSTNESS_2022,1454,15,344
PERSISTENT_RELATIVE_WEAKNESS,D2,ROBUSTNESS_2023,1451,12,349
PERSISTENT_RELATIVE_WEAKNESS,E2,ROBUSTNESS_2022,1454,15,344
PERSISTENT_RELATIVE_WEAKNESS,E2,ROBUSTNESS_2023,1474,14,347
LEADERSHIP_BREAKDOWN,C2,ROBUSTNESS_2022,1370,15,354
LEADERSHIP_BREAKDOWN,C2,ROBUSTNESS_2023,1476,14,362
LEADERSHIP_BREAKDOWN,D2,ROBUSTNESS_2022,1370,15,354
LEADERSHIP_BREAKDOWN,D2,ROBUSTNESS_2023,1470,12,363
LEADERSHIP_BREAKDOWN,E2,ROBUSTNESS_2022,1370,15,354
LEADERSHIP_BREAKDOWN,E2,ROBUSTNESS_2023,1465,14,363
BREADTH_CONFIRMED_LAGGARD,C2,ROBUSTNESS_2022,2149,15,319
BREADTH_CONFIRMED_LAGGARD,C2,ROBUSTNESS_2023,2066,14,311
BREADTH_CONFIRMED_LAGGARD,D2,ROBUSTNESS_2022,2149,15,319
BREADTH_CONFIRMED_LAGGARD,D2,ROBUSTNESS_2023,2006,12,311
BREADTH_CONFIRMED_LAGGARD,E2,ROBUSTNESS_2022,2149,15,319
BREADTH_CONFIRMED_LAGGARD,E2,ROBUSTNESS_2023,2031,14,309
RELATIVE_STRENGTH_RECLAIM_CONTROL,C2,ROBUSTNESS_2022,1273,15,353
RELATIVE_STRENGTH_RECLAIM_CONTROL,C2,ROBUSTNESS_2023,1352,14,359
RELATIVE_STRENGTH_RECLAIM_CONTROL,D2,ROBUSTNESS_2022,1273,15,353
RELATIVE_STRENGTH_RECLAIM_CONTROL,D2,ROBUSTNESS_2023,1334,12,355
RELATIVE_STRENGTH_RECLAIM_CONTROL,E2,ROBUSTNESS_2022,1273,15,353
RELATIVE_STRENGTH_RECLAIM_CONTROL,E2,ROBUSTNESS_2023,1338,14,357
