event_id,family_id,universe_id,period_id,pair,decision_time,horizon_hours,exit_time,entry_open,exit_open,forward_return
1,BREADTH_CONFIRMED_LAGGARD,C2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,6,2022-01-01 07:00:00+00:00,3.338e-05,3.369e-05,0.009286998202516328
1,BREADTH_CONFIRMED_LAGGARD,C2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,24,2022-01-02 01:00:00+00:00,3.338e-05,3.415e-05,0.023067705212702183
1,BREADTH_CONFIRMED_LAGGARD,C2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,72,2022-01-04 01:00:00+00:00,3.338e-05,3.304e-05,-0.010185739964050367
3,BREADTH_CONFIRMED_LAGGARD,D2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,6,2022-01-01 07:00:00+00:00,3.338e-05,3.369e-05,0.009286998202516328
3,BREADTH_CONFIRMED_LAGGARD,D2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,24,2022-01-02 01:00:00+00:00,3.338e-05,3.415e-05,0.023067705212702183
3,BREADTH_CONFIRMED_LAGGARD,D2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,72,2022-01-04 01:00:00+00:00,3.338e-05,3.304e-05,-0.010185739964050367
5,BREADTH_CONFIRMED_LAGGARD,E2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,6,2022-01-01 07:00:00+00:00,3.338e-05,3.369e-05,0.009286998202516328
5,BREADTH_CONFIRMED_LAGGARD,E2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,24,2022-01-02 01:00:00+00:00,3.338e-05,3.415e-05,0.023067705212702183
5,BREADTH_CONFIRMED_LAGGARD,E2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,72,2022-01-04 01:00:00+00:00,3.338e-05,3.304e-05,-0.010185739964050367
0,PERSISTENT_RELATIVE_WEAKNESS,C2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,6,2022-01-01 07:00:00+00:00,3.338e-05,3.369e-05,0.009286998202516328
0,PERSISTENT_RELATIVE_WEAKNESS,C2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,24,2022-01-02 01:00:00+00:00,3.338e-05,3.415e-05,0.023067705212702183
0,PERSISTENT_RELATIVE_WEAKNESS,C2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,72,2022-01-04 01:00:00+00:00,3.338e-05,3.304e-05,-0.010185739964050367
2,PERSISTENT_RELATIVE_WEAKNESS,D2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,6,2022-01-01 07:00:00+00:00,3.338e-05,3.369e-05,0.009286998202516328
2,PERSISTENT_RELATIVE_WEAKNESS,D2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,24,2022-01-02 01:00:00+00:00,3.338e-05,3.415e-05,0.023067705212702183
2,PERSISTENT_RELATIVE_WEAKNESS,D2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,72,2022-01-04 01:00:00+00:00,3.338e-05,3.304e-05,-0.010185739964050367
4,PERSISTENT_RELATIVE_WEAKNESS,E2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,6,2022-01-01 07:00:00+00:00,3.338e-05,3.369e-05,0.009286998202516328
4,PERSISTENT_RELATIVE_WEAKNESS,E2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,24,2022-01-02 01:00:00+00:00,3.338e-05,3.415e-05,0.023067705212702183
4,PERSISTENT_RELATIVE_WEAKNESS,E2,ROBUSTNESS_2022,SHIB-USDT,2022-01-01 01:00:00+00:00,72,2022-01-04 01:00:00+00:00,3.338e-05,3.304e-05,-0.010185739964050367
6,PERSISTENT_RELATIVE_WEAKNESS,C2,ROBUSTNESS_2022,BTC-USDT,2022-01-01 03:00:00+00:00,6,2022-01-01 09:00:00+00:00,46780.0,47196.5,0.008903377511757071
6,PERSISTENT_RELATIVE_WEAKNESS,C2,ROBUSTNESS_2022,BTC-USDT,2022-01-01 03:00:00+00:00,24,2022-01-02 03:00:00+00:00,46780.0,47369.0,0.012590850790936248
6,PERSISTENT_RELATIVE_WEAKNESS,C2,ROBUSTNESS_2022,BTC-USDT,2022-01-01 03:00:00+00:00,72,2022-01-04 03:00:00+00:00,46780.0,46055.5,-0.015487387772552319
7,PERSISTENT_RELATIVE_WEAKNESS,D2,ROBUSTNESS_2022,BTC-USDT,2022-01-01 03:00:00+00:00,6,2022-01-01 09:00:00+00:00,46780.0,47196.5,0.008903377511757071
7,PERSISTENT_RELATIVE_WEAKNESS,D2,ROBUSTNESS_2022,BTC-USDT,2022-01-01 03:00:00+00:00,24,2022-01-02 03:00:00+00:00,46780.0,47369.0,0.012590850790936248
7,PERSISTENT_RELATIVE_WEAKNESS,D2,ROBUSTNESS_2022,BTC-USDT,2022-01-01 03:00:00+00:00,72,2022-01-04 03:00:00+00:00,46780.0,46055.5,-0.015487387772552319
8,PERSISTENT_RELATIVE_WEAKNESS,E2,ROBUSTNESS_2022,BTC-USDT,2022-01-01 03:00:00+00:00,6,2022-01-01 09:00:00+00:00,46780.0,47196.5,0.008903377511757071
8,PERSISTENT_RELATIVE_WEAKNESS,E2,ROBUSTNESS_2022,BTC-USDT,2022-01-01 03:00:00+00:00,24,2022-01-02 03:00:00+00:00,46780.0,47369.0,0.012590850790936248
8,PERSISTENT_RELATIVE_WEAKNESS,E2,ROBUSTNESS_2022,BTC-USDT,2022-01-01 03:00:00+00:00,72,2022-01-04 03:00:00+00:00,46780.0,46055.5,-0.015487387772552319
10,BREADTH_CONFIRMED_LAGGARD,C2,ROBUSTNESS_2022,BTC-USDT,2022-01-01 05:00:00+00:00,6,2022-01-01 11:00:00+00:00,46820.0,47145.9,0.006960700555318278
10,BREADTH_CONFIRMED_LAGGARD,C2,ROBUSTNESS_2022,BTC-USDT,2022-01-01 05:00:00+00:00,24,2022-01-02 05:00:00+00:00,46820.0,47333.8,0.010973942759504585
