family_id,expected_direction,universe_id,period_id,horizon_hours,event_count,pair_count,signal_day_count,markout_count,mean_forward_return,median_forward_return,positive_share,lopo_worst_directional_mean
LEADERSHIP_BREAKDOWN,NEGATIVE,D2,ROBUSTNESS_2023,24,1466,12,362,1466,0.0030067342282789687,0.0005754449237854731,0.5115961800818554,0.0036916064477790266
LEADERSHIP_BREAKDOWN,NEGATIVE,D2,ROBUSTNESS_2023,72,1459,12,360,1459,0.008516773373731966,-0.0004175744371821555,0.49554489376285127,0.00959109150862673
LEADERSHIP_BREAKDOWN,NEGATIVE,E2,ROBUSTNESS_2022,6,1370,15,354,1370,-0.0004594730314807512,-0.0001702133567209052,0.49708029197080295,-0.00013229702197501832
LEADERSHIP_BREAKDOWN,NEGATIVE,E2,ROBUSTNESS_2022,24,1370,15,354,1370,-0.003511436025397365,-0.003988494948436783,0.4569343065693431,-0.0025587482473904597
LEADERSHIP_BREAKDOWN,NEGATIVE,E2,ROBUSTNESS_2022,72,1370,15,354,1370,-0.011398938978853848,-0.011723150226152002,0.4394160583941606,-0.009303388365820894
LEADERSHIP_BREAKDOWN,NEGATIVE,E2,ROBUSTNESS_2023,6,1465,14,363,1465,0.0008715065278796198,0.00047966231772833545,0.5255972696245734,0.001135871633637672
LEADERSHIP_BREAKDOWN,NEGATIVE,E2,ROBUSTNESS_2023,24,1461,14,362,1461,0.0023029684350074067,-0.00012243498702191324,0.4976043805612594,0.002902480986825571
LEADERSHIP_BREAKDOWN,NEGATIVE,E2,ROBUSTNESS_2023,72,1454,14,360,1454,0.007165524275176083,-0.0010763615471948706,0.4903713892709766,0.008753950670630008
BREADTH_CONFIRMED_LAGGARD,NEGATIVE,C2,ROBUSTNESS_2022,6,2149,15,319,2149,-0.0018494761818999897,-0.00043850032887515766,0.48859934853420195,-0.0014281156995723297
BREADTH_CONFIRMED_LAGGARD,NEGATIVE,C2,ROBUSTNESS_2022,24,2149,15,319,2149,-0.0032846733636988715,-0.002712845958140586,0.467194043741275,-0.0024551425598421683
BREADTH_CONFIRMED_LAGGARD,NEGATIVE,C2,ROBUSTNESS_2022,72,2149,15,319,2149,-0.016078261915349938,-0.014317461474006365,0.41414611447184735,-0.015120535795604037
BREADTH_CONFIRMED_LAGGARD,NEGATIVE,C2,ROBUSTNESS_2023,6,2064,14,311,2064,0.0008175921278822057,0.00141873783655877,0.5518410852713178,0.001033364682009443
BREADTH_CONFIRMED_LAGGARD,NEGATIVE,C2,ROBUSTNESS_2023,24,2058,14,310,2058,0.0037809712865288733,0.002631373442661733,0.5456754130223518,0.004115401126409207
BREADTH_CONFIRMED_LAGGARD,NEGATIVE,C2,ROBUSTNESS_2023,72,2035,14,308,2035,0.005611907200537006,0.0002744613695622178,0.5027027027027027,0.0066305593581581735
BREADTH_CONFIRMED_LAGGARD,NEGATIVE,D2,ROBUSTNESS_2022,6,2149,15,319,2149,-0.0018494761818999897,-0.00043850032887515766,0.48859934853420195,-0.0014281156995723297
BREADTH_CONFIRMED_LAGGARD,NEGATIVE,D2,ROBUSTNESS_2022,24,2149,15,319,2149,-0.0032846733636988715,-0.002712845958140586,0.467194043741275,-0.0024551425598421683
BREADTH_CONFIRMED_LAGGARD,NEGATIVE,D2,ROBUSTNESS_2022,72,2149,15,319,2149,-0.016078261915349938,-0.014317461474006365,0.41414611447184735,-0.015120535795604037
BREADTH_CONFIRMED_LAGGARD,NEGATIVE,D2,ROBUSTNESS_2023,6,2004,12,311,2004,0.0011021753575021786,0.0015378656705946625,0.562375249500998,0.0014024362373743259
BREADTH_CONFIRMED_LAGGARD,NEGATIVE,D2,ROBUSTNESS_2023,24,1998,12,310,1998,0.0036855045330693747,0.0028009611566984782,0.5485485485485485,0.00402840990162875
BREADTH_CONFIRMED_LAGGARD,NEGATIVE,D2,ROBUSTNESS_2023,72,1975,12,308,1975,0.005807435180740328,0.0002506893958387213,0.5022784810126583,0.006921261202852997
BREADTH_CONFIRMED_LAGGARD,NEGATIVE,E2,ROBUSTNESS_2022,6,2149,15,319,2149,-0.0018494761818999897,-0.00043850032887515766,0.48859934853420195,-0.0014281156995723297
BREADTH_CONFIRMED_LAGGARD,NEGATIVE,E2,ROBUSTNESS_2022,24,2149,15,319,2149,-0.0032846733636988715,-0.002712845958140586,0.467194043741275,-0.0024551425598421683
BREADTH_CONFIRMED_LAGGARD,NEGATIVE,E2,ROBUSTNESS_2022,72,2149,15,319,2149,-0.016078261915349938,-0.014317461474006365,0.41414611447184735,-0.015120535795604037
BREADTH_CONFIRMED_LAGGARD,NEGATIVE,E2,ROBUSTNESS_2023,6,2029,14,309,2029,0.0008741457263606679,0.0014099901628594758,0.5534746180384426,0.0010878600448385525
BREADTH_CONFIRMED_LAGGARD,NEGATIVE,E2,ROBUSTNESS_2023,24,2023,14,308,2023,0.003572190015277826,0.002776419640986294,0.5481957488877904,0.003908728017528958
BREADTH_CONFIRMED_LAGGARD,NEGATIVE,E2,ROBUSTNESS_2023,72,2000,14,306,2000,0.005400127868934366,0.0007548380878216188,0.51,0.006666911771592779
RELATIVE_STRENGTH_RECLAIM_CONTROL,POSITIVE,C2,ROBUSTNESS_2022,6,1273,15,353,1273,-0.0018089744498749486,-0.0021612943065332235,0.4469756480754124,-0.0025417424805735025
RELATIVE_STRENGTH_RECLAIM_CONTROL,POSITIVE,C2,ROBUSTNESS_2022,24,1273,15,353,1273,-0.006779635562266486,-0.007638072855464251,0.40455616653574233,-0.00784496335168231
RELATIVE_STRENGTH_RECLAIM_CONTROL,POSITIVE,C2,ROBUSTNESS_2022,72,1273,15,353,1273,-0.016982137823289674,-0.016270712717109226,0.4053417124901807,-0.01919024674250674
RELATIVE_STRENGTH_RECLAIM_CONTROL,POSITIVE,C2,ROBUSTNESS_2023,6,1352,14,359,1352,-0.0008541425332413459,-0.0006048290468266826,0.47115384615384615,-0.0009978922307731337
RELATIVE_STRENGTH_RECLAIM_CONTROL,POSITIVE,C2,ROBUSTNESS_2023,24,1350,14,358,1350,0.002026773420659863,0.00024621376760769476,0.502962962962963,0.0007706340574140967
RELATIVE_STRENGTH_RECLAIM_CONTROL,POSITIVE,C2,ROBUSTNESS_2023,72,1340,14,356,1340,0.006943762670434634,-0.00045632705728593237,0.49328358208955225,0.0022635921333342543
RELATIVE_STRENGTH_RECLAIM_CONTROL,POSITIVE,D2,ROBUSTNESS_2022,6,1273,15,353,1273,-0.0018089744498749486,-0.0021612943065332235,0.4469756480754124,-0.0025417424805735025
RELATIVE_STRENGTH_RECLAIM_CONTROL,POSITIVE,D2,ROBUSTNESS_2022,24,1273,15,353,1273,-0.006779635562266486,-0.007638072855464251,0.40455616653574233,-0.00784496335168231
RELATIVE_STRENGTH_RECLAIM_CONTROL,POSITIVE,D2,ROBUSTNESS_2022,72,1273,15,353,1273,-0.016982137823289674,-0.016270712717109226,0.4053417124901807,-0.01919024674250674
RELATIVE_STRENGTH_RECLAIM_CONTROL,POSITIVE,D2,ROBUSTNESS_2023,6,1334,12,355,1334,-0.0006696074387854275,-0.0005933492717853928,0.4715142428785607,-0.0008439617481777509
RELATIVE_STRENGTH_RECLAIM_CONTROL,POSITIVE,D2,ROBUSTNESS_2023,24,1332,12,354,1332,0.0025543236895163197,-5.141513032902445e-05,0.49774774774774777,0.0014362781668135114
RELATIVE_STRENGTH_RECLAIM_CONTROL,POSITIVE,D2,ROBUSTNESS_2023,72,1322,12,352,1322,0.009655608086124177,0.0025435978749845933,0.5219364599092284,0.004425607872583219
RELATIVE_STRENGTH_RECLAIM_CONTROL,POSITIVE,E2,ROBUSTNESS_2022,6,1273,15,353,1273,-0.0018089744498749486,-0.0021612943065332235,0.4469756480754124,-0.0025417424805735025
RELATIVE_STRENGTH_RECLAIM_CONTROL,POSITIVE,E2,ROBUSTNESS_2022,24,1273,15,353,1273,-0.006779635562266486,-0.007638072855464251,0.40455616653574233,-0.00784496335168231
RELATIVE_STRENGTH_RECLAIM_CONTROL,POSITIVE,E2,ROBUSTNESS_2022,72,1273,15,353,1273,-0.016982137823289674,-0.016270712717109226,0.4053417124901807,-0.01919024674250674
RELATIVE_STRENGTH_RECLAIM_CONTROL,POSITIVE,E2,ROBUSTNESS_2023,6,1338,14,357,1338,-0.000951878578984522,-0.0005933492717853928,0.47085201793721976,-0.0011315602383753292
RELATIVE_STRENGTH_RECLAIM_CONTROL,POSITIVE,E2,ROBUSTNESS_2023,24,1336,14,356,1336,0.0017675067720644155,-0.00040802639639275773,0.49251497005988026,0.000387111546665575
RELATIVE_STRENGTH_RECLAIM_CONTROL,POSITIVE,E2,ROBUSTNESS_2023,72,1326,14,354,1326,0.0073141515856052055,0.0008763591860776465,0.5082956259426847,0.0027250202202883903
