order_id,signal_id,created_at,symbol,side,reason,stop_loss,status,rejection_reason
RD15-RD15_LONG_HISTORY_COHORT-0000049,RD15-SIG-00003384,2023-10-24T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,30746.385714285716,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000050,RD15-SIG-00003385,2023-10-24T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,1664.7185714285715,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000051,RD15-EXIT-00001202,2023-11-17T00:00:00Z,ETH/USDT,sell,PROFIT_PROTECTION_FLOOR,,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000052,RD15-SIG-00003441,2023-12-03T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,2016.6100000000004,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000053,RD15-EXIT-00001319,2024-01-23T00:00:00Z,BTC/USDT,sell,PROFIT_PROTECTION_FLOOR,,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000054,RD15-EXIT-00001320,2024-01-23T00:00:00Z,ETH/USDT,sell,PROFIT_PROTECTION_FLOOR,,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000055,RD15-SIG-00003539,2024-02-08T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,41943.47142857142,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000056,RD15-SIG-00003550,2024-02-13T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,2506.072857142857,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000057,RD15-EXIT-00001391,2024-03-17T00:00:00Z,ETH/USDT,sell,PROFIT_PROTECTION_FLOOR,,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000058,RD15-EXIT-00001394,2024-03-20T00:00:00Z,BTC/USDT,sell,PROFIT_PROTECTION_FLOOR,,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000059,RD15-SIG-00003649,2024-04-09T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,3352.767142857143,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000060,RD15-SIG-00003756,2024-05-16T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,61035.08571428571,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000061,RD15-SIG-00003766,2024-05-21T00:00:00Z,ADA/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,0.4583285714285714,REJECTED,simultaneous_signal_slot_limit
RD15-RD15_LONG_HISTORY_COHORT-0000062,RD15-SIG-00003767,2024-05-21T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,3356.02,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000063,RD15-EXIT-00001460,2024-06-20T00:00:00Z,BTC/USDT,sell,THESIS_HEALTH_CONFIRMED_DETERIORATION,,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000064,RD15-SIG-00003869,2024-07-14T00:00:00Z,ADA/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,0.38548571428571426,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000065,RD15-SIG-00003874,2024-07-16T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,59231.74285714285,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000066,RD15-EXIT-00001490,2024-08-04T00:00:00Z,BTC/USDT,sell,THESIS_HEALTH_CONFIRMED_DETERIORATION,,ACCEPTED,
