family_id,symbol,candidate_count,evaluated_count,admitted_trade_count,first_signal_close,last_signal_close
MTF_TREND_BREAKOUT,BTC/USDT,565,565,289,2019-08-05T01:00:00+00:00,2024-12-17T15:00:00+00:00
MTF_TREND_BREAKOUT,ETH/USDT,600,600,280,2020-01-27T00:00:00+00:00,2024-12-16T18:00:00+00:00
MTF_TREND_BREAKOUT,SOL/USDT,224,224,103,2023-01-29T17:00:00+00:00,2024-12-07T15:00:00+00:00
MTF_TREND_BREAKOUT,LINK/USDT,239,239,120,2021-04-29T12:00:00+00:00,2024-12-16T10:00:00+00:00
MTF_TREND_BREAKOUT,AVAX/USDT,227,227,107,2021-10-21T11:00:00+00:00,2024-12-16T01:00:00+00:00
MTF_TREND_BREAKOUT,NEAR/USDT,139,139,69,2022-04-20T01:00:00+00:00,2024-12-06T02:00:00+00:00
MTF_PULLBACK_RECLAIM,BTC/USDT,1179,1179,593,2019-08-06T04:00:00+00:00,2024-12-18T19:00:00+00:00
MTF_PULLBACK_RECLAIM,ETH/USDT,1071,1071,544,2019-09-18T22:00:00+00:00,2024-12-17T13:00:00+00:00
MTF_PULLBACK_RECLAIM,SOL/USDT,372,372,160,2023-07-17T02:00:00+00:00,2024-12-08T23:00:00+00:00
MTF_PULLBACK_RECLAIM,LINK/USDT,451,451,216,2021-04-28T05:00:00+00:00,2024-12-25T20:00:00+00:00
MTF_PULLBACK_RECLAIM,AVAX/USDT,320,320,180,2021-10-21T22:00:00+00:00,2024-12-16T06:00:00+00:00
MTF_PULLBACK_RECLAIM,NEAR/USDT,318,318,146,2022-04-19T22:00:00+00:00,2024-12-08T22:00:00+00:00
MTF_COMPRESSION_EXPANSION,BTC/USDT,852,852,471,2019-08-11T12:00:00+00:00,2024-12-31T14:00:00+00:00
MTF_COMPRESSION_EXPANSION,ETH/USDT,839,839,440,2019-09-16T01:00:00+00:00,2024-12-31T14:00:00+00:00
MTF_COMPRESSION_EXPANSION,SOL/USDT,227,227,90,2023-07-19T01:00:00+00:00,2024-12-17T13:00:00+00:00
MTF_COMPRESSION_EXPANSION,LINK/USDT,299,299,147,2021-04-26T02:00:00+00:00,2024-12-28T23:00:00+00:00
MTF_COMPRESSION_EXPANSION,AVAX/USDT,221,221,104,2021-10-19T04:00:00+00:00,2024-12-24T16:00:00+00:00
MTF_COMPRESSION_EXPANSION,NEAR/USDT,175,175,80,2022-04-18T19:00:00+00:00,2024-12-17T12:00:00+00:00
MTF_RANGE_RECLAIM,BTC/USDT,1176,1176,988,2019-08-08T15:00:00+00:00,2024-12-30T16:00:00+00:00
MTF_RANGE_RECLAIM,ETH/USDT,940,940,802,2019-08-08T19:00:00+00:00,2024-12-30T16:00:00+00:00
MTF_RANGE_RECLAIM,SOL/USDT,379,379,209,2023-07-17T19:00:00+00:00,2024-12-30T00:00:00+00:00
MTF_RANGE_RECLAIM,LINK/USDT,546,546,401,2021-04-26T22:00:00+00:00,2024-12-31T22:00:00+00:00
MTF_RANGE_RECLAIM,AVAX/USDT,420,420,349,2021-10-18T11:00:00+00:00,2024-12-29T21:00:00+00:00
MTF_RANGE_RECLAIM,NEAR/USDT,320,320,188,2022-04-18T10:00:00+00:00,2024-12-29T14:00:00+00:00
