family_id,spot_only,long_only,no_leverage,no_margin,no_short,no_dca,no_kelly,no_pyramiding,no_averaging_down,maximum_positions_respected,maximum_open_risk_respected,next_bar_execution,hard_stop_first
MTF_TREND_BREAKOUT,True,True,True,True,True,True,True,True,True,True,True,True,True
MTF_PULLBACK_RECLAIM,True,True,True,True,True,True,True,True,True,True,True,True,True
MTF_COMPRESSION_EXPANSION,True,True,True,True,True,True,True,True,True,True,True,True,True
MTF_RANGE_RECLAIM,True,True,True,True,True,True,True,True,True,True,True,True,True
