signal_id,timestamp,symbol,side,reason,close,ema_50,ema_200,atr_14,rsi_14,previous_high_20,previous_volume_mean_20,atr_fraction,breakout_strength,volume_ratio,stop_loss
AVAX_USDT-SIG-000001,2023-01-11T00:00:00Z,AVAX/USDT,buy,regime_momentum_breakout_entry,12.716,12.57477693166986,15.56882507335087,0.5292857142857141,65.60785446144962,12.69,97266.8697265385,0.041623601312182616,0.002048857368006196,2.301880121458371,11.657428571428571
AVAX_USDT-SIG-000002,2023-02-10T00:00:00Z,AVAX/USDT,sell,time_stop_30_bars,17.886,17.071504683631076,16.361621702674345,1.7415000000000003,49.23919659160074,22.779,405278.804446721,0.09736665548473669,-0.21480310812590542,0.9725915303794989,
AVAX_USDT-SIG-000003,2023-04-14T00:00:00Z,AVAX/USDT,buy,regime_momentum_breakout_entry,18.833,17.400192393095995,16.874897311837394,0.6897142857142852,69.68726914553062,18.705,167661.660879186,0.03662264565997373,0.006843090082865544,1.6561754679642544,17.45357142857143
AVAX_USDT-SIG-000004,2023-04-21T00:00:00Z,AVAX/USDT,sell,trailing_stop_close,18.305,17.94413659272557,17.061677026118677,1.0244999999999997,52.26354082457557,21.56,254184.4868783935,0.05596831466812345,-0.15097402597402598,1.522240859354349,
AVAX_USDT-SIG-000005,2023-07-15T00:00:00Z,AVAX/USDT,buy,regime_momentum_breakout_entry,14.641,13.507918852717399,15.291540592217114,0.7526428571428572,67.34693877551022,14.208,235536.3109598315,0.05140651985129822,0.03047578828828823,3.0466830858295166,13.135714285714286
AVAX_USDT-SIG-000006,2023-07-23T00:00:00Z,AVAX/USDT,sell,momentum_failure_close_below_ema50,13.524,13.657475907374778,15.198139185734487,0.8202142857142859,48.68792019084797,15.974,233246.59118062753,0.06064879367896229,-0.15337423312883447,0.5127261748806762,
AVAX_USDT-SIG-000007,2023-10-02T00:00:00Z,AVAX/USDT,buy,regime_momentum_breakout_entry,9.749,10.014113338360923,12.793908383887622,0.32949999999999996,65.63097514340345,9.612,79031.17059209,0.033798338291106775,0.01425301706200588,1.7160693924173522,9.09
AVAX_USDT-SIG-000008,2023-10-03T00:00:00Z,AVAX/USDT,sell,momentum_failure_close_below_ema50,9.317,9.986775560385984,12.759312280565359,0.34114285714285714,54.179936305732504,9.827,79846.97768709,0.03661509682761158,-0.05189783250228963,1.2087558714899869,
AVAX_USDT-SIG-000009,2023-10-05T00:00:00Z,AVAX/USDT,buy,regime_momentum_breakout_entry,10.096,9.969515617257496,12.69986603358008,0.39814285714285713,67.32738685166831,9.829,81080.66671709,0.0394357029658139,0.027164513175297555,2.6299474435428416,9.299714285714286
AVAX_USDT-SIG-000010,2023-11-02T00:00:00Z,AVAX/USDT,buy,regime_momentum_breakout_entry,12.227,10.17511995019102,12.069391415520284,0.7281428571428572,83.16693290734824,11.76,190493.796047247,0.05955204523945835,0.03971088435374148,2.4147532782952688,10.770714285714286
AVAX_USDT-SIG-000011,2023-12-02T00:00:00Z,AVAX/USDT,sell,time_stop_30_bars,21.861,16.45053355819385,13.707171754992974,1.7169285714285718,49.60949386347501,24.673,688214.9105226186,0.07853842785913598,-0.11397073724314022,0.5432416777162555,
AVAX_USDT-SIG-000012,2023-12-07T00:00:00Z,AVAX/USDT,buy,regime_momentum_breakout_entry,26.209,17.748611793986246,14.187057133550843,1.5630714285714291,82.64164561530136,24.819,515652.99960974103,0.05963872824493224,0.056005479672831315,1.629076033003166,23.08285714285714
