cost_multiplier,drawdown,hours_to_recovery,hours_to_trough,peak_time,recovered,recovery_time,trough_time,universe_id
1.0,0.18721311742175384,9602,22454,2021-04-07T00:00:00+00:00,True,2024-12-02T16:00:00+00:00,2023-10-29T14:00:00+00:00,C2
1.0,0.16704063362631216,177,4387,2019-08-06T10:00:00+00:00,True,2020-02-12T14:00:00+00:00,2020-02-05T05:00:00+00:00,C2
1.0,0.1588371494004147,749,1806,2020-09-01T22:00:00+00:00,True,2020-12-17T09:00:00+00:00,2020-11-16T04:00:00+00:00,C2
1.0,0.1000537967188656,400,319,2020-04-30T06:00:00+00:00,True,2020-05-30T05:00:00+00:00,2020-05-13T13:00:00+00:00,C2
1.0,0.09072081776886298,420,303,2021-01-19T12:00:00+00:00,True,2021-02-18T15:00:00+00:00,2021-02-01T03:00:00+00:00,C2
1.0,0.08764092410727498,67,353,2020-07-08T04:00:00+00:00,True,2020-07-25T16:00:00+00:00,2020-07-22T21:00:00+00:00,C2
1.0,0.08653757465518985,443,281,2020-08-02T04:00:00+00:00,True,2020-09-01T08:00:00+00:00,2020-08-13T21:00:00+00:00,C2
1.0,0.08557644473940618,,552,2024-12-08T18:00:00+00:00,False,,2024-12-31T18:00:00+00:00,C2
1.0,0.07666355748822928,152,962,2020-03-07T06:00:00+00:00,True,2020-04-22T16:00:00+00:00,2020-04-16T08:00:00+00:00,C2
1.0,0.07369993028596844,311,250,2020-02-12T14:00:00+00:00,True,2020-03-06T23:00:00+00:00,2020-02-23T00:00:00+00:00,C2
2.0,0.46735631330210514,,30870,2021-04-07T00:00:00+00:00,False,,2024-10-14T06:00:00+00:00,C2
2.0,0.2448656330368646,1163,2544,2020-08-02T04:00:00+00:00,True,2021-01-03T15:00:00+00:00,2020-11-16T04:00:00+00:00,C2
2.0,0.20217159365775417,2027,4388,2019-08-06T10:00:00+00:00,True,2020-04-29T17:00:00+00:00,2020-02-05T06:00:00+00:00,C2
2.0,0.1155005486826568,434,303,2021-01-19T12:00:00+00:00,True,2021-02-19T05:00:00+00:00,2021-02-01T03:00:00+00:00,C2
2.0,0.11239477946922327,334,386,2020-04-30T06:00:00+00:00,True,2020-05-30T06:00:00+00:00,2020-05-16T08:00:00+00:00,C2
2.0,0.10499768420277278,69,353,2020-07-08T04:00:00+00:00,True,2020-07-25T18:00:00+00:00,2020-07-22T21:00:00+00:00,C2
2.0,0.08948934819115006,39,876,2020-05-30T23:00:00+00:00,True,2020-07-08T02:00:00+00:00,2020-07-06T11:00:00+00:00,C2
2.0,0.0802330432361057,81,721,2021-03-03T13:00:00+00:00,True,2021-04-05T23:00:00+00:00,2021-04-02T14:00:00+00:00,C2
2.0,0.07772736946332215,358,5,2021-01-04T06:00:00+00:00,True,2021-01-19T09:00:00+00:00,2021-01-04T11:00:00+00:00,C2
2.0,0.07374498475245672,126,30,2020-07-26T09:00:00+00:00,True,2020-08-01T21:00:00+00:00,2020-07-27T15:00:00+00:00,C2
1.0,0.19551348317759543,,27228,2021-10-21T11:00:00+00:00,False,,2024-11-28T23:00:00+00:00,D2
1.0,0.16704063362631216,177,4387,2019-08-06T10:00:00+00:00,True,2020-02-12T14:00:00+00:00,2020-02-05T05:00:00+00:00,D2
1.0,0.14875922756062898,749,1806,2020-09-01T22:00:00+00:00,True,2020-12-17T09:00:00+00:00,2020-11-16T04:00:00+00:00,D2
1.0,0.11556744495426907,87,650,2020-04-30T06:00:00+00:00,True,2020-05-30T23:00:00+00:00,2020-05-27T08:00:00+00:00,D2
