cost_multiplier,end_equity,period,return,start_equity,trade_count,universe_id
1.0,89047.32248840193,2019,-0.10952677511598075,100000.0,35,C2
1.0,155000.17193759838,2020,0.7406494390416574,89047.32248840193,293,C2
1.0,205161.6720069142,2021,0.32362222210637515,155000.17193759838,330,C2
1.0,194008.34241919275,2022,-0.05436361226060571,205161.6720069142,41,C2
1.0,199842.8899602841,2023,0.030073694091384384,194008.34241919275,228,C2
1.0,209284.49128735546,2024,0.04724512004879289,199842.8899602841,316,C2
2.0,86348.41269356455,2019,-0.13651587306435453,100000.0,35,C2
2.0,127758.15566138101,2020,0.47956576937635687,86348.41269356455,293,C2
2.0,155448.73183054355,2021,0.21674214085052657,127758.15566138101,330,C2
2.0,141457.97426965073,2022,-0.09000239111724828,155448.73183054355,41,C2
2.0,127181.79844958757,2023,-0.10092167581058076,141457.97426965073,228,C2
2.0,110768.66718439061,2024,-0.12905251746147317,127181.79844958757,316,C2
1.0,89047.32248840193,2019,-0.10952677511598075,100000.0,35,D2
1.0,157391.50939910644,2020,0.7675041202907147,89047.32248840193,281,D2
1.0,227914.2311260154,2021,0.4480719576052896,157391.50939910644,321,D2
1.0,216760.90153829395,2022,-0.04893652113173519,227914.2311260154,41,D2
1.0,215529.69354490237,2023,-0.005680028015449423,216760.90153829395,239,D2
1.0,191661.02785169316,2024,-0.11074421023215786,215529.69354490237,311,D2
2.0,86348.41269356455,2019,-0.13651587306435453,100000.0,35,D2
2.0,131152.96746196394,2020,0.5188810468051444,86348.41269356455,281,D2
2.0,179081.125070489,2021,0.36543708111236484,131152.96746196394,321,D2
2.0,165090.36750959614,2022,-0.07812524941076793,179081.125070489,41,D2
2.0,143091.75299025318,2023,-0.1332519567991406,165090.36750959614,239,D2
2.0,93476.14272670417,2024,-0.34673983109934103,143091.75299025318,311,D2
1.0,89047.32248840193,2019,-0.10952677511598075,100000.0,35,E2
1.0,155000.17193759838,2020,0.7406494390416574,89047.32248840193,293,E2
1.0,200905.2337124214,2021,0.2961613603454838,155000.17193759838,329,E2
1.0,189751.90412469997,2022,-0.05551537598909184,200905.2337124214,41,E2
1.0,188673.57416355924,2023,-0.005682841319115672,189751.90412469997,239,E2
1.0,197055.16378086116,2024,0.044423760213690544,188673.57416355924,319,E2
2.0,86348.41269356455,2019,-0.13651587306435453,100000.0,35,E2
2.0,127758.15566138101,2020,0.47956576937635687,86348.41269356455,293,E2
2.0,151273.62862552755,2021,0.18406240167143273,127758.15566138101,329,E2
2.0,137282.87106463476,2022,-0.09248642799153317,151273.62862552755,41,E2
2.0,115405.7805635873,2023,-0.15935775768229243,137282.87106463476,239,E2
2.0,97633.69836140297,2024,-0.1539964646085653,115405.7805635873,319,E2
