asset_count,cost_multiplier,net_pnl,pair,positive_net_contribution,profit_factor,return_on_initial_equity,selection_basis,trade_count,universe_id,win_rate
0,1.0,0.0,BCHSV-USDT,False,,0.0,P3R_NAMED_OMISSION,0,C2,
1,1.0,4548.052402139876,PEPE-USDT,True,1.2570364928767668,0.04548052402139876,P3R_NAMED_OMISSION,36,C2,0.3888888888888889
0,2.0,0.0,BCHSV-USDT,False,,0.0,P3R_NAMED_OMISSION,0,C2,
1,2.0,2549.0150008988126,PEPE-USDT,True,1.1349514965100158,0.025490150008988126,P3R_NAMED_OMISSION,36,C2,0.3888888888888889
0,1.0,0.0,BCHSV-USDT,False,,0.0,P3R_NAMED_OMISSION,0,D2,
0,1.0,0.0,PEPE-USDT,False,,0.0,P3R_NAMED_OMISSION,0,D2,
0,2.0,0.0,BCHSV-USDT,False,,0.0,P3R_NAMED_OMISSION,0,D2,
0,2.0,0.0,PEPE-USDT,False,,0.0,P3R_NAMED_OMISSION,0,D2,
0,1.0,0.0,BCHSV-USDT,False,,0.0,P3R_NAMED_OMISSION,0,E2,
1,1.0,4548.052402139876,PEPE-USDT,True,1.2570364928767668,0.04548052402139876,P3R_NAMED_OMISSION,36,E2,0.3888888888888889
0,2.0,0.0,BCHSV-USDT,False,,0.0,P3R_NAMED_OMISSION,0,E2,
1,2.0,2549.0150008988126,PEPE-USDT,True,1.1349514965100158,0.025490150008988126,P3R_NAMED_OMISSION,36,E2,0.3888888888888889
