cost_multiplier,maximum_return,mean_return,median_return,minimum_return,observation_count,p10_return,p90_return,positive_fraction,universe_id,window_days
1.0,0.5084626169251505,0.036905761313793674,-0.003950385517795085,-0.1374164853436065,2012,-0.05437229046897328,0.2039939591892795,0.42047713717693835,C2,90
1.0,0.6780631595418314,0.08002565008423823,0.013713542302575932,-0.15192788510481714,1922,-0.06581221782353941,0.37503641368556573,0.536420395421436,C2,180
1.0,1.1561121150425056,0.19816181825750304,0.0652592054304093,-0.10663899479233518,1737,-0.058041076954219714,0.6582383623548735,0.6470926885434658,C2,365
2.0,0.5741183684253273,0.009469974641647535,-0.015578707172440254,-0.21925720585216213,2012,-0.1091737278275265,0.1766111635220641,0.35984095427435386,C2,90
2.0,0.6164621560043042,0.02082392016526884,-0.025705791459976146,-0.20200587657112157,1922,-0.13939479073626818,0.2788791572950702,0.3595213319458897,C2,180
2.0,0.9082995009421357,0.06460816304943025,-0.06011565891703097,-0.24593945861241984,1737,-0.16990172863475841,0.4661009404812386,0.385146804835924,C2,365
1.0,0.499289119184283,0.035679884025514884,-0.0018393340566973393,-0.12447851250002018,2012,-0.05203782814809886,0.20613433143886475,0.4274353876739563,D2,90
1.0,0.6642110550274536,0.08023196312837695,0.0009106652365565848,-0.15192788510481714,1922,-0.06969796413328391,0.3817564321842126,0.5046826222684704,D2,180
1.0,1.1804288378983823,0.2133023900288505,0.025685240101503304,-0.12389814163883106,1737,-0.05547339867353398,0.8042474674857973,0.56188831318365,D2,365
2.0,0.5558527081704419,0.007137366795495047,-0.020166365022020294,-0.21399069149531658,2012,-0.0927185659032382,0.16973307487941725,0.3220675944333996,D2,90
2.0,0.5950540522655081,0.02136301020751963,-0.02337884872714341,-0.25861361896206214,1922,-0.14093052855204108,0.2781139042233184,0.36420395421436,D2,180
2.0,0.9448449160648769,0.0870626478499914,-0.0378751702875888,-0.361187137377588,1737,-0.19614702880279422,0.6017317045448385,0.4260218767990789,D2,365
1.0,0.5084626169251505,0.03398649980859315,-0.004539408783610033,-0.1374164853436065,2012,-0.05471553378762208,0.2039939591892795,0.4070576540755467,E2,90
1.0,0.6780631595418314,0.07409657530928265,0.006693070248722344,-0.15192788510481714,1922,-0.05716579821836269,0.37503641368556573,0.5150884495317378,E2,180
1.0,1.1561121150425056,0.18498443033289158,0.0179942463250351,-0.10001214331144803,1737,-0.06540149863141073,0.6582383623548735,0.5739781232009211,E2,365
2.0,0.5741183684253273,0.0036830827442098225,-0.024324523550817045,-0.21925720585216213,2012,-0.10742972863860951,0.17380220341334576,0.3305168986083499,E2,90
2.0,0.6164621560043042,0.009822962362187588,-0.03715791944233837,-0.2605436472858772,1922,-0.14121032003054987,0.2788791572950702,0.3028095733610822,E2,180
2.0,0.9082995009421357,0.04306770801726082,-0.09591065776006924,-0.31114874175831886,1737,-0.20013157608471044,0.4661009404812386,0.3765112262521589,E2,365
