average_holding_bars,average_mae_r,average_mfe_r,average_r,cost_multiplier,engine_id,median_r,net_pnl,positive_net_contribution,profit_factor,return_on_initial_equity,trade_count,universe_id,win_rate
17.2803738317757,-1.0823291651239526,2.0319848966215526,0.05436765053447784,1.0,COMPRESSION_EXPANSION_SPECIALIST_V3,-0.6662905124212,30240.96464708663,True,1.11828367172787,0.30240964647086627,642,C2,0.38317757009345793
17.94675540765391,-1.0762185970012736,2.4855664223207135,0.17947190542121744,1.0,TREND_CONTINUATION_CORE_V3,-0.7874677527898282,79043.52664026753,True,1.320155782970827,0.7904352664026754,601,C2,0.41264559068219636
17.2803738317757,-1.0823291651239526,2.0319848966215526,-0.05864589392196121,2.0,COMPRESSION_EXPANSION_SPECIALIST_V3,-0.7989570216181088,-21690.565720101284,False,0.9252878298767068,-0.21690565720101285,642,C2,0.29595015576323985
17.94675540765391,-1.0762185970012736,2.4855664223207135,0.07109877356107203,2.0,TREND_CONTINUATION_CORE_V3,-0.9200129634478297,32459.232904492303,True,1.1177765902098677,0.324592329044923,601,C2,0.3544093178036606
16.71794871794872,-1.0850273196360887,1.9371718871914618,-0.030494795433627705,1.0,COMPRESSION_EXPANSION_SPECIALIST_V3,-0.6800924804036426,-10021.021192789762,False,0.960186552851081,-0.10021021192789761,624,D2,0.3685897435897436
18.25,-1.067011121375949,2.5401068875137383,0.23010318600546356,1.0,TREND_CONTINUATION_CORE_V3,-0.7346169911347737,101682.04904448161,True,1.4244537812752833,1.0168204904448161,604,D2,0.43211920529801323
16.71794871794872,-1.0850273196360887,1.9371718871914618,-0.1461035037793845,2.0,COMPRESSION_EXPANSION_SPECIALIST_V3,-0.8127451738167852,-61375.863927801955,False,0.7860267660415807,-0.6137586392780195,624,D2,0.27724358974358976
18.25,-1.067011121375949,2.5401068875137383,0.1219300572258611,2.0,TREND_CONTINUATION_CORE_V3,-0.8672151054580955,54852.00665450639,True,1.204996611692595,0.5485200665450639,604,D2,0.3741721854304636
17.239938080495357,-1.0745391658714112,2.0063307951675493,0.026089966951322707,1.0,COMPRESSION_EXPANSION_SPECIALIST_V3,-0.6676688377739785,16981.98870935491,True,1.0658121075290734,0.16981988709354912,646,E2,0.38235294117647056
18.01967213114754,-1.0708826377307195,2.486771672804882,0.17953616157293772,1.0,TREND_CONTINUATION_CORE_V3,-0.7690162034237975,80073.17507150487,True,1.3216401246117901,0.8007317507150487,610,E2,0.4180327868852459
17.239938080495357,-1.0745391658714112,2.0063307951675493,-0.08689828774959753,2.0,COMPRESSION_EXPANSION_SPECIALIST_V3,-0.8003339672658295,-35210.87907003808,False,0.879789218461255,-0.35210879070038076,646,E2,0.29566563467492263
18.01967213114754,-1.0708826377307195,2.486771672804882,0.0714260607661675,2.0,TREND_CONTINUATION_CORE_V3,-0.9015798841011844,32844.57743144137,True,1.1181793702687934,0.32844577431441374,610,E2,0.3590163934426229
