asset_count,cohort_id,cost_multiplier,net_pnl,positive_net_contribution,profit_factor,return_on_initial_equity,selection_basis,trade_count,universe_id,win_rate
6,CURRENT_SEED,1.0,79705.40862757429,True,1.3321504255315306,0.7970540862757429,P3R_REGISTERED_SIX_ASSET_CONTROL,639,C2,0.39906103286384975
23,EVIDENCE_STRONG,1.0,86067.97638137576,True,1.1816882910522022,0.8606797638137575,D2_EFFECTIVE_OPERATIONAL_MEMBERSHIP_UNION,1182,C2,0.39678510998307953
6,CURRENT_SEED,2.0,23497.595396848585,True,1.084946174652294,0.23497595396848583,P3R_REGISTERED_SIX_ASSET_CONTROL,639,C2,0.3192488262910798
23,EVIDENCE_STRONG,2.0,-9116.096227998583,False,0.9829680552648631,-0.09116096227998584,D2_EFFECTIVE_OPERATIONAL_MEMBERSHIP_UNION,1182,C2,0.3197969543147208
6,CURRENT_SEED,1.0,72842.34835479653,True,1.300377140773693,0.7284234835479653,P3R_REGISTERED_SIX_ASSET_CONTROL,648,D2,0.4012345679012346
23,EVIDENCE_STRONG,1.0,91661.02785169185,True,1.1865838480655033,0.9166102785169185,D2_EFFECTIVE_OPERATIONAL_MEMBERSHIP_UNION,1228,D2,0.3998371335504886
6,CURRENT_SEED,2.0,16038.57685449532,True,1.0574204930415774,0.1603857685449532,P3R_REGISTERED_SIX_ASSET_CONTROL,648,D2,0.3256172839506173
23,EVIDENCE_STRONG,2.0,-6523.857273295551,False,0.9882328813397498,-0.06523857273295551,D2_EFFECTIVE_OPERATIONAL_MEMBERSHIP_UNION,1228,D2,0.3249185667752443
6,CURRENT_SEED,1.0,69198.45012503181,True,1.2883655582589941,0.6919845012503182,P3R_REGISTERED_SIX_ASSET_CONTROL,643,E2,0.40279937791601866
23,EVIDENCE_STRONG,1.0,79743.87695863108,True,1.1665013697070228,0.7974387695863108,D2_EFFECTIVE_OPERATIONAL_MEMBERSHIP_UNION,1197,E2,0.3993316624895572
6,CURRENT_SEED,2.0,12750.619356321167,True,1.0460947735491364,0.12750619356321166,P3R_REGISTERED_SIX_ASSET_CONTROL,643,E2,0.3234836702954899
23,EVIDENCE_STRONG,2.0,-16445.74923012795,False,0.9695987868359286,-0.16445749230127948,D2_EFFECTIVE_OPERATIONAL_MEMBERSHIP_UNION,1197,E2,0.32247284878863824
