score_bin,candidate_count,accepted_count,mean_forward_20_bar_return
LT_50,3325,0,0.036197481478684845
50_60,476,0,0.07653874585340538
60_70,202,0,0.12751533064016946
70_80,55,23,0.13653360954012067
80_90,10,7,0.279566797760941
90_100,2,1,0.061584794044878766
