family_id,period_id,source_state_count,signal_day_count,participation_elevated_count
CONSENSUS_FLOW_RISK_OFF,ROBUSTNESS_2022,0,0,0
CONSENSUS_FLOW_RISK_OFF,ROBUSTNESS_2023,4,1,0
ACCELERATING_FLOW_RISK_OFF,ROBUSTNESS_2022,0,0,0
ACCELERATING_FLOW_RISK_OFF,ROBUSTNESS_2023,2,1,0
BUY_FLOW_EXHAUSTION,ROBUSTNESS_2022,0,0,0
BUY_FLOW_EXHAUSTION,ROBUSTNESS_2023,0,0,0
SELL_FLOW_EXHAUSTION_CONTROL,ROBUSTNESS_2022,0,0,0
SELL_FLOW_EXHAUSTION_CONTROL,ROBUSTNESS_2023,0,0,0
