family_id,universe_id,period_id,horizon_hours,expected_direction,event_count,pair_count,signal_day_count,source_state_count,mean_forward_return,median_forward_return,positive_share,lopo_worst_mean_forward_return
CONSENSUS_FLOW_RISK_OFF,C2,ROBUSTNESS_2022,6,NEGATIVE,0,0,0,0,,,,
CONSENSUS_FLOW_RISK_OFF,C2,ROBUSTNESS_2022,24,NEGATIVE,0,0,0,0,,,,
CONSENSUS_FLOW_RISK_OFF,C2,ROBUSTNESS_2022,72,NEGATIVE,0,0,0,0,,,,
CONSENSUS_FLOW_RISK_OFF,C2,ROBUSTNESS_2023,6,NEGATIVE,24,6,1,4,0.0008389980550257229,0.0010497637302608887,0.5833333333333334,0.0018050397079714341
CONSENSUS_FLOW_RISK_OFF,C2,ROBUSTNESS_2023,24,NEGATIVE,24,6,1,4,-0.0007281036033049924,-0.0005571365085014213,0.4583333333333333,0.0003048433642356685
CONSENSUS_FLOW_RISK_OFF,C2,ROBUSTNESS_2023,72,NEGATIVE,24,6,1,4,0.026471100937012455,0.013105406610091408,0.75,0.03465041469625764
CONSENSUS_FLOW_RISK_OFF,D2,ROBUSTNESS_2022,6,NEGATIVE,0,0,0,0,,,,
CONSENSUS_FLOW_RISK_OFF,D2,ROBUSTNESS_2022,24,NEGATIVE,0,0,0,0,,,,
CONSENSUS_FLOW_RISK_OFF,D2,ROBUSTNESS_2022,72,NEGATIVE,0,0,0,0,,,,
CONSENSUS_FLOW_RISK_OFF,D2,ROBUSTNESS_2023,6,NEGATIVE,24,6,1,4,-0.00023385541591063966,0.0004927316019460726,0.5416666666666666,0.0005176155428477991
CONSENSUS_FLOW_RISK_OFF,D2,ROBUSTNESS_2023,24,NEGATIVE,24,6,1,4,-0.0006058305671978922,-0.0005571365085014213,0.4583333333333333,0.00045157100756418875
CONSENSUS_FLOW_RISK_OFF,D2,ROBUSTNESS_2023,72,NEGATIVE,24,6,1,4,0.029163687027399927,0.017097789736025604,0.7916666666666666,0.0378815180047226
CONSENSUS_FLOW_RISK_OFF,E2,ROBUSTNESS_2022,6,NEGATIVE,0,0,0,0,,,,
CONSENSUS_FLOW_RISK_OFF,E2,ROBUSTNESS_2022,24,NEGATIVE,0,0,0,0,,,,
CONSENSUS_FLOW_RISK_OFF,E2,ROBUSTNESS_2022,72,NEGATIVE,0,0,0,0,,,,
CONSENSUS_FLOW_RISK_OFF,E2,ROBUSTNESS_2023,6,NEGATIVE,24,6,1,4,0.0008389980550257229,0.0010497637302608887,0.5833333333333334,0.0018050397079714341
CONSENSUS_FLOW_RISK_OFF,E2,ROBUSTNESS_2023,24,NEGATIVE,24,6,1,4,-0.0007281036033049924,-0.0005571365085014213,0.4583333333333333,0.0003048433642356685
CONSENSUS_FLOW_RISK_OFF,E2,ROBUSTNESS_2023,72,NEGATIVE,24,6,1,4,0.026471100937012455,0.013105406610091408,0.75,0.03465041469625764
ACCELERATING_FLOW_RISK_OFF,C2,ROBUSTNESS_2022,6,NEGATIVE,0,0,0,0,,,,
ACCELERATING_FLOW_RISK_OFF,C2,ROBUSTNESS_2022,24,NEGATIVE,0,0,0,0,,,,
ACCELERATING_FLOW_RISK_OFF,C2,ROBUSTNESS_2022,72,NEGATIVE,0,0,0,0,,,,
ACCELERATING_FLOW_RISK_OFF,C2,ROBUSTNESS_2023,6,NEGATIVE,12,6,1,2,0.0029000220416423397,0.0019838474690120345,0.75,0.004410532812843792
ACCELERATING_FLOW_RISK_OFF,C2,ROBUSTNESS_2023,24,NEGATIVE,12,6,1,2,0.0011597367669677894,0.0005991476440929677,0.5833333333333334,0.0027310319192772937
ACCELERATING_FLOW_RISK_OFF,C2,ROBUSTNESS_2023,72,NEGATIVE,12,6,1,2,0.029990504354742726,0.020999399884219616,0.8333333333333334,0.03872715905177684
ACCELERATING_FLOW_RISK_OFF,D2,ROBUSTNESS_2022,6,NEGATIVE,0,0,0,0,,,,
ACCELERATING_FLOW_RISK_OFF,D2,ROBUSTNESS_2022,24,NEGATIVE,0,0,0,0,,,,
ACCELERATING_FLOW_RISK_OFF,D2,ROBUSTNESS_2022,72,NEGATIVE,0,0,0,0,,,,
ACCELERATING_FLOW_RISK_OFF,D2,ROBUSTNESS_2023,6,NEGATIVE,12,6,1,2,0.0010581302193039173,0.0016685174269542857,0.75,0.002200262626037686
ACCELERATING_FLOW_RISK_OFF,D2,ROBUSTNESS_2023,24,NEGATIVE,12,6,1,2,0.00046716996698020763,0.0005991476440929677,0.5833333333333334,0.0018999517592921955
ACCELERATING_FLOW_RISK_OFF,D2,ROBUSTNESS_2023,72,NEGATIVE,12,6,1,2,0.032394252071837715,0.025071742380038953,0.8333333333333334,0.04161165631229082
ACCELERATING_FLOW_RISK_OFF,E2,ROBUSTNESS_2022,6,NEGATIVE,0,0,0,0,,,,
ACCELERATING_FLOW_RISK_OFF,E2,ROBUSTNESS_2022,24,NEGATIVE,0,0,0,0,,,,
ACCELERATING_FLOW_RISK_OFF,E2,ROBUSTNESS_2022,72,NEGATIVE,0,0,0,0,,,,
ACCELERATING_FLOW_RISK_OFF,E2,ROBUSTNESS_2023,6,NEGATIVE,12,6,1,2,0.0029000220416423397,0.0019838474690120345,0.75,0.004410532812843792
ACCELERATING_FLOW_RISK_OFF,E2,ROBUSTNESS_2023,24,NEGATIVE,12,6,1,2,0.0011597367669677894,0.0005991476440929677,0.5833333333333334,0.0027310319192772937
ACCELERATING_FLOW_RISK_OFF,E2,ROBUSTNESS_2023,72,NEGATIVE,12,6,1,2,0.029990504354742726,0.020999399884219616,0.8333333333333334,0.03872715905177684
BUY_FLOW_EXHAUSTION,C2,ROBUSTNESS_2022,6,NEGATIVE,0,0,0,0,,,,
BUY_FLOW_EXHAUSTION,C2,ROBUSTNESS_2022,24,NEGATIVE,0,0,0,0,,,,
BUY_FLOW_EXHAUSTION,C2,ROBUSTNESS_2022,72,NEGATIVE,0,0,0,0,,,,
BUY_FLOW_EXHAUSTION,C2,ROBUSTNESS_2023,6,NEGATIVE,0,0,0,0,,,,
BUY_FLOW_EXHAUSTION,C2,ROBUSTNESS_2023,24,NEGATIVE,0,0,0,0,,,,
BUY_FLOW_EXHAUSTION,C2,ROBUSTNESS_2023,72,NEGATIVE,0,0,0,0,,,,
BUY_FLOW_EXHAUSTION,D2,ROBUSTNESS_2022,6,NEGATIVE,0,0,0,0,,,,
BUY_FLOW_EXHAUSTION,D2,ROBUSTNESS_2022,24,NEGATIVE,0,0,0,0,,,,
BUY_FLOW_EXHAUSTION,D2,ROBUSTNESS_2022,72,NEGATIVE,0,0,0,0,,,,
BUY_FLOW_EXHAUSTION,D2,ROBUSTNESS_2023,6,NEGATIVE,0,0,0,0,,,,
BUY_FLOW_EXHAUSTION,D2,ROBUSTNESS_2023,24,NEGATIVE,0,0,0,0,,,,
BUY_FLOW_EXHAUSTION,D2,ROBUSTNESS_2023,72,NEGATIVE,0,0,0,0,,,,
BUY_FLOW_EXHAUSTION,E2,ROBUSTNESS_2022,6,NEGATIVE,0,0,0,0,,,,
BUY_FLOW_EXHAUSTION,E2,ROBUSTNESS_2022,24,NEGATIVE,0,0,0,0,,,,
BUY_FLOW_EXHAUSTION,E2,ROBUSTNESS_2022,72,NEGATIVE,0,0,0,0,,,,
BUY_FLOW_EXHAUSTION,E2,ROBUSTNESS_2023,6,NEGATIVE,0,0,0,0,,,,
BUY_FLOW_EXHAUSTION,E2,ROBUSTNESS_2023,24,NEGATIVE,0,0,0,0,,,,
BUY_FLOW_EXHAUSTION,E2,ROBUSTNESS_2023,72,NEGATIVE,0,0,0,0,,,,
SELL_FLOW_EXHAUSTION_CONTROL,C2,ROBUSTNESS_2022,6,POSITIVE,0,0,0,0,,,,
SELL_FLOW_EXHAUSTION_CONTROL,C2,ROBUSTNESS_2022,24,POSITIVE,0,0,0,0,,,,
SELL_FLOW_EXHAUSTION_CONTROL,C2,ROBUSTNESS_2022,72,POSITIVE,0,0,0,0,,,,
SELL_FLOW_EXHAUSTION_CONTROL,C2,ROBUSTNESS_2023,6,POSITIVE,0,0,0,0,,,,
SELL_FLOW_EXHAUSTION_CONTROL,C2,ROBUSTNESS_2023,24,POSITIVE,0,0,0,0,,,,
SELL_FLOW_EXHAUSTION_CONTROL,C2,ROBUSTNESS_2023,72,POSITIVE,0,0,0,0,,,,
SELL_FLOW_EXHAUSTION_CONTROL,D2,ROBUSTNESS_2022,6,POSITIVE,0,0,0,0,,,,
SELL_FLOW_EXHAUSTION_CONTROL,D2,ROBUSTNESS_2022,24,POSITIVE,0,0,0,0,,,,
SELL_FLOW_EXHAUSTION_CONTROL,D2,ROBUSTNESS_2022,72,POSITIVE,0,0,0,0,,,,
SELL_FLOW_EXHAUSTION_CONTROL,D2,ROBUSTNESS_2023,6,POSITIVE,0,0,0,0,,,,
