asset_id,historical_symbol,canonical_id,variant_c_presence,variant_d_match,classification,matched_asset_if_any,first_observation,last_observation,overlap_period,notes,confidence,evidence_source
1INCH-USDT,1INCH,1INCH,true,false,TEMPORALLY_DISTINCT_ASSET,,2020-12-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,,"Unique canonical ID absent from Variant D; no committed migration, alias, rebrand, contract, duplicate, or collision mapping supports a merge.",MEDIUM,current_currency_non_causal_seed
AGI-USDT,AGI,AGI,true,false,TEMPORALLY_DISTINCT_ASSET,,2023-04-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,,"Unique canonical ID absent from Variant D; no committed migration, alias, rebrand, contract, duplicate, or collision mapping supports a merge.",MEDIUM,current_currency_non_causal_seed
AGIX2L-USDT,AGIX2L,AGIX2L,true,false,LEVERAGED_OR_SYNTHETIC_PRODUCT,,2023-02-10T00:00:00+00:00,2023-08-16T00:00:00+00:00,,Suffix matches the frozen KuCoin leveraged/synthetic-product policy; retained for diagnosis only.,HIGH,current_currency_non_causal_seed
AGIX2S-USDT,AGIX2S,AGIX2S,true,false,LEVERAGED_OR_SYNTHETIC_PRODUCT,,2023-02-10T00:00:00+00:00,2023-08-16T00:00:00+00:00,,Suffix matches the frozen KuCoin leveraged/synthetic-product policy; retained for diagnosis only.,HIGH,current_currency_non_causal_seed
APT2L-USDT,APT2L,APT2L,true,false,LEVERAGED_OR_SYNTHETIC_PRODUCT,,2023-02-10T00:00:00+00:00,2023-08-15T00:00:00+00:00,,Suffix matches the frozen KuCoin leveraged/synthetic-product policy; retained for diagnosis only.,HIGH,current_currency_non_causal_seed
APT2S-USDT,APT2S,APT2S,true,false,LEVERAGED_OR_SYNTHETIC_PRODUCT,,2023-02-10T00:00:00+00:00,2023-08-15T00:00:00+00:00,,Suffix matches the frozen KuCoin leveraged/synthetic-product policy; retained for diagnosis only.,HIGH,current_currency_non_causal_seed
ARTFI-USDT,ARTFI,ARTFI,true,false,TEMPORALLY_DISTINCT_ASSET,,2024-06-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,,"Unique canonical ID absent from Variant D; no committed migration, alias, rebrand, contract, duplicate, or collision mapping supports a merge.",MEDIUM,current_currency_non_causal_seed
AVA-USDT,AVA,AVA,true,false,TEMPORALLY_DISTINCT_ASSET,,2019-03-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,,"Unique canonical ID absent from Variant D; no committed migration, alias, rebrand, contract, duplicate, or collision mapping supports a merge.",MEDIUM,current_currency_non_causal_seed
BAX-USDT,BAX,BAX,true,false,TEMPORALLY_DISTINCT_ASSET,,2021-04-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,,"Unique canonical ID absent from Variant D; no committed migration, alias, rebrand, contract, duplicate, or collision mapping supports a merge.",MEDIUM,current_currency_non_causal_seed
BCHSV-USDT,BCHSV,BCHSV,true,false,TEMPORALLY_DISTINCT_ASSET,,2019-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,,"Unique canonical ID absent from Variant D; no committed migration, alias, rebrand, contract, duplicate, or collision mapping supports a merge.",MEDIUM,current_currency_non_causal_seed
