period,start_equity,end_equity,return,trade_count,architecture_id
2019-01,100000.0,100000.0,0.0,0,COMPOSITE_ALPHA_V3
2019-02,100000.0,100000.0,0.0,0,COMPOSITE_ALPHA_V3
2019-03,100000.0,100000.0,0.0,0,COMPOSITE_ALPHA_V3
2019-04,100000.0,100000.0,0.0,0,COMPOSITE_ALPHA_V3
2019-05,100000.0,100000.0,0.0,0,COMPOSITE_ALPHA_V3
2019-06,100000.0,100000.0,0.0,0,COMPOSITE_ALPHA_V3
2019-07,100000.0,100000.0,0.0,0,COMPOSITE_ALPHA_V3
2019-08,100000.0,99185.60388756872,-0.008143961124312815,3,COMPOSITE_ALPHA_V3
2019-09,99185.60388756872,98598.10046615508,-0.005923273120155614,2,COMPOSITE_ALPHA_V3
2019-10,98598.10046615508,97109.88126960017,-0.015093791761898734,4,COMPOSITE_ALPHA_V3
2019-11,97109.88126960017,95490.52571550729,-0.016675497209157952,6,COMPOSITE_ALPHA_V3
2019-12,95490.52571550729,95490.52571550729,0.0,0,COMPOSITE_ALPHA_V3
2020-01,95490.52571550729,95319.92836251472,-0.0017865369544705079,2,COMPOSITE_ALPHA_V3
2020-02,95319.92836251472,105720.87308551976,0.10911616176890981,6,COMPOSITE_ALPHA_V3
2020-03,105720.87308551976,106228.8665552723,0.0048050442162126394,3,COMPOSITE_ALPHA_V3
2020-04,106228.8665552723,115683.49808288852,0.08900247017788576,6,COMPOSITE_ALPHA_V3
2020-05,115683.49808288852,121341.61182145003,0.04891029258561508,13,COMPOSITE_ALPHA_V3
2020-06,121341.61182145003,118725.56521512996,-0.02155935269896936,11,COMPOSITE_ALPHA_V3
2020-07,118725.56521512996,128514.88230438382,0.08245332057603338,11,COMPOSITE_ALPHA_V3
2020-08,128514.88230438382,128134.5406518818,-0.0029595144599765533,15,COMPOSITE_ALPHA_V3
2020-09,128134.5406518818,124247.92454394218,-0.030332306091445327,9,COMPOSITE_ALPHA_V3
2020-10,124247.92454394218,128569.159716929,0.03477913364628127,15,COMPOSITE_ALPHA_V3
2020-11,128569.159716929,130650.50740728324,0.016188545487399564,12,COMPOSITE_ALPHA_V3
2020-12,130650.50740728324,142031.29748814326,0.08710865580783489,16,COMPOSITE_ALPHA_V3
2021-01,142031.29748814326,155570.45492677996,0.09532516901612431,12,COMPOSITE_ALPHA_V3
2021-02,155570.45492677996,166318.8678090704,0.0690903223709749,14,COMPOSITE_ALPHA_V3
2021-03,166318.8678090704,171962.37972444785,0.033931880307507045,12,COMPOSITE_ALPHA_V3
2021-04,171962.37972444785,175203.7461174698,0.01884927620922605,13,COMPOSITE_ALPHA_V3
2021-05,175203.7461174698,172652.28400395383,-0.014562828535671146,10,COMPOSITE_ALPHA_V3
2021-06,172652.28400395383,170497.0581972578,-0.012483042544902956,5,COMPOSITE_ALPHA_V3
2021-07,170497.0581972578,172080.72503805882,0.00928852883179232,3,COMPOSITE_ALPHA_V3
2021-08,172080.72503805882,168828.8408740741,-0.018897434115677347,20,COMPOSITE_ALPHA_V3
2021-09,168828.8408740741,168101.12452878407,-0.004310379325726865,10,COMPOSITE_ALPHA_V3
