metric,composite_alpha_v2,composite_alpha_v3,absolute_delta,relative_delta
net_return,0.916365563453498,1.0815586314022658,0.16519306794876787,0.18026983393636745
cagr,0.1144738485512679,0.1299355665514641,0.015461718000196203,0.13506768747511416
monthly_geometric_return,0.0090727777900365,0.010232043860760598,0.0011592660707240975,0.12777410596313454
maximum_drawdown,0.1130412238926507,0.11030602524673228,-0.002735198645918424,-0.02419647055941201
profit_factor,1.409847927442455,1.505786335911124,0.09593840846866919,0.06804876370085317
win_rate,0.4144295302013422,0.4144620811287478,3.2550927405561314e-05,7.85439381931763e-05
total_fees,51297.12691843805,48687.39928253005,-2609.727635907999,-0.050874733005172805
turnover_on_initial_equity,255.7709661758713,242.6527801005365,-13.118186075334819,-0.05128880056821848
minimum_cash,3359.8551604996246,4924.12494235066,1564.269781851035,0.46557655229948114
minimum_equity,95178.94982197956,95178.94982197955,-1.4551915228366852e-11,-1.5289005873236052e-16
