family_id,expected_direction,universe_id,period_id,horizon_hours,event_count,trade_count,pair_count,signal_day_count,markout_count,mean_forward_return,median_forward_return,positive_share,lopo_worst_directional_mean
UNRECOVERED_ENTRY_FAILURE,NEGATIVE,C2,ROBUSTNESS_2022,6,24,20,7,16,24,-0.0001180619803769443,-0.003112095734046527,0.4166666666666667,0.0017430316466016962
UNRECOVERED_ENTRY_FAILURE,NEGATIVE,C2,ROBUSTNESS_2022,24,24,20,7,16,24,0.007130711545460165,0.009532108801898365,0.5833333333333334,0.01594813168475277
UNRECOVERED_ENTRY_FAILURE,NEGATIVE,C2,ROBUSTNESS_2022,48,13,12,7,10,13,0.025532416849877223,0.030064831746182685,0.6923076923076923,0.04113492582950779
UNRECOVERED_ENTRY_FAILURE,NEGATIVE,C2,ROBUSTNESS_2023,6,45,40,12,36,45,0.001937016037807071,0.002270757325581796,0.6666666666666666,0.0025906718303779323
UNRECOVERED_ENTRY_FAILURE,NEGATIVE,C2,ROBUSTNESS_2023,24,45,40,12,36,45,0.015754623306721418,0.008171946032249133,0.6444444444444445,0.019680864002498622
UNRECOVERED_ENTRY_FAILURE,NEGATIVE,C2,ROBUSTNESS_2023,48,19,17,7,16,19,0.046254259678166404,0.03380482163508591,0.6842105263157895,0.06157722877029118
UNRECOVERED_ENTRY_FAILURE,NEGATIVE,D2,ROBUSTNESS_2022,6,24,20,7,16,24,-0.0001180619803769443,-0.003112095734046527,0.4166666666666667,0.0017430316466016962
UNRECOVERED_ENTRY_FAILURE,NEGATIVE,D2,ROBUSTNESS_2022,24,24,20,7,16,24,0.007130711545460165,0.009532108801898365,0.5833333333333334,0.01594813168475277
UNRECOVERED_ENTRY_FAILURE,NEGATIVE,D2,ROBUSTNESS_2022,48,13,12,7,10,13,0.025532416849877223,0.030064831746182685,0.6923076923076923,0.04113492582950779
UNRECOVERED_ENTRY_FAILURE,NEGATIVE,D2,ROBUSTNESS_2023,6,46,41,10,34,46,0.0033391518621412367,0.002272850226001766,0.717391304347826,0.004347039587994596
UNRECOVERED_ENTRY_FAILURE,NEGATIVE,D2,ROBUSTNESS_2023,24,46,41,10,34,46,0.0077859783375347396,0.0012548931925058238,0.5434782608695652,0.011494119231663682
UNRECOVERED_ENTRY_FAILURE,NEGATIVE,D2,ROBUSTNESS_2023,48,18,16,7,15,18,0.03408676297190221,0.03312898935963737,0.7222222222222222,0.04590861556870421
UNRECOVERED_ENTRY_FAILURE,NEGATIVE,E2,ROBUSTNESS_2022,6,24,20,7,16,24,-0.0001180619803769443,-0.003112095734046527,0.4166666666666667,0.0017430316466016962
