family_id,control_trade_id,decision_time,universe_id,period_id,pair,entry_time,control_exit_time,entry_price,holding_age_hours,remaining_control_hours,entry_relative_close_return,mfe_return,mae_return,path_position,retained_mfe_fraction,last_12_completed_closes_above_entry_count,last_12_completed_closes_below_entry_count,event_id
PROFIT_GIVEBACK_FROM_PATH_PEAK,0,2022-01-02 20:00:00+00:00,C2,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 19:00:00+00:00,2022-01-04 19:00:00+00:00,113.531,25,47,0.005663651337520115,0.03495961455461494,-0.012780650218882972,0.3863468634686351,0.1620055429579234,12,0,0
PROFIT_GIVEBACK_FROM_PATH_PEAK,169,2022-01-02 20:00:00+00:00,D2,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 19:00:00+00:00,2022-01-04 19:00:00+00:00,113.531,25,47,0.005663651337520115,0.03495961455461494,-0.012780650218882972,0.3863468634686351,0.1620055429579234,12,0,1
PROFIT_GIVEBACK_FROM_PATH_PEAK,341,2022-01-02 20:00:00+00:00,E2,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 19:00:00+00:00,2022-01-04 19:00:00+00:00,113.531,25,47,0.005663651337520115,0.03495961455461494,-0.012780650218882972,0.3863468634686351,0.1620055429579234,12,0,2
PROFIT_GIVEBACK_FROM_PATH_PEAK,0,2022-01-03 00:00:00+00:00,C2,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 19:00:00+00:00,2022-01-04 19:00:00+00:00,113.531,29,43,0.00034351851036262815,0.03495961455461494,-0.013300332067893383,0.2827158240554819,0.009826152683290413,9,3,3
PROFIT_GIVEBACK_FROM_PATH_PEAK,169,2022-01-03 00:00:00+00:00,D2,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 19:00:00+00:00,2022-01-04 19:00:00+00:00,113.531,29,43,0.00034351851036262815,0.03495961455461494,-0.013300332067893383,0.2827158240554819,0.009826152683290413,9,3,4
PROFIT_GIVEBACK_FROM_PATH_PEAK,341,2022-01-03 00:00:00+00:00,E2,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 19:00:00+00:00,2022-01-04 19:00:00+00:00,113.531,29,43,0.00034351851036262815,0.03495961455461494,-0.013300332067893383,0.2827158240554819,0.009826152683290413,9,3,5
UNRECOVERED_ENTRY_FAILURE,0,2022-01-03 12:00:00+00:00,C2,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 19:00:00+00:00,2022-01-04 19:00:00+00:00,113.531,41,31,-0.02169451515445131,0.03495961455461494,-0.03029128608045384,0.13174946004319574,-0.6205593348450539,0,12,6
UNRECOVERED_ENTRY_FAILURE,169,2022-01-03 12:00:00+00:00,D2,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 19:00:00+00:00,2022-01-04 19:00:00+00:00,113.531,41,31,-0.02169451515445131,0.03495961455461494,-0.03029128608045384,0.13174946004319574,-0.6205593348450539,0,12,7
UNRECOVERED_ENTRY_FAILURE,341,2022-01-03 12:00:00+00:00,E2,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 19:00:00+00:00,2022-01-04 19:00:00+00:00,113.531,41,31,-0.02169451515445131,0.03495961455461494,-0.03029128608045384,0.13174946004319574,-0.6205593348450539,0,12,8
ADVERSE_PATH_DOMINANCE,0,2022-01-03 18:00:00+00:00,C2,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 19:00:00+00:00,2022-01-04 19:00:00+00:00,113.531,47,25,-0.03686217861200902,0.03495961455461494,-0.05233812791220027,0.1772777721723351,-1.054421768707485,0,12,9
ADVERSE_PATH_DOMINANCE,169,2022-01-03 18:00:00+00:00,D2,ROBUSTNESS_2022,AVAX-USDT,2022-01-01 19:00:00+00:00,2022-01-04 19:00:00+00:00,113.531,47,25,-0.03686217861200902,0.03495961455461494,-0.05233812791220027,0.1772777721723351,-1.054421768707485,0,12,10
