family_id,universe_id,period_id,event_count_24h,trade_count_24h,pair_count_24h,signal_day_count_24h,mean_24h,median_24h,support_pass,direction_pass,control_cell_pass,selection_eligible
ENTRY_RECLAIM_WITH_HIGH_PATH_POSITION_CONTROL,C2,ROBUSTNESS_2022,29,13,7,17,0.005597196628227138,0.010920625940780138,True,True,True,False
ENTRY_RECLAIM_WITH_HIGH_PATH_POSITION_CONTROL,C2,ROBUSTNESS_2023,76,36,11,37,0.019151843428651585,0.012794550667022397,True,True,True,False
ENTRY_RECLAIM_WITH_HIGH_PATH_POSITION_CONTROL,D2,ROBUSTNESS_2022,29,13,7,17,0.005597196628227138,0.010920625940780138,True,True,True,False
ENTRY_RECLAIM_WITH_HIGH_PATH_POSITION_CONTROL,D2,ROBUSTNESS_2023,75,40,11,39,0.01836329849362773,0.01075067743028102,True,True,True,False
ENTRY_RECLAIM_WITH_HIGH_PATH_POSITION_CONTROL,E2,ROBUSTNESS_2022,29,13,7,17,0.005597196628227138,0.010920625940780138,True,True,True,False
ENTRY_RECLAIM_WITH_HIGH_PATH_POSITION_CONTROL,E2,ROBUSTNESS_2023,74,39,12,36,0.0185218092236064,0.010637679502648045,True,True,True,False
