event_id,family_id,control_trade_id,universe_id,period_id,pair,decision_time,horizon_hours,exit_time,entry_open,exit_open,forward_return
0,PROFIT_GIVEBACK_FROM_PATH_PEAK,0,C2,ROBUSTNESS_2022,AVAX-USDT,2022-01-02 20:00:00+00:00,6,2022-01-03 02:00:00+00:00,114.135,112.52,-0.014149910194068527
0,PROFIT_GIVEBACK_FROM_PATH_PEAK,0,C2,ROBUSTNESS_2022,AVAX-USDT,2022-01-02 20:00:00+00:00,24,2022-01-03 20:00:00+00:00,114.135,109.371,-0.041740044683927
1,PROFIT_GIVEBACK_FROM_PATH_PEAK,169,D2,ROBUSTNESS_2022,AVAX-USDT,2022-01-02 20:00:00+00:00,6,2022-01-03 02:00:00+00:00,114.135,112.52,-0.014149910194068527
1,PROFIT_GIVEBACK_FROM_PATH_PEAK,169,D2,ROBUSTNESS_2022,AVAX-USDT,2022-01-02 20:00:00+00:00,24,2022-01-03 20:00:00+00:00,114.135,109.371,-0.041740044683927
2,PROFIT_GIVEBACK_FROM_PATH_PEAK,341,E2,ROBUSTNESS_2022,AVAX-USDT,2022-01-02 20:00:00+00:00,6,2022-01-03 02:00:00+00:00,114.135,112.52,-0.014149910194068527
2,PROFIT_GIVEBACK_FROM_PATH_PEAK,341,E2,ROBUSTNESS_2022,AVAX-USDT,2022-01-02 20:00:00+00:00,24,2022-01-03 20:00:00+00:00,114.135,109.371,-0.041740044683927
3,PROFIT_GIVEBACK_FROM_PATH_PEAK,0,C2,ROBUSTNESS_2022,AVAX-USDT,2022-01-03 00:00:00+00:00,6,2022-01-03 06:00:00+00:00,113.659,111.56,-0.018467521269763143
3,PROFIT_GIVEBACK_FROM_PATH_PEAK,0,C2,ROBUSTNESS_2022,AVAX-USDT,2022-01-03 00:00:00+00:00,24,2022-01-04 00:00:00+00:00,113.659,108.404,-0.04623479002982611
4,PROFIT_GIVEBACK_FROM_PATH_PEAK,169,D2,ROBUSTNESS_2022,AVAX-USDT,2022-01-03 00:00:00+00:00,6,2022-01-03 06:00:00+00:00,113.659,111.56,-0.018467521269763143
4,PROFIT_GIVEBACK_FROM_PATH_PEAK,169,D2,ROBUSTNESS_2022,AVAX-USDT,2022-01-03 00:00:00+00:00,24,2022-01-04 00:00:00+00:00,113.659,108.404,-0.04623479002982611
