family_id,universe_id,period_id,event_count,trade_count,pair_count,signal_day_count
UNRECOVERED_ENTRY_FAILURE,C2,ROBUSTNESS_2022,24,20,7,16
UNRECOVERED_ENTRY_FAILURE,C2,ROBUSTNESS_2023,45,40,12,36
UNRECOVERED_ENTRY_FAILURE,D2,ROBUSTNESS_2022,24,20,7,16
UNRECOVERED_ENTRY_FAILURE,D2,ROBUSTNESS_2023,46,41,10,34
UNRECOVERED_ENTRY_FAILURE,E2,ROBUSTNESS_2022,24,20,7,16
UNRECOVERED_ENTRY_FAILURE,E2,ROBUSTNESS_2023,44,39,11,33
ADVERSE_PATH_DOMINANCE,C2,ROBUSTNESS_2022,42,21,8,20
ADVERSE_PATH_DOMINANCE,C2,ROBUSTNESS_2023,119,55,12,55
ADVERSE_PATH_DOMINANCE,D2,ROBUSTNESS_2022,42,21,8,20
ADVERSE_PATH_DOMINANCE,D2,ROBUSTNESS_2023,129,55,10,56
ADVERSE_PATH_DOMINANCE,E2,ROBUSTNESS_2022,42,21,8,20
ADVERSE_PATH_DOMINANCE,E2,ROBUSTNESS_2023,129,56,12,56
PROFIT_GIVEBACK_FROM_PATH_PEAK,C2,ROBUSTNESS_2022,104,24,8,26
PROFIT_GIVEBACK_FROM_PATH_PEAK,C2,ROBUSTNESS_2023,183,42,11,70
PROFIT_GIVEBACK_FROM_PATH_PEAK,D2,ROBUSTNESS_2022,104,24,8,26
PROFIT_GIVEBACK_FROM_PATH_PEAK,D2,ROBUSTNESS_2023,187,46,12,77
PROFIT_GIVEBACK_FROM_PATH_PEAK,E2,ROBUSTNESS_2022,104,24,8,26
PROFIT_GIVEBACK_FROM_PATH_PEAK,E2,ROBUSTNESS_2023,171,43,11,69
ENTRY_RECLAIM_WITH_HIGH_PATH_POSITION_CONTROL,C2,ROBUSTNESS_2022,29,13,7,17
ENTRY_RECLAIM_WITH_HIGH_PATH_POSITION_CONTROL,C2,ROBUSTNESS_2023,76,36,11,37
ENTRY_RECLAIM_WITH_HIGH_PATH_POSITION_CONTROL,D2,ROBUSTNESS_2022,29,13,7,17
ENTRY_RECLAIM_WITH_HIGH_PATH_POSITION_CONTROL,D2,ROBUSTNESS_2023,75,40,11,39
ENTRY_RECLAIM_WITH_HIGH_PATH_POSITION_CONTROL,E2,ROBUSTNESS_2022,29,13,7,17
ENTRY_RECLAIM_WITH_HIGH_PATH_POSITION_CONTROL,E2,ROBUSTNESS_2023,74,39,12,36
